temp_mean	-0.473	-0.449	-0.419	-0.362	-0.358	-0.346	-0.228	-0.173	-0.175	-0.229	-0.211	-0.216	-0.197	-0.179	-0.156	-0.144	-0.164	-0.145	-0.176	-0.175	-0.222	-0.227	-0.254	-0.233	-0.225	-0.229	-0.28	-0.275	-0.263	-0.294	-0.293	-0.288	-0.285	-0.271	-0.259	-0.253	-0.256	-0.227	-0.212	-0.234	-0.207	-0.167	-0.171	-0.155	-0.153	-0.165	-0.161	-0.14	-0.126	-0.099	-0.129	-0.133	-0.129	-0.137	-0.131	-0.129	-0.124	-0.173	-0.193	-0.197	-0.174	-0.176	-0.165	-0.137	-0.168	-0.182	-0.174	-0.213	-0.213	-0.218	-0.181	-0.187	-0.195	-0.175	-0.197	-0.188	-0.213	-0.247	-0.275	-0.266	-0.283	-0.329	-0.34	-0.337	-0.302	-0.315	-0.308	-0.339	-0.313	-0.301	-0.316	-0.325	-0.346	-0.298	-0.278	-0.315	-0.295	-0.27	-0.273	-0.284	-0.258	-0.273	-0.269	-0.251	-0.262	-0.229	-0.243	-0.215	-0.217	-0.217	-0.201	-0.214	-0.196	-0.179	-0.201	-0.208	-0.182	-0.179	-0.116	-0.111	-0.09	-0.06	-0.034	-0.029	-0.04	-0.036	0.013	0.013	0.006	0.009	0.028	0.03	0.036	0.031	0.017	0.054	0.062	0.035	0.06	0.056	0.039	0.022	0.031	0.017	0.011	0.026	0.023	0.042	0.04	0.05	0.055	0.059	0.074	0.084	0.12	0.152	0.163	0.173	0.192	0.215	0.218	0.231	0.194	0.185	0.179	0.181	0.167	0.151	0.188	0.199	0.218	0.226	0.215	0.219	0.237	0.239	0.216	0.223	0.206	0.225	0.226	0.234	0.213	0.25	0.261	0.298	0.293	0.294	0.294	0.298	0.297	0.298	0.286	0.278	0.316	0.324	0.35	0.383	0.384	0.408	0.437	0.463	0.497	0.505	0.562	0.616	0.664	0.697	0.746	0.752	0.759	0.781	0.787	0.791	0.794	0.839	0.875	0.822	0.846	0.873	0.92	0.941	0.998	1.0	1.026	1.137	1.155	1.21	1.248	1.293	1.377	1.398	1.411	1.451	1.441	1.474	1.47	1.476	1.496	1.475	
temp_sigma	1.109	1.224	1.275	1.395	1.389	1.373	1.434	1.451	1.431	1.462	1.45	1.449	1.467	1.436	1.428	1.408	1.419	1.422	1.461	1.489	1.493	1.508	1.499	1.49	1.51	1.498	1.481	1.511	1.509	1.518	1.525	1.504	1.501	1.52	1.537	1.549	1.55	1.55	1.558	1.551	1.553	1.547	1.526	1.557	1.537	1.516	1.54	1.523	1.519	1.524	1.529	1.512	1.529	1.551	1.528	1.544	1.552	1.553	1.575	1.561	1.578	1.565	1.571	1.569	1.566	1.558	1.583	1.61	1.609	1.621	1.61	1.585	1.603	1.591	1.614	1.61	1.598	1.621	1.64	1.666	1.713	1.713	1.726	1.724	1.742	1.721	1.72	1.737	1.733	1.75	1.783	1.754	1.734	1.746	1.739	1.72	1.721	1.688	1.667	1.691	1.727	1.743	1.731	1.754	1.761	1.762	1.735	1.748	1.746	1.739	1.772	1.77	1.78	1.74	1.715	1.712	1.688	1.657	1.651	1.632	1.633	1.646	1.65	1.658	1.692	1.668	1.657	1.645	1.646	1.644	1.666	1.658	1.672	1.674	1.672	1.654	1.699	1.707	1.723	1.787	1.764	1.749	1.741	1.73	1.715	1.691	1.689	1.689	1.675	1.707	1.727	1.755	1.764	1.766	1.751	1.768	1.785	1.766	1.738	1.706	1.709	1.699	1.704	1.754	1.732	1.747	1.758	1.744	1.755	1.763	1.767	1.774	1.802	1.789	1.797	1.804	1.797	1.841	1.835	1.823	1.824	1.813	1.798	1.817	1.843	1.866	1.844	1.815	1.783	1.804	1.805	1.821	1.838	1.861	1.861	1.845	1.864	1.84	1.852	1.853	1.845	1.832	1.852	1.913	1.934	1.923	1.916	1.877	1.883	1.853	1.87	1.942	1.972	2.034	2.028	2.035	2.062	2.066	2.053	2.131	2.119	2.109	2.082	2.072	2.003	1.977	2.008	2.008	1.987	1.998	2.005	1.982	1.945	1.96	1.957	1.982	1.979	1.946	1.946	1.914	
dewpoint_mean	-86.236	-86.212	-86.199	-86.164	-86.137	-86.119	-85.972	-85.899	-85.899	-85.886	-85.908	-85.907	-85.907	-85.907	-85.912	-85.917	-85.935	-85.98	-85.975	-85.977	-85.992	-86.005	-86.03	-86.052	-86.08	-86.115	-86.132	-86.161	-86.16	-86.144	-86.154	-86.156	-86.16	-86.173	-86.211	-86.206	-86.21	-86.194	-86.207	-86.209	-86.2	-86.197	-86.199	-86.207	-86.187	-86.212	-86.225	-86.228	-86.239	-86.255	-86.241	-86.252	-86.272	-86.266	-86.277	-86.294	-86.283	-86.303	-86.357	-86.369	-86.415	-86.415	-86.436	-86.442	-86.451	-86.454	-86.46	-86.457	-86.478	-86.481	-86.513	-86.498	-86.516	-86.513	-86.551	-86.539	-86.53	-86.536	-86.551	-86.583	-86.612	-86.612	-86.613	-86.608	-86.576	-86.574	-86.599	-86.597	-86.601	-86.604	-86.614	-86.654	-86.649	-86.638	-86.645	-86.601	-86.59	-86.6	-86.567	-86.558	-86.581	-86.569	-86.604	-86.602	-86.584	-86.566	-86.574	-86.59	-86.588	-86.563	-86.536	-86.546	-86.553	-86.564	-86.526	-86.514	-86.469	-86.44	-86.395	-86.369	-86.343	-86.3	-86.287	-86.253	-86.227	-86.203	-86.206	-86.223	-86.199	-86.171	-86.167	-86.16	-86.136	-86.121	-86.117	-86.127	-86.123	-86.136	-86.122	-86.114	-86.12	-86.152	-86.169	-86.183	-86.225	-86.228	-86.3	-86.332	-86.362	-86.413	-86.435	-86.483	-86.488	-86.51	-86.556	-86.575	-86.58	-86.618	-86.635	-86.692	-86.736	-86.745	-86.766	-86.79	-86.819	-86.852	-86.827	-86.849	-86.862	-86.876	-86.855	-86.885	-86.871	-86.914	-86.906	-86.922	-86.961	-86.981	-86.96	-86.943	-86.937	-86.976	-86.991	-86.969	-86.984	-87.008	-87.015	-87.04	-87.051	-87.087	-87.095	-87.115	-87.148	-87.147	-87.176	-87.192	-87.208	-87.225	-87.212	-87.225	-87.26	-87.269	-87.264	-87.232	-87.255	-87.273	-87.25	-87.212	-87.189	-87.16	-87.164	-87.136	-87.14	-87.11	-87.086	-87.075	-87.079	-87.054	-87.072	-87.046	-87.016	-87.0	-86.968	-86.967	-86.94	-86.923	-86.881	-86.823	-86.754	-86.715	-86.63	-86.614	-86.578	-86.594	-86.594	-86.585	-86.602	-86.583	-86.568	-86.565	
dewpoint_sigma	2.684	2.663	2.662	2.615	2.615	2.584	2.584	2.542	2.553	2.537	2.545	2.537	2.563	2.582	2.592	2.579	2.6	2.56	2.592	2.594	2.572	2.578	2.574	2.576	2.57	2.559	2.574	2.553	2.542	2.557	2.563	2.565	2.564	2.56	2.532	2.539	2.518	2.505	2.512	2.513	2.523	2.484	2.515	2.493	2.484	2.474	2.493	2.49	2.497	2.498	2.469	2.456	2.448	2.44	2.432	2.393	2.375	2.335	2.286	2.237	2.192	2.195	2.185	2.15	2.127	2.116	2.088	2.102	2.089	2.069	2.051	2.022	2.017	2.063	2.045	2.085	2.102	2.119	2.155	2.18	2.168	2.2	2.184	2.192	2.211	2.198	2.194	2.193	2.192	2.197	2.2	2.163	2.16	2.168	2.163	2.145	2.155	2.128	2.113	2.157	2.131	2.092	2.124	2.137	2.173	2.195	2.224	2.222	2.218	2.197	2.211	2.258	2.248	2.254	2.233	2.234	2.243	2.284	2.272	2.306	2.323	2.346	2.354	2.369	2.378	2.352	2.363	2.325	2.315	2.308	2.315	2.33	2.323	2.337	2.317	2.312	2.303	2.272	2.267	2.266	2.269	2.28	2.258	2.268	2.237	2.207	2.225	2.187	2.142	2.121	2.105	2.064	2.068	2.043	2.027	2.016	1.97	1.97	1.992	1.944	1.933	1.927	1.976	2.032	2.02	1.977	2.0	2.011	2.017	1.992	2.001	1.992	1.986	1.982	1.978	1.989	1.97	1.974	1.976	1.923	1.909	1.885	1.857	1.852	1.823	1.794	1.743	1.723	1.706	1.706	1.663	1.675	1.667	1.653	1.657	1.675	1.681	1.706	1.672	1.675	1.703	1.691	1.672	1.685	1.685	1.708	1.722	1.738	1.786	1.77	1.763	1.735	1.727	1.729	1.742	1.748	1.729	1.728	1.69	1.689	1.717	1.729	1.739	1.743	1.747	1.746	1.75	1.741	1.756	1.747	1.772	1.735	1.745	1.717	1.714	1.699	1.715	1.75	1.767	1.753	
humidity_mean	27.336	27.445	27.564	27.642	27.738	27.861	28.139	28.342	28.411	28.476	28.476	28.492	28.402	28.322	28.202	28.16	28.092	28.055	28.032	28.032	28.05	28.04	27.995	27.955	27.828	27.792	27.791	27.793	27.838	27.923	27.957	27.995	28.016	28.026	27.974	27.942	27.86	27.761	27.699	27.705	27.709	27.726	27.708	27.74	27.794	27.777	27.704	27.604	27.503	27.351	27.352	27.325	27.385	27.442	27.556	27.612	27.759	27.818	27.866	27.848	27.81	27.738	27.763	27.78	27.794	27.788	27.808	27.799	27.819	27.805	27.723	27.633	27.58	27.475	27.434	27.446	27.458	27.475	27.499	27.566	27.557	27.528	27.523	27.551	27.462	27.425	27.391	27.35	27.357	27.337	27.338	27.354	27.383	27.387	27.397	27.353	27.326	27.3	27.331	27.32	27.343	27.341	27.326	27.374	27.384	27.354	27.368	27.366	27.263	27.168	27.131	27.115	27.103	27.113	27.132	27.172	27.266	27.316	27.399	27.472	27.52	27.528	27.672	27.807	27.87	27.9	27.933	27.993	28.054	28.136	28.241	28.287	28.284	28.247	28.221	28.152	28.08	28.056	28.094	28.151	28.218	28.283	28.234	28.178	28.129	28.068	27.946	27.838	27.649	27.585	27.467	27.344	27.206	27.007	26.856	26.658	26.474	26.169	26.068	25.887	25.72	25.616	25.515	25.418	25.377	25.286	25.143	24.977	24.812	24.588	24.531	24.439	24.377	24.371	24.315	24.299	24.299	24.279	24.312	24.261	24.177	24.073	23.935	23.837	23.631	23.473	23.326	23.091	22.905	22.788	22.615	22.466	22.291	22.149	22.021	21.831	21.76	21.618	21.546	21.412	21.364	21.263	21.202	21.131	20.91	20.75	20.734	20.677	20.616	20.586	20.509	20.427	20.373	20.204	20.014	19.876	19.692	19.546	19.369	19.224	19.088	18.98	18.931	18.861	18.85	18.729	18.616	18.604	18.413	18.369	18.33	18.247	18.052	17.907	17.851	17.813	17.776	17.848	17.879	17.841	
humidity_sigma	10.826	10.555	10.345	9.81	9.794	9.753	9.719	9.701	9.677	9.686	9.649	9.606	9.585	9.575	9.524	9.452	9.499	9.597	9.691	9.781	9.822	9.938	9.946	9.947	9.92	9.89	9.865	9.857	9.869	9.814	9.802	9.792	9.8	9.822	9.81	9.9	9.927	9.96	10.02	10.059	10.072	10.133	10.167	10.221	10.275	10.324	10.375	10.384	10.341	10.307	10.239	10.23	10.219	10.237	10.184	10.187	10.088	10.007	9.949	9.865	9.865	9.844	9.774	9.744	9.721	9.697	9.634	9.596	9.555	9.521	9.5	9.455	9.456	9.407	9.344	9.383	9.413	9.481	9.542	9.596	9.671	9.718	9.706	9.764	9.746	9.678	9.629	9.576	9.574	9.634	9.687	9.734	9.816	9.839	9.861	9.898	9.89	9.823	9.723	9.603	9.573	9.563	9.617	9.651	9.702	9.758	9.767	9.777	9.762	9.719	9.587	9.468	9.36	9.411	9.397	9.419	9.414	9.357	9.265	9.239	9.19	9.116	8.976	8.942	8.903	8.864	8.831	8.776	8.742	8.747	8.777	8.734	8.736	8.681	8.594	8.516	8.447	8.443	8.415	8.454	8.522	8.575	8.635	8.691	8.738	8.727	8.751	8.767	8.708	8.723	8.717	8.588	8.478	8.359	8.285	8.268	8.291	8.344	8.383	8.353	8.302	8.335	8.425	8.483	8.632	8.682	8.747	8.815	8.854	8.909	8.908	8.873	8.947	8.973	9.066	9.097	9.084	9.09	9.069	9.014	8.952	8.888	8.862	8.788	8.76	8.729	8.72	8.734	8.722	8.622	8.574	8.475	8.436	8.474	8.5	8.626	8.698	8.891	8.977	9.14	9.15	9.142	9.241	9.357	9.399	9.442	9.403	9.362	9.235	9.222	9.191	9.173	9.108	9.075	9.147	9.219	9.264	9.291	9.391	9.457	9.561	9.638	9.821	9.937	9.963	9.955	9.955	9.905	9.951	9.981	10.092	10.058	9.993	9.96	9.869	9.834	9.746	9.715	9.593	9.537	
wspd_mean	-17.31	-17.31	-17.336	-17.278	-17.231	-17.177	-16.345	-15.861	-15.878	-15.803	-15.742	-15.752	-15.699	-15.636	-15.672	-15.644	-15.581	-15.536	-15.45	-15.497	-15.462	-15.418	-15.396	-15.283	-15.224	-15.244	-15.165	-15.185	-15.049	-14.998	-14.939	-14.853	-14.784	-14.706	-14.658	-14.576	-14.431	-14.369	-14.28	-14.169	-14.09	-13.983	-14.026	-13.952	-13.962	-13.965	-13.925	-13.941	-13.923	-14.005	-14.046	-14.083	-14.065	-14.118	-14.138	-14.184	-14.222	-14.288	-14.369	-14.413	-14.595	-14.694	-14.705	-14.815	-14.813	-14.897	-14.889	-14.781	-14.959	-14.887	-14.922	-14.905	-14.846	-14.846	-14.769	-14.855	-14.82	-14.803	-14.908	-14.843	-14.957	-14.97	-14.987	-15.105	-15.29	-15.257	-15.329	-15.441	-15.577	-15.673	-15.724	-15.85	-15.865	-15.998	-16.08	-16.232	-16.225	-16.373	-16.475	-16.52	-16.588	-16.656	-16.794	-16.836	-16.946	-17.043	-17.135	-17.192	-17.163	-17.215	-17.388	-17.478	-17.537	-17.607	-17.639	-17.76	-17.829	-17.934	-18.023	-18.122	-18.18	-18.371	-18.506	-18.591	-18.732	-18.93	-19.05	-19.169	-19.351	-19.476	-19.482	-19.548	-19.534	-19.601	-19.582	-19.57	-19.604	-19.543	-19.651	-19.663	-19.657	-19.709	-19.732	-19.828	-19.702	-19.671	-19.643	-19.641	-19.617	-19.639	-19.53	-19.468	-19.535	-19.355	-19.357	-19.323	-19.268	-19.19	-19.103	-19.043	-19.001	-18.954	-18.798	-18.747	-18.713	-18.752	-18.706	-18.539	-18.5	-18.35	-18.283	-18.258	-18.236	-18.148	-18.108	-18.135	-18.116	-18.118	-18.194	-18.21	-18.326	-18.432	-18.598	-18.68	-18.643	-18.596	-18.519	-18.576	-18.487	-18.48	-18.579	-18.467	-18.436	-18.399	-18.305	-18.336	-18.367	-18.45	-18.526	-18.644	-18.589	-18.558	-18.535	-18.585	-18.673	-18.721	-18.884	-18.921	-19.02	-19.137	-19.329	-19.482	-19.639	-19.746	-19.95	-20.074	-20.281	-20.335	-20.467	-20.652	-20.886	-21.296	-21.61	-21.934	-22.062	-22.292	-22.637	-23.071	-23.398	-23.697	-23.891	-24.047	-24.203	-24.253	-24.399	-24.566	-24.647	-24.77	-24.787	-24.857	
wspd_sigma	8.629	8.537	8.556	8.332	8.32	8.258	8.001	7.743	7.831	7.765	7.738	7.753	7.65	7.65	7.627	7.575	7.556	7.444	7.414	7.415	7.421	7.337	7.321	7.157	7.165	7.214	7.162	7.128	7.104	7.075	6.984	6.962	7.039	7.066	7.007	6.999	6.963	6.952	7.057	6.984	7.057	7.021	7.04	6.981	6.96	6.965	6.774	6.881	6.991	7.004	6.946	6.931	6.913	6.936	6.825	6.814	6.738	6.647	6.468	6.519	6.425	6.371	6.25	6.326	6.334	6.31	6.379	6.334	6.352	6.34	6.382	6.481	6.501	6.634	6.596	6.639	6.669	6.662	6.764	6.775	6.767	6.882	6.85	6.878	6.877	6.811	6.807	6.813	6.815	6.801	6.753	6.757	6.735	6.85	6.904	6.959	6.94	6.932	6.998	6.993	6.899	6.883	6.919	6.96	7.024	6.988	6.981	6.97	7.008	6.948	6.923	6.985	6.953	7.021	6.991	7.013	7.088	7.073	7.109	7.099	7.172	7.221	7.193	7.167	7.189	7.307	7.374	7.39	7.451	7.477	7.48	7.542	7.599	7.574	7.583	7.563	7.535	7.502	7.479	7.537	7.554	7.559	7.589	7.557	7.586	7.42	7.417	7.326	7.317	7.258	7.218	7.069	7.005	6.994	6.927	6.962	7.018	7.099	7.188	7.217	7.199	7.275	7.172	7.155	7.14	7.167	7.101	6.991	7.049	7.105	7.071	7.046	7.117	7.206	7.199	7.202	7.167	7.235	7.221	7.133	7.078	6.96	6.766	6.702	6.514	6.321	6.262	6.169	6.082	5.881	5.873	5.607	5.506	5.468	5.316	5.165	5.103	5.03	4.917	5.078	5.11	5.2	5.165	5.191	5.187	5.164	5.206	5.281	5.309	5.552	5.597	5.698	5.745	5.854	5.835	5.858	5.83	5.991	6.124	6.211	6.318	6.247	6.513	6.488	6.727	6.768	6.727	6.78	6.82	6.87	6.884	6.942	7.04	6.933	6.802	6.726	6.63	6.639	6.587	6.595	
wdir_deg_mean	58.358	56.16	55.261	57.289	56.698	56.429	60.241	62.416	62.761	61.364	58.998	63.015	61.932	61.932	61.44	61.17	61.52	64.522	64.448	62.722	64.365	62.505	62.132	63.228	63.795	64.296	63.191	61.568	59.995	58.39	58.524	60.748	60.274	59.979	58.961	58.612	56.908	58.849	57.928	59.965	58.243	58.157	58.891	58.959	58.857	59.713	60.616	60.726	60.969	60.345	60.81	60.678	62.143	59.732	61.268	60.119	63.199	63.265	62.951	62.327	61.647	63.931	64.014	63.745	63.34	60.578	63.186	61.503	62.233	63.496	62.14	63.612	63.026	62.163	62.058	61.429	61.475	57.429	58.324	59.56	57.98	55.152	59.237	60.633	59.612	60.838	57.624	59.947	59.875	60.567	58.79	60.658	60.961	60.598	61.712	62.702	60.805	63.817	63.307	63.225	62.519	62.985	63.053	63.897	65.722	65.408	63.739	63.451	62.839	63.6	61.538	65.198	64.077	64.241	62.703	62.515	64.987	64.476	63.529	63.38	64.007	64.485	65.129	65.02	63.677	64.555	65.772	65.209	65.351	66.668	66.194	66.7	65.13	65.309	65.076	65.266	66.184	66.059	66.028	65.242	66.102	66.219	66.454	66.0	66.8	67.301	67.899	68.184	67.793	67.076	66.847	66.095	64.956	66.31	66.33	65.019	64.937	65.498	66.677	66.679	67.47	65.418	65.538	64.943	65.446	63.988	64.442	64.307	63.715	67.039	68.02	67.316	64.964	64.207	65.606	66.39	65.283	64.713	65.436	65.028	64.335	64.814	66.467	65.91	66.906	65.292	65.26	66.525	67.241	65.958	66.088	65.538	66.523	65.766	67.558	66.675	65.991	67.004	65.749	66.774	64.018	65.33	64.928	66.315	66.891	66.432	66.885	66.894	67.222	68.981	68.009	66.437	67.038	67.796	68.3	67.684	69.01	69.053	67.558	68.098	66.897	67.911	68.688	67.264	69.035	67.286	67.667	65.878	64.194	65.503	64.376	65.263	62.675	63.577	63.876	63.378	63.214	63.518	61.389	62.439	
wdir_deg_sigma	69.582	67.956	69.086	68.867	68.669	67.116	69.052	70.75	70.139	70.28	69.346	69.387	71.464	69.637	70.844	69.604	69.63	69.202	68.359	67.791	69.144	69.793	68.916	69.248	68.59	69.463	69.644	70.162	70.808	71.728	71.241	71.663	71.91	72.465	72.828	73.029	72.696	71.972	72.675	73.643	73.943	74.168	73.92	73.843	73.427	74.049	73.84	74.432	73.383	72.901	72.503	74.325	73.968	72.769	71.944	71.851	72.342	71.735	71.972	71.929	72.383	71.567	71.584	71.601	72.707	72.727	72.511	70.919	71.885	71.838	72.103	73.451	73.005	74.298	74.55	73.782	74.991	75.189	75.03	74.013	75.188	73.837	73.115	73.196	73.055	71.365	71.848	71.823	72.025	71.452	72.501	73.022	71.606	71.829	68.425	69.104	70.698	69.233	70.687	70.633	69.933	69.825	70.364	70.863	69.915	69.33	69.079	67.99	67.648	67.341	68.175	66.274	65.968	65.835	66.412	67.013	65.723	64.736	66.161	65.696	65.829	66.072	66.223	67.435	66.477	66.547	66.934	66.639	66.726	65.11	64.668	64.793	65.319	64.721	64.68	65.266	64.913	65.281	64.597	64.904	65.271	64.386	64.341	64.244	64.666	64.217	64.681	64.803	64.545	63.994	63.602	63.419	63.409	62.77	65.161	65.085	65.508	65.262	64.318	64.431	64.732	63.353	63.882	64.103	64.301	65.3	64.937	65.615	65.031	64.658	64.087	62.124	63.776	64.454	64.472	64.619	64.299	64.711	66.298	64.837	65.236	66.543	67.035	67.68	65.256	64.674	64.389	65.224	65.548	64.66	64.137	63.983	64.887	64.82	65.272	65.288	64.884	64.852	64.514	64.491	63.992	64.285	63.732	63.326	63.818	63.395	62.904	63.403	63.473	63.333	63.488	63.231	63.536	64.158	63.841	62.783	63.187	64.776	65.192	65.124	64.959	65.164	65.53	65.806	66.026	65.514	66.453	66.31	65.958	66.299	66.659	66.276	65.802	65.391	65.453	65.283	65.053	64.387	65.063	65.365	
