temp_mean	0.947	0.965	0.966	1.021	1.027	1.021	1.008	0.98	0.968	0.971	0.98	0.968	0.958	0.95	0.925	0.922	0.923	0.896	0.883	0.882	0.881	0.872	0.889	0.893	0.889	0.869	0.867	0.847	0.849	0.84	0.838	0.83	0.829	0.837	0.823	0.806	0.785	0.757	0.751	0.754	0.771	0.778	0.781	0.772	0.776	0.771	0.764	0.755	0.743	0.749	0.736	0.735	0.715	0.711	0.71	0.691	0.677	0.657	0.652	0.649	0.629	0.64	0.621	0.627	0.637	0.616	0.61	0.609	0.591	0.568	0.555	0.561	0.556	0.548	0.559	0.569	0.556	0.541	0.52	0.521	0.53	0.515	0.492	0.47	0.464	0.471	0.48	0.501	0.479	0.426	0.423	0.43	0.418	0.425	0.418	0.41	0.41	0.433	0.441	0.444	0.423	0.436	0.432	0.448	0.438	0.453	0.447	0.48	0.488	0.491	0.469	0.447	0.436	0.406	0.394	0.398	0.406	0.408	0.422	0.447	0.467	0.469	0.482	0.502	0.496	0.505	0.519	0.541	0.582	0.609	0.621	0.603	0.608	0.611	0.627	0.617	0.635	0.64	0.634	0.651	0.652	0.61	0.6	0.586	0.583	0.582	0.613	0.629	0.627	0.642	0.621	0.619	0.6	0.6	0.573	0.585	0.593	0.55	0.583	0.611	0.605	0.606	0.568	0.559	0.575	0.59	0.585	0.591	0.581	0.599	0.606	0.638	0.641	0.639	0.628	0.62	0.597	0.599	0.608	0.613	0.588	0.582	0.608	0.603	0.58	0.555	0.535	0.484	0.477	0.421	0.415	0.394	0.396	0.362	0.379	0.373	0.35	0.309	0.279	0.273	0.297	0.278	0.301	0.32	0.315	0.346	0.374	0.401	0.412	0.43	0.425	0.429	0.43	0.456	0.484	0.518	0.536	0.542	0.534	0.56	0.579	0.615	0.631	0.642	0.633	0.61	0.627	0.678	0.696	0.72	0.719	0.721	0.761	0.84	0.859	0.911	0.911	0.902	0.9	0.911	
temp_sigma	1.115	1.143	1.15	1.194	1.192	1.197	1.201	1.2	1.197	1.213	1.218	1.226	1.219	1.189	1.181	1.199	1.225	1.239	1.239	1.227	1.239	1.25	1.268	1.26	1.264	1.267	1.262	1.247	1.246	1.223	1.208	1.171	1.169	1.157	1.139	1.133	1.134	1.119	1.115	1.092	1.076	1.057	1.045	1.049	1.075	1.104	1.142	1.173	1.195	1.19	1.173	1.169	1.176	1.184	1.191	1.203	1.21	1.209	1.192	1.184	1.192	1.193	1.2	1.187	1.198	1.189	1.19	1.19	1.189	1.192	1.159	1.154	1.137	1.149	1.145	1.149	1.14	1.144	1.118	1.109	1.112	1.108	1.121	1.111	1.114	1.118	1.112	1.128	1.133	1.09	1.078	1.069	1.081	1.087	1.081	1.071	1.059	1.06	1.056	1.033	1.047	1.052	1.076	1.065	1.072	1.078	1.087	1.079	1.079	1.074	1.074	1.103	1.107	1.119	1.14	1.155	1.146	1.096	1.089	1.09	1.093	1.108	1.112	1.076	1.082	1.103	1.083	1.089	1.098	1.125	1.133	1.127	1.141	1.159	1.153	1.155	1.152	1.112	1.113	1.162	1.17	1.18	1.165	1.175	1.2	1.192	1.188	1.208	1.216	1.218	1.21	1.238	1.231	1.233	1.215	1.224	1.235	1.209	1.227	1.231	1.202	1.207	1.189	1.194	1.162	1.138	1.128	1.127	1.122	1.113	1.105	1.083	1.088	1.085	1.108	1.085	1.101	1.094	1.104	1.131	1.162	1.161	1.188	1.206	1.198	1.245	1.291	1.343	1.357	1.377	1.397	1.401	1.396	1.372	1.368	1.355	1.349	1.384	1.425	1.452	1.446	1.48	1.473	1.479	1.504	1.468	1.484	1.466	1.441	1.44	1.453	1.452	1.495	1.496	1.534	1.561	1.596	1.608	1.633	1.626	1.629	1.61	1.602	1.641	1.66	1.665	1.708	1.748	1.8	1.779	1.797	1.824	1.795	1.782	1.784	1.768	1.778	1.745	1.75	1.736	
dewpoint_mean	-16.629	-16.852	-16.878	-16.911	-16.966	-17.028	-17.086	-17.383	-17.658	-17.697	-17.969	-18.016	-17.845	-17.657	-17.502	-17.331	-17.143	-16.978	-16.812	-16.655	-16.475	-16.317	-16.137	-15.962	-15.77	-15.581	-15.394	-15.438	-15.699	-15.756	-15.801	-15.816	-15.862	-15.902	-15.957	-16.009	-16.039	-15.842	-15.646	-15.471	-15.518	-15.798	-16.079	-16.373	-16.191	-16.011	-16.047	-16.095	-16.124	-16.177	-15.956	-16.005	-15.802	-15.847	-15.638	-15.415	-15.449	-15.469	-15.508	-15.522	-15.561	-15.596	-15.622	-15.638	-15.658	-15.669	-15.952	-16.454	-16.943	-17.179	-17.431	-17.667	-17.921	-18.166	-18.429	-18.692	-18.936	-19.178	-19.689	-19.953	-20.207	-20.47	-20.741	-21.012	-21.071	-21.14	-21.195	-21.279	-21.332	-21.4	-21.459	-21.534	-21.601	-21.653	-21.718	-21.785	-21.854	-21.913	-21.985	-22.045	-22.113	-22.157	-22.221	-22.266	-22.329	-22.399	-22.449	-22.496	-22.547	-22.611	-22.673	-22.745	-22.518	-22.324	-22.4	-22.474	-22.815	-23.155	-23.25	-23.351	-23.413	-23.199	-22.988	-22.772	-23.137	-23.188	-23.54	-23.883	-23.948	-23.702	-23.465	-23.24	-23.004	-23.045	-23.102	-23.153	-22.919	-22.689	-22.478	-22.523	-22.883	-23.236	-23.303	-23.666	-23.752	-23.837	-23.921	-24.006	-24.093	-24.441	-24.819	-25.193	-25.294	-25.693	-25.784	-25.876	-25.684	-25.458	-25.545	-25.325	-25.433	-25.866	-25.978	-26.424	-26.867	-26.968	-27.065	-27.193	-27.315	-27.105	-27.216	-27.696	-27.461	-27.563	-28.029	-28.124	-28.215	-27.937	-27.67	-27.395	-27.141	-27.235	-27.343	-27.09	-26.849	-26.64	-27.137	-27.64	-28.159	-28.337	-28.16	-28.359	-28.543	-29.068	-29.564	-29.701	-29.443	-28.767	-28.056	-28.108	-28.149	-28.164	-28.206	-28.247	-28.319	-28.389	-28.878	-28.981	-28.708	-28.804	-28.945	-29.469	-30.009	-30.167	-29.899	-29.63	-29.756	-29.889	-30.03	-30.174	-30.289	-30.39	-30.524	-30.642	-31.151	-31.682	-32.189	-32.255	-32.377	-32.469	-32.56	-32.707	-32.896	-33.338	-33.755	-34.199	-34.627	-34.743	-34.878	-35.036	
dewpoint_sigma	35.877	36.04	36.058	36.053	36.073	36.118	36.142	36.32	36.508	36.526	36.702	36.715	36.597	36.438	36.3	36.169	36.025	35.88	35.733	35.586	35.428	35.288	35.144	35.007	34.844	34.695	34.549	34.588	34.83	34.863	34.909	34.969	35.041	35.089	35.144	35.175	35.208	35.068	34.897	34.76	34.807	35.059	35.288	35.516	35.368	35.224	35.264	35.299	35.349	35.402	35.26	35.308	35.167	35.211	35.043	34.892	34.94	34.967	35.007	35.03	35.069	35.096	35.156	35.206	35.227	35.224	35.426	35.82	36.216	36.437	36.628	36.811	37.009	37.202	37.39	37.582	37.762	37.953	38.281	38.46	38.629	38.802	38.97	39.154	39.186	39.232	39.279	39.305	39.361	39.389	39.41	39.447	39.491	39.536	39.567	39.585	39.608	39.65	39.685	39.734	39.772	39.817	39.859	39.911	39.953	39.992	40.036	40.062	40.113	40.149	40.2	40.246	40.142	40.049	40.1	40.132	40.324	40.488	40.529	40.574	40.602	40.49	40.387	40.277	40.482	40.553	40.794	40.976	41.033	40.961	40.873	40.77	40.663	40.719	40.746	40.784	40.671	40.56	40.449	40.519	40.715	40.907	40.96	41.152	41.202	41.215	41.259	41.302	41.352	41.533	41.711	41.874	41.902	42.101	42.145	42.189	42.098	41.959	41.999	41.861	41.896	42.084	42.101	42.264	42.427	42.453	42.507	42.556	42.577	42.486	42.533	42.692	42.611	42.673	42.836	42.888	42.937	42.88	42.787	42.663	42.544	42.599	42.636	42.545	42.46	42.367	42.564	42.755	42.932	42.942	42.812	42.85	42.884	43.05	43.21	43.234	43.176	42.993	42.775	42.773	42.788	42.856	42.907	42.904	42.952	43.019	43.197	43.209	43.079	43.148	43.187	43.393	43.566	43.622	43.576	43.526	43.525	43.556	43.592	43.617	43.674	43.751	43.816	43.873	44.064	44.207	44.328	44.377	44.44	44.527	44.644	44.71	44.742	44.894	44.986	45.061	45.165	45.242	45.274	45.288	
humidity_mean	1.284	1.173	1.084	0.82	0.735	0.688	0.64	0.609	0.598	0.626	0.618	0.608	0.656	0.68	0.746	0.79	0.796	0.763	0.692	0.683	0.623	0.629	0.584	0.556	0.628	0.709	0.775	0.831	0.864	0.921	0.948	1.009	1.129	1.197	1.312	1.424	1.543	1.128	1.187	1.196	1.137	1.666	1.654	1.608	1.582	1.589	1.546	1.522	1.524	1.609	1.215	1.939	2.09	2.116	2.171	2.223	2.324	2.427	2.523	2.649	2.737	2.799	2.904	2.967	3.09	3.228	3.301	3.441	3.602	3.747	3.904	3.993	4.072	4.118	4.17	4.188	4.27	4.377	4.428	4.486	4.498	4.507	4.559	4.622	4.596	4.63	4.611	4.642	4.681	4.779	4.808	4.837	4.851	4.843	4.861	4.921	4.932	4.902	4.89	4.897	4.87	4.788	4.726	4.74	4.794	4.891	5.008	5.098	5.166	5.198	5.275	5.396	5.588	5.772	5.839	5.879	5.866	5.877	5.868	5.893	5.838	5.154	5.104	5.162	5.87	5.966	6.025	6.077	6.116	6.185	6.33	6.412	6.408	6.448	6.615	6.717	6.813	6.922	7.057	7.127	7.269	7.433	7.52	7.593	7.661	7.65	7.639	7.788	7.837	7.93	8.0	8.066	8.095	8.221	8.217	8.257	8.102	8.024	7.932	7.805	7.681	7.604	7.582	7.427	7.223	7.02	6.954	6.84	6.819	6.637	6.542	6.411	6.442	6.45	6.481	6.543	6.665	6.795	6.93	7.076	7.092	7.19	7.279	6.462	6.604	6.692	7.691	7.693	7.48	7.183	6.926	6.626	6.445	6.308	6.265	6.379	6.805	7.271	7.76	8.071	8.408	8.857	9.211	9.394	9.622	9.755	9.889	9.863	9.938	10.126	10.191	10.355	10.305	10.266	10.208	10.097	9.895	9.809	9.742	9.687	9.772	9.885	9.986	10.192	10.375	10.627	10.836	11.007	11.181	11.599	12.11	12.326	12.321	12.293	12.258	12.305	12.3	12.372	12.531	12.575	
humidity_sigma	12.63	12.764	12.868	13.33	13.354	13.428	13.472	13.527	13.558	13.58	13.565	13.559	13.493	13.423	13.39	13.415	13.456	13.518	13.471	13.485	13.458	13.442	13.487	13.496	13.49	13.44	13.382	13.368	13.384	13.341	13.237	13.227	13.204	13.146	13.114	13.069	13.044	8.37	8.28	8.241	8.192	12.88	12.868	12.908	12.917	12.933	13.036	13.1	13.133	13.151	8.372	13.196	13.121	13.134	13.102	13.14	13.102	13.087	13.042	13.028	12.996	12.952	12.898	12.913	12.874	12.838	12.833	12.85	12.807	12.795	12.843	12.842	12.853	12.811	12.866	12.821	12.914	12.897	12.841	12.789	12.812	12.765	12.751	12.759	12.788	12.807	12.874	12.903	12.89	12.858	12.758	12.786	12.76	12.766	12.719	12.659	12.661	12.687	12.69	12.747	12.697	12.675	12.649	12.725	12.723	12.761	12.786	12.75	12.816	12.796	12.797	12.721	12.709	12.674	12.714	12.633	12.622	12.637	12.693	12.735	12.713	6.079	5.944	5.925	12.655	12.675	12.731	12.815	12.775	12.753	12.788	12.745	12.784	12.808	12.812	12.835	12.693	12.826	12.831	12.787	12.821	12.954	12.94	13.007	13.046	13.076	13.143	13.133	13.185	13.207	13.278	13.367	13.399	13.46	13.542	13.575	13.559	13.524	13.522	13.558	13.63	13.701	13.769	13.778	13.845	13.867	13.901	13.939	13.96	13.97	14.04	14.144	14.185	14.236	14.297	14.388	14.406	14.31	14.293	14.306	14.297	14.35	14.416	6.593	6.681	6.792	14.632	14.899	14.932	14.953	14.953	14.992	15.056	15.12	15.291	15.289	15.364	15.393	15.379	15.489	15.54	15.79	15.846	15.871	15.94	15.998	16.036	16.132	16.224	16.309	16.438	16.492	16.599	16.671	16.653	16.662	16.786	16.895	16.957	16.921	17.058	17.035	17.027	16.939	17.065	17.382	17.434	17.472	17.517	17.466	17.464	17.487	17.561	17.534	17.574	17.546	17.594	17.569	17.615	17.67	
wspd_mean	-5.159	-5.26	-5.412	-5.614	-5.681	-5.686	-5.819	-5.984	-6.011	-6.052	-6.011	-6.049	-6.034	-6.045	-6.063	-6.014	-5.942	-5.986	-6.028	-6.173	-6.173	-6.2	-6.198	-6.151	-6.137	-6.142	-6.179	-6.163	-6.185	-6.205	-6.065	-6.012	-5.936	-5.845	-5.732	-5.699	-5.557	-5.452	-5.434	-5.429	-5.319	-5.27	-5.239	-5.184	-5.108	-5.094	-5.106	-5.047	-4.984	-4.894	-4.886	-4.942	-5.047	-5.061	-5.13	-5.238	-5.238	-5.275	-5.284	-5.159	-5.069	-5.108	-5.255	-5.37	-5.413	-5.386	-5.306	-5.338	-5.294	-5.218	-5.085	-4.98	-4.969	-5.058	-5.135	-5.14	-5.176	-5.191	-5.134	-5.169	-5.182	-5.148	-5.162	-5.238	-5.31	-5.352	-5.499	-5.586	-5.637	-5.698	-5.758	-5.778	-5.694	-5.61	-5.583	-5.617	-5.701	-5.842	-5.824	-5.877	-5.925	-6.006	-6.065	-6.034	-6.022	-6.108	-6.177	-6.256	-6.323	-6.369	-6.427	-6.418	-6.511	-6.537	-6.601	-6.591	-6.615	-6.722	-6.834	-6.981	-7.135	-7.239	-7.353	-7.474	-7.568	-7.553	-7.525	-7.517	-7.539	-7.536	-7.504	-7.504	-7.459	-7.394	-7.464	-7.472	-7.526	-7.505	-7.494	-7.444	-7.39	-7.26	-7.028	-6.898	-6.905	-6.981	-7.109	-7.143	-7.14	-7.129	-7.14	-7.086	-7.085	-6.945	-6.831	-6.711	-6.676	-6.696	-6.766	-6.833	-6.811	-6.738	-6.72	-6.785	-6.794	-6.842	-6.822	-6.938	-7.059	-7.152	-7.212	-7.167	-7.162	-7.032	-6.935	-6.844	-6.757	-6.742	-6.721	-6.777	-6.738	-6.739	-6.799	-6.784	-6.807	-6.9	-6.911	-6.805	-6.736	-6.552	-6.49	-6.404	-6.383	-6.258	-6.32	-6.335	-6.445	-6.48	-6.624	-6.686	-6.719	-6.811	-6.899	-6.857	-6.744	-6.636	-6.757	-6.894	-7.118	-7.246	-7.323	-7.416	-7.542	-7.68	-7.807	-7.784	-7.78	-7.807	-7.852	-7.984	-8.183	-8.526	-8.722	-8.898	-9.115	-9.256	-9.394	-9.574	-9.757	-10.0	-10.25	-10.313	-10.264	-10.136	-10.109	-10.146	-10.058	-9.971	-10.029	-10.046	
wspd_sigma	7.746	7.758	7.712	7.65	7.554	7.551	7.52	7.462	7.441	7.406	7.472	7.469	7.497	7.505	7.545	7.568	7.644	7.63	7.57	7.438	7.416	7.422	7.469	7.487	7.489	7.429	7.47	7.398	7.399	7.41	7.484	7.543	7.55	7.568	7.598	7.64	7.667	7.636	7.603	7.558	7.528	7.529	7.551	7.543	7.487	7.312	7.266	7.239	7.286	7.308	7.359	7.321	7.412	7.365	7.362	7.299	7.346	7.378	7.292	7.321	7.38	7.393	7.374	7.293	7.201	7.189	7.113	7.084	7.139	7.198	7.334	7.409	7.402	7.454	7.372	7.404	7.4	7.394	7.544	7.604	7.659	7.784	7.902	7.909	7.896	7.911	7.926	7.985	7.989	7.969	7.96	7.932	7.97	8.008	8.024	8.067	8.057	8.015	7.99	8.032	8.087	8.095	8.105	8.139	8.125	8.152	8.128	8.147	8.195	8.129	8.059	8.067	8.109	8.227	8.301	8.308	8.27	8.291	8.287	8.277	8.228	8.109	7.989	7.954	7.976	7.978	8.032	8.104	8.124	8.131	8.191	8.19	8.267	8.343	8.224	8.252	8.149	8.09	7.986	7.974	7.971	8.094	8.212	8.22	8.175	8.064	8.03	7.876	7.893	7.994	8.059	8.074	8.084	8.195	8.334	8.419	8.444	8.491	8.416	8.472	8.469	8.531	8.527	8.528	8.535	8.493	8.514	8.549	8.605	8.7	8.737	8.815	8.903	8.916	8.881	8.947	8.973	8.986	9.034	9.043	9.051	9.068	9.111	9.048	8.886	8.629	8.45	8.529	8.655	8.932	8.944	8.851	8.783	8.686	8.645	8.609	8.516	8.54	8.475	8.594	8.513	8.372	8.261	8.401	8.604	8.708	8.62	8.351	8.273	8.086	8.133	8.19	8.334	8.374	8.604	8.857	9.234	9.405	9.557	9.679	9.773	9.949	9.971	10.008	10.164	10.333	10.399	10.479	10.426	10.498	10.517	10.646	10.538	10.556	10.452	10.549	10.546	10.478	10.399	10.349	
wdir_deg_mean	40.042	40.386	39.783	40.733	41.853	41.736	39.336	37.379	38.488	36.393	33.082	30.193	30.597	29.84	31.597	30.944	29.668	31.844	34.169	34.759	35.621	35.528	36.431	36.573	34.893	36.404	35.165	39.363	40.106	40.705	39.672	40.015	39.378	37.025	37.112	36.67	34.897	35.064	35.786	35.413	35.956	34.109	31.042	31.893	31.118	29.433	30.158	31.032	31.05	31.191	30.726	31.776	32.869	33.397	33.164	31.852	32.981	31.883	32.807	33.436	34.464	33.953	34.019	36.163	37.362	37.59	36.256	36.544	36.95	37.378	38.883	38.683	40.619	39.819	37.464	35.936	37.733	37.033	37.928	39.689	42.492	42.267	44.064	45.872	46.462	47.539	49.765	49.433	48.161	49.314	48.637	47.352	49.45	47.191	49.011	47.506	51.138	51.277	50.067	50.852	50.81	52.877	50.93	52.65	52.614	51.728	52.582	50.988	53.773	52.578	52.79	54.434	55.429	55.964	55.796	57.043	57.125	57.457	58.954	60.302	62.508	65.205	64.526	63.984	62.621	63.547	61.672	58.842	59.867	59.551	58.824	58.08	57.003	58.01	58.767	58.175	57.967	60.026	59.318	53.809	51.498	54.228	55.226	54.163	56.659	57.101	58.848	58.456	57.241	56.52	56.843	56.404	54.869	55.703	56.772	57.194	53.721	52.577	54.923	55.965	57.216	55.415	56.117	55.339	56.337	56.496	54.747	54.888	54.658	53.766	53.821	54.577	55.007	56.419	57.249	55.981	55.603	56.124	57.887	59.0	61.297	63.954	65.398	65.927	64.737	63.973	64.455	66.402	67.792	70.642	71.012	69.738	68.737	69.724	70.145	72.956	74.255	75.654	78.453	75.23	73.811	73.149	72.519	71.017	70.218	69.504	71.017	71.441	73.438	74.205	73.421	72.819	72.961	73.548	71.214	71.82	71.881	69.841	70.524	70.116	70.632	69.86	70.231	69.782	71.11	70.312	69.055	68.625	68.353	66.822	64.981	64.679	64.294	62.962	62.848	61.417	60.882	61.181	61.66	61.399	
wdir_deg_sigma	81.832	81.585	81.199	81.296	80.768	82.43	83.683	84.543	84.176	84.742	83.821	84.19	83.942	83.409	83.095	81.814	80.487	78.856	77.524	77.051	75.838	76.08	75.826	75.956	76.129	76.619	77.613	76.613	76.041	75.792	77.393	77.753	78.048	78.547	78.053	77.991	80.171	80.734	80.599	81.043	80.478	81.659	79.516	80.97	81.469	81.262	80.303	80.159	80.597	80.13	80.568	80.595	81.099	80.611	81.745	82.664	80.787	80.712	81.338	81.004	80.082	80.31	79.797	78.18	77.424	76.116	77.194	76.931	77.584	77.877	76.557	75.887	75.703	76.921	77.913	76.955	77.398	76.825	78.31	77.776	76.564	77.322	78.292	77.68	78.654	78.23	78.093	77.365	77.699	77.97	77.745	78.075	78.125	79.226	78.168	79.718	79.434	79.809	81.349	81.037	81.679	81.077	81.331	81.147	81.809	81.754	81.666	82.058	81.287	81.29	80.119	80.777	80.461	80.214	79.451	79.176	78.793	78.82	77.682	77.343	75.441	73.215	74.112	73.383	75.331	75.243	75.347	76.853	77.67	76.665	75.355	74.825	74.745	74.097	73.791	73.239	72.987	72.09	72.094	74.689	75.961	75.71	74.645	73.526	72.144	71.371	72.431	73.015	72.178	73.42	72.369	72.669	73.087	73.961	73.924	74.313	75.095	74.097	74.037	73.94	73.582	74.846	73.071	73.168	73.228	73.604	73.745	73.256	72.621	71.63	70.309	70.223	69.492	67.882	66.713	67.221	66.855	66.679	65.531	65.096	62.646	60.693	59.745	58.36	60.25	59.809	59.607	56.801	57.181	54.447	53.715	53.921	53.535	53.44	54.339	54.054	54.058	52.759	51.95	52.225	52.393	51.606	52.559	52.43	53.326	55.593	52.733	53.147	52.146	49.792	49.836	50.94	51.316	50.709	50.911	52.062	51.892	52.311	53.483	52.499	52.671	52.064	52.81	53.044	53.878	54.615	54.815	54.769	55.448	55.131	54.72	53.803	54.172	53.93	53.882	54.25	53.636	52.507	51.709	51.8	
