temp_mean	1.336	1.288	1.233	1.115	1.122	1.118	1.139	1.157	1.172	1.184	1.191	1.199	1.196	1.191	1.17	1.168	1.166	1.15	1.137	1.131	1.133	1.134	1.142	1.143	1.138	1.129	1.135	1.123	1.147	1.167	1.186	1.213	1.209	1.208	1.22	1.227	1.235	1.219	1.198	1.178	1.19	1.196	1.21	1.222	1.239	1.27	1.287	1.269	1.261	1.266	1.276	1.283	1.296	1.305	1.307	1.326	1.359	1.379	1.36	1.362	1.368	1.358	1.368	1.366	1.375	1.368	1.351	1.312	1.305	1.293	1.285	1.281	1.272	1.275	1.286	1.281	1.251	1.251	1.249	1.231	1.224	1.21	1.187	1.169	1.155	1.135	1.106	1.073	1.055	1.046	1.076	1.108	1.111	1.102	1.052	1.03	0.997	0.978	0.974	0.978	0.977	0.989	1.005	1.035	1.043	1.068	1.079	1.084	1.078	1.061	1.038	1.029	1.035	1.003	1.006	1.0	0.998	0.99	0.992	0.969	0.921	0.916	0.923	0.925	0.917	0.916	0.967	0.979	1.007	1.023	1.028	1.037	1.024	1.012	1.015	1.05	1.097	1.119	1.148	1.177	1.168	1.181	1.203	1.214	1.205	1.235	1.242	1.266	1.293	1.305	1.347	1.408	1.43	1.451	1.454	1.513	1.543	1.547	1.552	1.56	1.554	1.558	1.561	1.561	1.567	1.564	1.571	1.551	1.562	1.538	1.558	1.572	1.573	1.597	1.609	1.644	1.663	1.677	1.669	1.675	1.713	1.71	1.693	1.668	1.689	1.703	1.699	1.7	1.704	1.709	1.764	1.763	1.743	1.728	1.735	1.742	1.759	1.777	1.827	1.853	1.9	1.913	1.939	1.955	2.001	1.963	1.96	2.003	2.033	2.072	2.104	2.123	2.173	2.183	2.191	2.184	2.168	2.142	2.161	2.162	2.161	2.178	2.195	2.222	2.253	2.245	2.237	2.248	2.265	2.297	2.281	2.301	2.313	2.31	2.29	2.294	2.306	2.313	2.311	2.347	
temp_sigma	1.929	1.944	1.975	2.002	2.008	2.004	2.0	1.994	2.01	2.028	2.029	2.046	2.044	2.046	2.047	2.056	2.054	2.049	2.035	2.018	2.056	2.064	2.078	2.079	2.071	2.067	2.037	2.039	2.044	2.075	2.105	2.107	2.14	2.155	2.174	2.179	2.172	2.152	2.122	2.085	2.096	2.11	2.112	2.123	2.164	2.184	2.199	2.204	2.205	2.202	2.185	2.164	2.167	2.177	2.21	2.244	2.273	2.277	2.294	2.295	2.321	2.33	2.332	2.321	2.323	2.32	2.327	2.311	2.334	2.344	2.366	2.374	2.373	2.381	2.375	2.381	2.39	2.39	2.405	2.395	2.406	2.406	2.428	2.436	2.466	2.474	2.467	2.456	2.444	2.439	2.46	2.477	2.493	2.503	2.478	2.467	2.476	2.467	2.457	2.461	2.454	2.477	2.511	2.524	2.544	2.574	2.574	2.587	2.582	2.57	2.541	2.533	2.534	2.495	2.47	2.463	2.491	2.467	2.461	2.431	2.388	2.39	2.379	2.365	2.346	2.353	2.397	2.447	2.491	2.514	2.518	2.491	2.47	2.452	2.437	2.446	2.46	2.476	2.507	2.525	2.545	2.572	2.6	2.606	2.586	2.582	2.614	2.591	2.609	2.612	2.644	2.673	2.682	2.707	2.705	2.735	2.743	2.752	2.74	2.738	2.719	2.718	2.717	2.733	2.741	2.74	2.753	2.755	2.763	2.767	2.754	2.75	2.744	2.755	2.768	2.791	2.812	2.839	2.831	2.861	2.867	2.868	2.851	2.838	2.817	2.825	2.825	2.802	2.821	2.806	2.834	2.799	2.789	2.762	2.727	2.695	2.662	2.634	2.684	2.719	2.791	2.8	2.829	2.841	2.842	2.851	2.859	2.847	2.848	2.911	2.941	2.962	2.962	2.985	3.001	2.949	2.91	2.875	2.901	2.961	2.974	2.973	3.036	3.096	3.13	3.136	3.15	3.16	3.198	3.212	3.258	3.274	3.261	3.264	3.243	3.21	3.194	3.171	3.167	3.161	
dewpoint_mean	-0.458	-0.432	-0.437	-0.522	-0.519	-0.512	-0.531	-0.527	-0.525	-0.499	-0.469	-0.47	-0.473	-0.449	-0.441	-0.432	-0.416	-0.425	-0.416	-0.418	-0.397	-0.385	-0.354	-0.342	-0.328	-0.312	-0.306	-0.286	-0.275	-0.265	-0.267	-0.263	-0.249	-0.228	-0.242	-0.213	-0.199	-0.178	-0.171	-0.166	-0.144	-0.141	-0.109	-0.115	-0.123	-0.1	-0.093	-0.089	-0.061	-0.05	-0.041	-0.032	-0.022	-0.01	-0.005	-0.013	-0.039	-0.033	0.002	0.034	0.032	0.058	0.088	0.092	0.103	0.109	0.096	0.108	0.118	0.146	0.159	0.153	0.138	0.15	0.163	0.169	0.174	0.166	0.157	0.169	0.172	0.186	0.171	0.168	0.169	0.201	0.214	0.229	0.241	0.252	0.233	0.207	0.199	0.179	0.185	0.198	0.193	0.209	0.191	0.174	0.167	0.181	0.18	0.154	0.14	0.147	0.147	0.137	0.139	0.132	0.134	0.143	0.154	0.158	0.166	0.163	0.166	0.152	0.173	0.193	0.23	0.278	0.321	0.348	0.394	0.445	0.48	0.503	0.532	0.607	0.651	0.674	0.684	0.695	0.754	0.784	0.828	0.876	0.931	0.977	1.003	1.048	1.099	1.121	1.18	1.213	1.254	1.291	1.347	1.379	1.421	1.455	1.47	1.441	1.442	1.439	1.427	1.443	1.421	1.413	1.37	1.358	1.339	1.349	1.341	1.329	1.342	1.302	1.277	1.298	1.312	1.286	1.262	1.225	1.217	1.219	1.223	1.205	1.197	1.211	1.238	1.252	1.279	1.307	1.339	1.352	1.376	1.391	1.358	1.363	1.333	1.315	1.286	1.281	1.288	1.269	1.291	1.315	1.303	1.317	1.316	1.331	1.351	1.374	1.391	1.429	1.456	1.497	1.562	1.603	1.635	1.659	1.661	1.669	1.717	1.75	1.753	1.784	1.791	1.825	1.892	1.966	2.023	2.116	2.181	2.234	2.302	2.402	2.442	2.467	2.508	2.528	2.561	2.6	2.634	2.673	2.71	2.724	2.753	2.785	
dewpoint_sigma	2.098	2.139	2.188	2.362	2.362	2.36	2.353	2.351	2.336	2.351	2.347	2.371	2.378	2.388	2.372	2.37	2.385	2.381	2.363	2.346	2.319	2.287	2.305	2.291	2.291	2.233	2.217	2.198	2.182	2.161	2.137	2.126	2.101	2.107	2.089	2.049	2.012	1.975	1.954	1.911	1.885	1.861	1.833	1.795	1.733	1.679	1.628	1.634	1.597	1.576	1.567	1.564	1.519	1.5	1.488	1.479	1.495	1.49	1.452	1.439	1.415	1.421	1.447	1.462	1.472	1.446	1.445	1.451	1.454	1.42	1.405	1.407	1.426	1.458	1.452	1.514	1.557	1.562	1.606	1.615	1.632	1.647	1.669	1.666	1.692	1.667	1.683	1.681	1.661	1.679	1.691	1.696	1.698	1.725	1.729	1.742	1.735	1.752	1.74	1.752	1.761	1.764	1.77	1.784	1.795	1.799	1.77	1.773	1.778	1.783	1.796	1.797	1.805	1.806	1.815	1.826	1.857	1.852	1.844	1.843	1.834	1.848	1.854	1.91	1.931	1.96	1.954	1.967	1.939	1.898	1.924	1.922	1.929	1.93	1.952	1.992	2.023	2.035	2.028	2.053	2.053	2.027	2.023	2.003	1.993	1.978	1.966	1.97	1.936	1.873	1.802	1.748	1.738	1.724	1.692	1.704	1.709	1.758	1.803	1.811	1.807	1.823	1.838	1.876	1.909	1.917	1.946	1.985	1.987	2.005	2.009	2.033	2.053	2.067	2.072	2.089	2.117	2.083	2.082	2.077	2.067	2.078	2.117	2.149	2.167	2.181	2.189	2.165	2.144	2.149	2.145	2.124	2.137	2.156	2.164	2.175	2.198	2.224	2.206	2.227	2.242	2.283	2.313	2.331	2.36	2.377	2.427	2.456	2.537	2.608	2.63	2.656	2.701	2.697	2.724	2.757	2.782	2.816	2.913	2.954	3.0	3.054	3.089	3.105	3.147	3.153	3.191	3.245	3.284	3.313	3.363	3.389	3.393	3.408	3.428	3.462	3.499	3.512	3.525	3.53	
humidity_mean	-4.344	-4.099	-3.972	-3.65	-3.699	-3.772	-3.879	-3.986	-3.995	-3.957	-3.964	-3.959	-3.896	-3.869	-3.767	-3.735	-3.651	-3.636	-3.625	-3.614	-3.618	-3.615	-3.577	-3.511	-3.405	-3.299	-3.218	-3.158	-3.156	-3.169	-3.207	-3.258	-3.264	-3.26	-3.301	-3.253	-3.218	-3.157	-3.077	-2.982	-3.075	-3.184	-3.24	-3.308	-3.406	-3.501	-3.597	-3.594	-3.537	-3.52	-3.503	-3.504	-3.489	-3.418	-3.409	-3.472	-3.522	-3.501	-3.359	-3.335	-3.262	-3.186	-3.135	-3.039	-3.077	-3.058	-3.022	-2.947	-2.825	-2.744	-2.636	-2.556	-2.478	-2.389	-2.333	-2.325	-2.225	-2.161	-2.108	-2.031	-1.95	-1.867	-1.778	-1.708	-1.607	-1.464	-1.367	-1.261	-1.237	-1.249	-1.337	-1.446	-1.516	-1.537	-1.427	-1.319	-1.182	-1.078	-1.087	-1.105	-1.143	-1.158	-1.226	-1.335	-1.416	-1.476	-1.582	-1.565	-1.546	-1.476	-1.423	-1.425	-1.405	-1.342	-1.316	-1.296	-1.33	-1.304	-1.231	-1.037	-0.808	-0.565	-0.411	-0.228	-0.041	0.104	0.192	0.259	0.34	0.519	0.639	0.753	0.936	1.145	1.246	1.24	1.261	1.301	1.361	1.359	1.353	1.414	1.585	1.74	1.89	1.973	2.054	2.118	2.203	2.241	2.188	2.12	2.062	1.979	1.948	1.878	1.847	1.811	1.758	1.68	1.59	1.511	1.473	1.429	1.384	1.335	1.224	1.149	1.12	1.095	1.055	0.993	0.886	0.83	0.714	0.627	0.528	0.481	0.449	0.458	0.43	0.416	0.54	0.627	0.664	0.717	0.696	0.711	0.592	0.551	0.391	0.357	0.339	0.292	0.297	0.246	0.243	0.244	0.155	0.07	-0.016	-0.017	-0.046	-0.038	-0.021	0.071	0.165	0.25	0.323	0.419	0.464	0.457	0.351	0.352	0.428	0.601	0.762	0.942	1.027	1.179	1.323	1.477	1.538	1.723	1.817	2.0	2.23	2.519	2.67	2.794	2.962	2.91	2.991	3.209	3.479	3.701	3.934	4.1	4.22	4.317	
humidity_sigma	8.867	9.173	9.463	9.909	9.918	9.883	9.824	9.801	9.775	9.855	9.876	9.94	9.976	9.99	9.97	9.961	10.016	10.009	10.002	10.005	10.093	10.145	10.265	10.327	10.338	10.302	10.22	10.145	10.119	10.173	10.2	10.193	10.228	10.237	10.257	10.215	10.086	10.051	9.934	9.871	9.802	9.728	9.629	9.507	9.468	9.368	9.303	9.185	9.132	9.09	9.064	9.016	8.917	8.901	8.963	9.091	9.235	9.303	9.37	9.487	9.577	9.66	9.775	9.848	9.923	9.917	9.925	9.941	9.966	9.988	10.108	10.224	10.307	10.403	10.454	10.549	10.651	10.735	10.813	10.827	10.892	10.871	10.85	10.895	10.894	10.893	10.859	10.823	10.791	10.78	10.819	10.856	10.872	10.903	10.909	10.893	10.869	10.839	10.764	10.715	10.67	10.733	10.792	10.919	10.997	11.099	11.135	11.206	11.199	11.217	11.161	11.124	11.083	11.082	11.117	11.166	11.248	11.249	11.206	11.14	11.031	11.02	10.983	10.983	10.987	11.016	11.05	11.048	10.981	10.837	10.901	10.852	10.854	10.869	10.896	11.0	11.103	11.169	11.236	11.317	11.341	11.34	11.402	11.363	11.338	11.286	11.324	11.328	11.318	11.318	11.299	11.344	11.356	11.398	11.414	11.454	11.51	11.592	11.585	11.569	11.524	11.532	11.511	11.611	11.72	11.762	11.787	11.766	11.767	11.736	11.675	11.642	11.568	11.596	11.619	11.69	11.764	11.802	11.892	11.91	11.97	11.986	11.941	11.904	11.863	11.843	11.84	11.809	11.862	11.798	11.824	11.773	11.825	11.803	11.799	11.729	11.757	11.689	11.9	12.022	12.152	12.321	12.356	12.333	12.368	12.431	12.538	12.595	12.642	12.698	12.606	12.616	12.573	12.461	12.488	12.524	12.664	12.817	12.844	12.898	12.842	12.693	12.547	12.517	12.436	12.336	12.191	12.18	12.189	12.219	12.242	12.195	12.21	12.332	12.499	12.678	12.801	12.918	13.017	13.183	
wspd_mean	-14.002	-14.803	-15.859	-18.821	-18.882	-18.891	-18.852	-18.871	-18.842	-18.854	-18.911	-18.887	-18.894	-18.838	-18.808	-18.764	-18.734	-18.665	-18.627	-18.548	-18.507	-18.504	-18.443	-18.38	-18.259	-18.183	-18.09	-18.023	-17.927	-17.844	-17.722	-17.603	-17.584	-17.568	-17.5	-17.45	-17.334	-17.247	-17.142	-17.14	-17.058	-17.009	-16.951	-16.873	-16.798	-16.742	-16.707	-16.677	-16.624	-16.672	-16.682	-16.705	-16.742	-16.749	-16.74	-16.729	-16.728	-16.763	-16.781	-16.824	-16.883	-17.017	-17.155	-17.298	-17.36	-17.386	-17.409	-17.324	-17.352	-17.357	-17.332	-17.388	-17.368	-17.399	-17.457	-17.446	-17.533	-17.568	-17.601	-17.632	-17.662	-17.704	-17.723	-17.693	-17.756	-17.786	-17.831	-17.912	-18.024	-18.109	-18.208	-18.26	-18.312	-18.35	-18.394	-18.38	-18.454	-18.507	-18.564	-18.74	-18.838	-18.923	-19.031	-19.225	-19.282	-19.359	-19.45	-19.537	-19.587	-19.666	-19.74	-19.845	-19.892	-19.953	-20.017	-20.133	-20.231	-20.271	-20.398	-20.449	-20.453	-20.517	-20.596	-20.664	-20.802	-20.848	-20.898	-20.967	-21.059	-21.081	-21.075	-21.13	-21.195	-21.228	-21.241	-21.288	-21.312	-21.378	-21.383	-21.397	-21.386	-21.374	-21.315	-21.286	-21.247	-21.271	-21.276	-21.347	-21.327	-21.383	-21.338	-21.367	-21.344	-21.39	-21.439	-21.438	-21.467	-21.458	-21.442	-21.45	-21.435	-21.412	-21.392	-21.354	-21.337	-21.241	-21.213	-21.087	-21.0	-20.832	-20.7	-20.552	-20.392	-20.244	-20.063	-19.989	-19.881	-19.79	-19.725	-19.724	-19.677	-19.603	-19.587	-19.551	-19.58	-19.435	-19.437	-19.353	-19.236	-19.233	-19.14	-19.124	-19.113	-19.145	-19.126	-19.211	-19.208	-19.172	-19.103	-19.075	-19.178	-19.22	-19.213	-19.293	-19.353	-19.476	-19.533	-19.726	-19.887	-19.927	-20.017	-20.103	-20.149	-20.207	-20.299	-20.326	-20.526	-20.661	-20.86	-21.046	-21.361	-21.659	-22.011	-22.37	-22.746	-23.02	-23.191	-23.437	-23.634	-23.8	-24.011	-24.162	-24.206	-24.21	-24.215	-24.2	-24.187	-24.193	-24.203	-24.248	
wspd_sigma	7.642	7.552	7.665	7.755	7.681	7.613	7.598	7.526	7.501	7.444	7.374	7.389	7.398	7.387	7.39	7.428	7.363	7.333	7.339	7.339	7.366	7.372	7.415	7.433	7.389	7.347	7.335	7.325	7.306	7.338	7.366	7.342	7.294	7.321	7.406	7.43	7.418	7.425	7.473	7.446	7.474	7.44	7.44	7.477	7.448	7.462	7.419	7.436	7.447	7.492	7.502	7.515	7.494	7.522	7.533	7.571	7.605	7.606	7.617	7.556	7.519	7.456	7.424	7.411	7.411	7.356	7.323	7.303	7.297	7.327	7.32	7.325	7.36	7.389	7.485	7.479	7.485	7.557	7.534	7.524	7.508	7.543	7.65	7.662	7.665	7.667	7.745	7.763	7.775	7.79	7.764	7.725	7.717	7.729	7.758	7.771	7.759	7.773	7.788	7.801	7.764	7.766	7.758	7.689	7.681	7.607	7.56	7.501	7.438	7.393	7.331	7.279	7.256	7.263	7.191	7.195	7.152	7.132	7.098	7.126	7.084	7.183	7.162	7.204	7.212	7.232	7.251	7.192	7.116	7.044	6.998	6.949	6.918	6.842	6.838	6.734	6.679	6.625	6.593	6.573	6.556	6.469	6.419	6.346	6.354	6.261	6.206	6.088	6.001	5.907	5.9	5.853	5.792	5.789	5.818	5.803	5.842	5.851	5.872	5.757	5.711	5.755	5.765	5.784	5.787	5.838	5.826	5.853	5.849	5.969	6.117	6.197	6.255	6.304	6.307	6.312	6.284	6.304	6.292	6.272	6.253	6.215	6.14	6.032	5.923	5.823	5.723	5.647	5.503	5.439	5.282	5.172	5.115	5.007	4.943	4.94	4.863	4.836	4.771	4.751	4.622	4.566	4.55	4.492	4.385	4.345	4.324	4.296	4.289	4.235	4.127	4.101	3.981	4.047	4.05	4.082	4.053	4.063	4.082	4.157	4.223	4.317	4.341	4.402	4.352	4.271	4.278	4.274	4.223	4.26	4.327	4.381	4.42	4.496	4.545	4.537	4.478	4.413	4.391	4.403	
wdir_deg_mean	66.678	65.929	66.774	67.846	68.656	69.423	68.098	69.663	69.88	69.472	68.562	69.212	68.732	69.785	68.692	68.567	66.385	67.23	67.081	68.489	68.123	67.398	68.267	67.96	67.49	67.963	67.615	66.594	67.472	69.97	68.068	67.932	67.838	68.585	69.245	69.706	70.874	70.931	68.191	67.891	68.083	68.068	67.893	67.381	67.055	65.761	64.65	65.863	65.701	66.454	64.29	64.507	64.802	66.271	65.406	66.399	67.124	69.409	68.459	67.591	67.855	66.104	64.94	64.76	64.884	65.598	64.183	65.128	64.414	65.867	65.328	65.031	65.617	65.544	67.433	69.678	68.908	68.619	69.994	70.711	71.092	70.725	70.711	70.686	70.936	72.02	72.185	73.334	72.392	72.008	71.218	70.162	70.989	71.066	71.072	72.103	73.233	74.601	73.983	74.433	73.843	75.909	76.276	74.882	75.088	75.615	75.027	77.095	76.066	76.754	79.165	77.575	76.523	78.667	76.012	75.591	77.786	77.914	77.985	78.543	77.929	77.767	75.891	76.722	77.912	78.802	77.896	81.354	80.714	80.449	80.262	78.788	77.328	77.174	77.275	75.805	76.671	77.193	77.338	76.118	76.749	79.53	78.645	79.63	78.555	79.131	78.862	79.416	78.715	78.646	75.98	77.353	76.814	74.903	75.502	75.747	76.627	77.042	76.737	77.292	76.569	73.975	72.018	72.9	73.394	74.317	73.599	73.717	73.0	71.026	70.088	68.515	70.889	71.026	70.212	69.037	67.831	69.109	71.63	71.136	70.133	70.153	70.529	71.719	73.066	71.891	72.591	73.469	75.427	75.339	74.858	75.512	74.761	73.76	74.566	73.714	74.134	73.882	73.453	71.992	75.025	75.533	77.303	77.512	78.531	78.097	78.101	77.881	77.753	78.568	79.215	76.793	76.727	77.165	76.314	75.382	74.7	77.438	77.893	75.804	75.018	75.32	73.973	72.441	70.466	70.583	68.77	73.523	71.819	69.706	66.93	68.184	66.336	66.569	64.72	65.365	66.725	65.41	65.124	63.394	
wdir_deg_sigma	72.567	72.765	72.784	71.135	72.51	73.613	74.188	71.581	70.975	70.337	69.927	70.006	71.909	73.624	73.673	71.949	73.739	72.516	72.9	73.258	73.261	72.019	72.356	72.656	72.097	72.413	70.303	72.651	70.398	70.854	71.727	72.781	72.658	72.714	72.036	72.181	71.603	72.365	71.49	72.66	72.562	73.529	74.868	74.309	73.859	73.622	73.653	74.128	73.976	73.841	73.482	74.31	75.217	74.133	74.292	75.131	76.301	74.591	74.988	76.791	76.936	77.078	76.611	77.573	77.233	76.631	77.444	77.174	76.288	74.345	73.252	72.351	72.182	72.883	69.824	68.95	66.895	69.776	70.156	70.315	71.625	72.074	71.767	72.413	72.171	71.972	69.91	68.841	67.988	67.781	67.965	68.1	67.117	66.281	66.241	65.886	65.701	65.168	64.77	65.041	65.1	64.64	65.481	66.343	67.67	67.488	67.306	65.106	64.514	63.55	62.914	61.725	62.071	63.026	62.261	61.258	61.543	61.301	61.623	61.722	61.803	62.19	62.009	62.258	62.627	62.643	62.559	63.148	63.173	63.734	63.397	63.211	62.473	62.103	61.691	61.698	61.883	62.003	62.345	62.302	62.481	63.01	63.193	63.447	62.888	62.631	62.999	63.068	63.254	63.136	62.4	62.918	62.933	62.502	62.545	64.658	64.505	64.804	63.994	62.932	62.9	62.279	61.869	62.056	62.138	62.153	61.609	61.945	61.451	60.433	59.632	58.788	59.578	59.741	59.671	59.339	58.888	59.531	61.141	61.127	60.759	61.499	61.623	62.072	62.825	62.964	63.365	63.473	64.005	63.349	63.235	63.285	62.681	61.955	62.067	61.725	61.948	62.495	62.787	62.508	63.231	63.463	63.885	63.563	64.364	63.629	63.773	63.522	63.341	63.937	64.178	63.898	64.236	64.958	64.945	64.357	63.64	64.771	64.681	64.454	63.876	64.037	63.744	63.679	63.573	63.892	63.393	65.268	64.771	64.102	63.851	64.154	63.089	62.959	62.662	63.229	63.567	63.093	62.787	61.851	
