temp_mean	1.228	1.265	1.266	1.213	1.271	1.295	1.309	1.314	1.297	1.307	1.329	1.36	1.392	1.359	1.357	1.37	1.405	1.426	1.383	1.395	1.376	1.415	1.387	1.438	1.41	1.436	1.39	1.382	1.372	1.41	1.433	1.456	1.443	1.453	1.475	1.45	1.475	1.476	1.5	1.458	1.499	1.488	1.497	1.502	1.542	1.542	1.548	1.537	1.528	1.552	1.569	1.623	1.633	1.65	1.642	1.637	1.625	1.629	1.644	1.616	1.628	1.632	1.656	1.679	1.688	1.689	1.691	1.678	1.694	1.684	1.687	1.667	1.648	1.64	1.585	1.575	1.565	1.622	1.622	1.648	1.682	1.725	1.717	1.767	1.727	1.789	1.749	1.819	1.734	1.785	1.76	1.793	1.763	1.815	1.769	1.788	1.804	1.798	1.794	1.848	1.782	1.83	1.819	1.832	1.823	1.831	1.798	1.813	1.757	1.783	1.789	1.795	1.784	1.766	1.876	1.883	1.899	1.944	1.929	1.986	1.975	1.975	2.009	1.96	2.006	1.968	1.985	2.005	2.016	2.039	2.039	2.043	2.03	2.059	2.079	2.109	2.086	2.106	2.119	2.163	2.191	2.153	2.124	2.093	2.104	2.085	2.048	2.023	2.049	2.049	2.095	2.088	2.088	2.07	2.038	2.009	1.986	1.957	1.919	1.914	1.867	1.846	1.864	1.858	1.885	1.903	1.909	1.908	1.861	1.828	1.807	1.833	1.878	1.878	1.896	1.846	1.879	1.823	1.822	1.817	1.889	1.94	1.947	1.966	2.0	2.019	2.102	2.035	1.996	1.995	1.968	1.944	1.961	1.909	1.909	1.952	1.935	1.998	2.0	2.008	1.938	1.91	1.9	1.729	1.669	1.684	1.704	1.69	1.6	1.593	1.518	1.459	1.335	1.248	1.215	1.168	1.123	1.061	0.984	0.929	0.882	0.774	0.61	0.517	0.361	0.23	0.154	0.08	-0.017	-0.079	-0.124	-0.169	-0.222	-0.333	-0.37	-0.407	-0.407	-0.407	-0.407	-0.407	
temp_sigma	0.994	1.001	1.013	0.998	1.041	1.092	1.129	1.126	1.135	1.137	1.135	1.139	1.114	1.129	1.13	1.148	1.157	1.094	1.082	1.096	1.081	1.109	1.087	1.083	1.055	1.072	1.085	1.055	1.052	1.029	1.024	1.079	1.067	1.029	1.026	1.028	1.039	1.064	1.064	1.038	1.085	1.088	1.068	1.087	1.025	1.044	1.022	1.037	1.083	1.092	1.062	1.051	1.061	1.08	1.08	1.105	1.112	1.079	1.11	1.104	1.135	1.126	1.167	1.166	1.158	1.153	1.159	1.181	1.178	1.206	1.195	1.19	1.179	1.191	1.164	1.178	1.21	1.251	1.285	1.275	1.255	1.209	1.173	1.154	1.133	1.17	1.188	1.226	1.278	1.267	1.266	1.273	1.262	1.274	1.237	1.245	1.219	1.229	1.261	1.252	1.288	1.271	1.293	1.304	1.298	1.32	1.327	1.332	1.347	1.35	1.365	1.321	1.357	1.319	1.346	1.343	1.348	1.342	1.382	1.338	1.364	1.363	1.396	1.368	1.371	1.391	1.41	1.452	1.441	1.437	1.462	1.463	1.466	1.449	1.438	1.388	1.352	1.383	1.442	1.469	1.439	1.442	1.448	1.439	1.41	1.404	1.375	1.393	1.421	1.434	1.446	1.424	1.461	1.444	1.379	1.31	1.262	1.253	1.277	1.291	1.294	1.325	1.286	1.261	1.212	1.13	1.12	1.12	1.159	1.199	1.184	1.194	1.221	1.234	1.204	1.24	1.185	1.282	1.268	1.298	1.314	1.314	1.315	1.324	1.3	1.298	1.323	1.356	1.382	1.371	1.351	1.397	1.411	1.461	1.472	1.492	1.542	1.473	1.478	1.551	1.599	1.651	1.68	1.717	1.743	1.8	1.797	1.768	1.804	1.823	1.79	1.737	1.692	1.679	1.702	1.714	1.733	1.712	1.669	1.659	1.552	1.447	1.258	1.1	0.951	0.856	0.794	0.717	0.71	0.736	0.754	0.773	0.823	0.928	0.953	0.977	0.977	0.977	0.977	0.977	
dewpoint_mean	1.332	1.317	1.35	1.253	1.291	1.337	1.336	1.331	1.384	1.459	1.467	1.427	1.435	1.44	1.469	1.502	1.556	1.556	1.546	1.541	1.605	1.68	1.698	1.684	1.661	1.581	1.522	1.533	1.524	1.554	1.562	1.599	1.58	1.596	1.601	1.625	1.6	1.593	1.643	1.628	1.643	1.631	1.638	1.622	1.672	1.662	1.624	1.641	1.631	1.669	1.736	1.76	1.809	1.826	1.792	1.838	1.808	1.858	1.868	1.852	1.857	1.862	1.885	1.908	1.939	1.926	1.892	1.884	1.867	1.875	1.814	1.778	1.798	1.759	1.736	1.748	1.801	1.841	1.857	1.905	1.974	2.005	2.052	2.099	2.099	2.168	2.127	2.166	2.082	2.053	2.046	2.062	2.089	2.126	2.06	2.023	1.995	2.095	2.147	2.195	2.253	2.26	2.264	2.29	2.31	2.283	2.257	2.188	2.163	2.13	2.136	2.132	2.186	2.166	2.18	2.222	2.273	2.281	2.251	2.17	2.216	2.205	2.228	2.222	2.274	2.29	2.245	2.304	2.337	2.355	2.367	2.383	2.363	2.385	2.416	2.454	2.47	2.5	2.537	2.563	2.576	2.53	2.56	2.574	2.524	2.5	2.487	2.437	2.43	2.455	2.44	2.449	2.42	2.422	2.392	2.401	2.367	2.318	2.352	2.334	2.265	2.241	2.161	2.045	1.935	1.849	1.817	1.783	1.758	1.722	1.718	1.773	1.758	1.684	1.6	1.636	1.635	1.646	1.683	1.689	1.781	1.792	1.838	1.884	1.86	1.806	1.807	1.83	1.769	1.804	1.759	1.739	1.668	1.598	1.563	1.586	1.582	1.617	1.556	1.432	1.402	1.292	1.227	1.194	1.094	1.076	1.004	1.015	0.917	0.896	0.791	0.689	0.579	0.455	0.461	0.367	0.29	0.237	0.138	0.129	0.039	0.087	0.103	-0.01	-0.021	-0.056	-0.119	-0.216	-0.346	-0.421	-0.56	-0.6	-0.6	-0.637	-0.674	-0.748	-0.711	-0.637	-0.563	-0.563	
dewpoint_sigma	1.695	1.708	1.66	1.655	1.666	1.668	1.679	1.688	1.687	1.666	1.655	1.684	1.638	1.65	1.666	1.665	1.623	1.642	1.588	1.572	1.555	1.608	1.616	1.613	1.62	1.648	1.625	1.603	1.577	1.627	1.645	1.691	1.702	1.636	1.598	1.614	1.584	1.604	1.555	1.57	1.573	1.58	1.547	1.58	1.579	1.596	1.542	1.547	1.549	1.556	1.5	1.548	1.582	1.652	1.666	1.69	1.726	1.697	1.706	1.719	1.731	1.726	1.767	1.749	1.786	1.783	1.77	1.716	1.715	1.67	1.634	1.6	1.623	1.582	1.522	1.494	1.547	1.602	1.655	1.653	1.684	1.682	1.715	1.712	1.727	1.744	1.732	1.732	1.727	1.681	1.651	1.694	1.721	1.71	1.65	1.637	1.647	1.658	1.654	1.688	1.678	1.653	1.67	1.656	1.643	1.649	1.665	1.658	1.691	1.698	1.707	1.716	1.707	1.667	1.68	1.657	1.659	1.68	1.649	1.676	1.662	1.653	1.65	1.625	1.671	1.689	1.732	1.713	1.725	1.688	1.67	1.676	1.684	1.705	1.641	1.661	1.664	1.699	1.753	1.808	1.84	1.813	1.785	1.835	1.845	1.852	1.903	1.862	1.877	1.857	1.816	1.789	1.804	1.8	1.809	1.809	1.803	1.817	1.805	1.82	1.862	1.861	1.862	1.774	1.694	1.494	1.407	1.372	1.429	1.425	1.457	1.535	1.566	1.591	1.562	1.573	1.653	1.655	1.637	1.657	1.655	1.639	1.664	1.656	1.767	1.767	1.83	1.852	1.866	1.875	1.881	1.969	1.999	2.054	2.089	2.043	2.091	2.083	2.111	2.202	2.276	2.301	2.41	2.417	2.505	2.493	2.585	2.582	2.644	2.596	2.579	2.518	2.346	2.193	2.039	1.968	1.895	1.891	1.888	1.775	1.689	1.583	1.566	1.506	1.485	1.48	1.503	1.573	1.715	1.796	1.707	1.656	1.627	1.588	1.598	1.632	1.688	1.775	1.849	1.917	
humidity_mean	-0.168	-0.198	-0.183	-0.546	-0.45	-0.445	-0.453	-0.336	-0.211	-0.133	-0.217	-0.326	-0.403	-0.344	-0.346	-0.262	-0.183	-0.151	-0.103	0.0	0.102	0.22	0.157	0.062	-0.07	-0.186	-0.248	-0.242	-0.252	-0.299	-0.195	-0.248	-0.208	-0.185	-0.177	-0.275	-0.25	-0.212	-0.131	-0.085	-0.046	-0.054	-0.069	-0.115	-0.115	-0.162	-0.246	-0.292	-0.176	-0.107	-0.046	0.023	0.047	0.008	-0.125	-0.219	-0.18	-0.211	-0.156	-0.109	-0.063	0.056	0.066	0.033	-0.017	-0.136	-0.265	-0.345	-0.322	-0.357	-0.386	-0.398	-0.321	-0.333	-0.309	-0.25	-0.245	-0.124	-0.019	0.115	0.311	0.333	0.287	0.22	0.32	0.31	0.253	0.152	-0.041	-0.227	-0.229	-0.365	-0.258	-0.255	0.0	0.0	0.094	0.295	0.355	0.538	0.674	0.773	0.75	0.793	0.709	0.686	0.581	0.465	0.244	0.095	0.0	0.155	0.081	0.105	0.14	0.233	0.209	0.151	0.161	0.092	0.092	0.115	0.207	0.36	0.447	0.476	0.345	0.518	0.683	0.72	0.841	0.72	0.683	0.667	0.788	0.861	0.949	1.076	1.114	1.013	0.95	1.086	1.049	1.146	1.22	1.195	1.134	1.146	1.024	0.988	0.939	0.815	0.712	0.55	0.438	0.338	0.43	0.364	0.427	0.438	0.389	0.254	0.071	-0.232	-0.529	-0.836	-1.182	-1.646	-1.606	-1.448	-1.397	-1.418	-1.478	-1.701	-1.882	-1.985	-1.909	-1.785	-1.594	-1.524	-1.435	-1.417	-1.517	-1.893	-2.2	-2.407	-2.444	-2.333	-2.426	-2.2	-2.232	-2.14	-2.316	-2.474	-2.737	-2.821	-2.964	-3.241	-3.463	-3.736	-3.808	-4.02	-4.216	-4.373	-4.431	-4.6	-4.878	-5.208	-5.298	-5.609	-5.644	-5.795	-5.767	-5.857	-6.244	-6.275	-6.359	-6.237	-6.189	-6.086	-5.879	-5.548	-4.833	-4.276	-3.429	-2.963	-2.538	-2.32	-2.167	-2.042	-2.04	-2.192	-2.148	-2.148	-2.185	-2.185	-2.037	-1.926	-1.815	-1.704	
humidity_sigma	6.216	6.28	6.273	6.326	6.207	6.197	6.256	6.186	6.184	6.166	6.169	6.147	6.008	5.969	5.942	5.919	5.808	5.787	5.742	5.866	5.954	6.038	6.198	6.253	6.245	6.174	6.201	6.21	6.209	6.206	6.266	6.299	6.355	6.316	6.323	6.285	6.178	6.11	6.04	5.952	5.968	5.906	5.795	5.897	5.925	5.94	5.861	5.834	5.792	5.908	5.945	5.92	6.039	6.081	6.212	6.27	6.344	6.282	6.366	6.384	6.472	6.569	6.697	6.797	6.894	6.96	6.945	6.867	6.858	6.77	6.747	6.83	6.846	6.891	7.0	7.037	7.055	7.08	7.134	7.187	7.114	7.028	6.974	6.786	6.787	6.83	6.942	7.13	6.994	7.072	7.039	6.922	6.945	6.932	6.997	7.067	7.022	7.394	7.451	7.391	7.386	7.373	7.335	7.457	7.523	7.482	7.52	7.52	7.433	7.237	7.176	7.142	7.085	7.06	6.989	6.799	6.721	6.638	6.647	6.655	6.664	6.669	6.767	6.869	6.951	7.07	7.026	6.873	6.777	6.893	6.994	6.925	6.935	6.934	6.958	7.063	7.142	7.103	7.044	7.125	7.153	7.23	7.148	7.113	7.087	6.976	6.85	6.703	6.63	6.651	6.604	6.572	6.66	6.702	6.674	6.554	6.461	6.39	6.377	6.502	6.389	6.333	6.328	6.101	5.925	5.776	5.635	5.336	5.382	5.535	5.803	6.043	6.097	6.126	5.987	5.845	5.807	5.84	5.662	5.552	5.438	5.628	5.766	6.064	5.879	5.88	5.852	5.882	5.698	5.584	5.548	5.583	5.551	5.506	5.53	5.797	6.003	6.164	6.167	6.247	6.3	6.44	6.464	6.374	6.408	6.456	6.586	6.493	6.474	6.401	6.208	6.1	5.85	5.454	4.756	4.019	3.627	3.652	3.601	3.581	3.723	3.662	3.967	3.814	3.986	4.418	5.108	5.718	6.142	6.617	6.861	6.593	6.57	6.381	6.242	6.092	6.239	6.194	6.295	6.411	
wspd_mean	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
wspd_sigma	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
wdir_deg_mean	79.947	79.748	79.939	79.854	78.318	79.133	79.055	79.875	80.055	81.938	83.543	84.55	86.31	85.32	87.512	89.127	87.984	87.016	84.627	83.897	83.031	82.52	86.126	86.75	85.667	85.667	86.891	87.484	88.205	88.047	87.203	87.62	90.708	91.162	88.792	88.466	88.652	87.205	87.5	87.931	87.185	86.892	86.592	86.662	86.608	86.331	84.723	85.538	85.313	85.282	84.0	83.829	86.228	85.929	84.438	86.086	86.133	86.648	85.648	85.773	85.236	83.6	82.246	82.308	82.571	82.881	83.385	81.44	79.696	79.252	78.93	78.274	76.357	73.135	72.391	71.435	71.009	70.705	70.933	70.144	69.971	69.755	70.851	69.57	68.58	68.76	68.98	69.333	69.439	68.66	68.906	68.021	67.464	68.714	70.418	69.959	67.594	67.389	65.387	67.187	67.708	65.909	66.761	67.862	66.791	66.919	66.884	66.465	66.314	69.143	67.217	69.286	66.674	68.953	69.233	69.372	69.698	70.047	70.057	70.011	70.207	70.241	70.218	70.314	70.506	68.619	69.048	69.145	69.244	69.159	69.293	69.232	69.049	68.259	67.012	66.013	65.823	66.177	66.443	66.886	67.275	67.506	68.049	68.854	69.171	69.488	69.793	70.049	70.415	70.159	69.659	69.136	68.925	68.662	68.0	67.575	67.443	67.312	66.92	67.027	66.875	66.831	66.571	66.116	65.809	65.149	64.5	63.785	63.545	63.254	63.485	63.493	63.463	63.493	63.824	64.224	64.864	65.538	66.141	66.746	67.145	67.85	68.655	69.089	69.418	69.278	69.444	69.556	69.574	69.218	69.071	69.0	69.07	69.228	69.544	69.411	69.527	69.87	70.259	70.358	70.731	70.922	70.765	70.667	70.647	70.92	71.286	71.771	71.979	72.043	71.333	70.341	69.302	68.238	67.073	66.35	65.564	64.974	64.676	64.286	64.03	63.581	63.333	63.034	63.214	62.889	62.654	62.28	62.0	61.75	61.96	62.038	62.741	62.852	63.0	63.037	62.926	62.741	62.481	62.333	
wdir_deg_sigma	42.063	42.457	42.559	42.722	42.027	42.513	43.203	45.045	45.279	45.063	45.121	45.732	46.073	46.925	46.859	46.209	44.951	44.396	44.286	44.355	44.205	44.616	44.891	45.502	45.334	45.735	45.995	45.289	45.331	45.968	46.697	46.968	46.713	47.064	47.386	46.824	45.774	45.411	45.817	45.382	45.039	44.636	44.711	44.617	44.596	44.631	44.847	45.353	45.275	45.501	45.017	44.452	44.725	44.544	44.375	45.016	45.027	44.598	44.084	43.55	43.28	42.576	41.959	41.638	41.927	42.133	41.346	40.284	40.148	40.843	41.41	41.715	40.979	40.23	39.464	39.197	39.414	39.948	40.571	40.192	39.533	38.051	37.916	36.547	34.475	34.321	33.934	33.415	32.908	32.991	33.395	32.948	32.423	32.86	33.615	33.752	32.388	32.39	31.395	33.087	32.917	31.805	31.502	32.643	31.139	31.416	31.699	31.558	31.73	32.547	31.043	32.369	31.597	33.13	33.127	32.73	33.308	33.337	33.607	33.623	33.525	33.295	33.208	33.316	32.965	31.797	31.305	31.488	31.467	31.242	31.101	31.258	31.475	31.402	30.184	28.241	26.094	24.769	24.283	24.605	25.426	26.11	26.955	27.395	27.783	27.767	27.745	27.775	27.656	27.824	27.644	27.661	27.365	27.466	27.358	27.354	27.248	27.537	27.31	26.881	26.116	25.55	24.607	23.536	22.294	21.14	20.288	19.609	18.98	18.662	18.247	18.607	18.406	18.202	17.885	17.741	17.29	16.999	16.724	16.648	16.558	16.64	16.434	16.433	16.243	16.024	15.615	15.298	15.149	14.885	14.598	14.519	14.531	14.602	14.586	14.595	14.726	14.959	14.977	15.292	15.665	15.977	16.022	16.277	16.568	16.834	17.151	17.469	17.855	17.966	17.723	16.976	15.515	13.909	11.771	10.086	8.776	8.148	7.871	7.959	7.669	7.352	6.939	6.338	5.851	5.606	5.37	4.838	4.368	4.166	4.547	4.62	4.797	4.805	4.73	4.734	4.65	4.575	4.332	4.363	
