temp_mean	-0.533	-0.527	-0.527	-0.443	-0.444	-0.456	-0.475	-0.483	-0.485	-0.468	-0.473	-0.466	-0.462	-0.453	-0.451	-0.442	-0.424	-0.413	-0.399	-0.391	-0.42	-0.425	-0.437	-0.422	-0.425	-0.407	-0.413	-0.406	-0.433	-0.443	-0.427	-0.446	-0.462	-0.457	-0.452	-0.43	-0.423	-0.414	-0.404	-0.396	-0.402	-0.405	-0.419	-0.411	-0.407	-0.404	-0.389	-0.361	-0.355	-0.376	-0.382	-0.366	-0.383	-0.378	-0.39	-0.412	-0.415	-0.408	-0.409	-0.402	-0.392	-0.363	-0.349	-0.336	-0.315	-0.34	-0.358	-0.366	-0.378	-0.39	-0.392	-0.382	-0.386	-0.404	-0.41	-0.407	-0.423	-0.416	-0.437	-0.463	-0.486	-0.479	-0.5	-0.487	-0.488	-0.489	-0.497	-0.512	-0.524	-0.537	-0.559	-0.555	-0.549	-0.571	-0.541	-0.538	-0.528	-0.537	-0.552	-0.564	-0.563	-0.579	-0.578	-0.576	-0.572	-0.559	-0.586	-0.565	-0.535	-0.534	-0.519	-0.492	-0.499	-0.481	-0.48	-0.496	-0.471	-0.472	-0.512	-0.525	-0.534	-0.565	-0.559	-0.536	-0.538	-0.507	-0.472	-0.451	-0.445	-0.448	-0.442	-0.447	-0.446	-0.44	-0.438	-0.415	-0.398	-0.38	-0.349	-0.342	-0.345	-0.334	-0.336	-0.329	-0.321	-0.303	-0.311	-0.289	-0.286	-0.301	-0.283	-0.29	-0.307	-0.286	-0.298	-0.289	-0.284	-0.283	-0.258	-0.227	-0.219	-0.202	-0.212	-0.218	-0.22	-0.249	-0.248	-0.262	-0.252	-0.281	-0.266	-0.286	-0.302	-0.326	-0.321	-0.305	-0.306	-0.272	-0.261	-0.241	-0.214	-0.18	-0.193	-0.183	-0.149	-0.134	-0.105	-0.093	-0.091	-0.108	-0.125	-0.137	-0.121	-0.116	-0.121	-0.103	-0.103	-0.113	-0.121	-0.128	-0.15	-0.128	-0.088	-0.103	-0.074	-0.012	0.006	0.029	0.075	0.09	0.116	0.117	0.147	0.162	0.167	0.206	0.213	0.225	0.239	0.253	0.271	0.317	0.366	0.44	0.497	0.553	0.616	0.679	0.735	0.767	0.798	0.79	0.806	0.832	0.798	0.797	0.805	0.792	0.842	0.91	
temp_sigma	1.065	1.149	1.184	1.29	1.296	1.311	1.331	1.356	1.348	1.349	1.363	1.359	1.347	1.354	1.353	1.33	1.325	1.305	1.31	1.301	1.317	1.351	1.35	1.358	1.347	1.347	1.336	1.366	1.379	1.396	1.396	1.4	1.41	1.431	1.427	1.442	1.453	1.44	1.45	1.447	1.448	1.418	1.424	1.414	1.419	1.399	1.432	1.419	1.424	1.418	1.417	1.406	1.409	1.426	1.42	1.425	1.421	1.419	1.448	1.472	1.45	1.428	1.427	1.416	1.428	1.452	1.472	1.51	1.536	1.546	1.561	1.582	1.577	1.555	1.544	1.523	1.548	1.586	1.638	1.64	1.671	1.689	1.678	1.683	1.699	1.707	1.732	1.72	1.734	1.748	1.743	1.725	1.738	1.749	1.731	1.751	1.742	1.747	1.743	1.745	1.746	1.739	1.745	1.75	1.754	1.755	1.737	1.738	1.766	1.766	1.813	1.821	1.818	1.822	1.817	1.807	1.805	1.792	1.823	1.826	1.802	1.803	1.786	1.769	1.775	1.782	1.801	1.8	1.787	1.798	1.792	1.802	1.805	1.823	1.83	1.826	1.85	1.833	1.808	1.795	1.79	1.769	1.763	1.75	1.747	1.733	1.719	1.689	1.711	1.729	1.738	1.727	1.727	1.683	1.681	1.659	1.655	1.648	1.647	1.61	1.595	1.603	1.611	1.616	1.639	1.639	1.667	1.645	1.644	1.644	1.65	1.621	1.635	1.653	1.681	1.689	1.725	1.727	1.734	1.754	1.78	1.75	1.766	1.765	1.756	1.77	1.796	1.786	1.82	1.81	1.853	1.85	1.828	1.854	1.862	1.872	1.876	1.871	1.885	1.853	1.88	1.859	1.86	1.881	1.86	1.867	1.842	1.833	1.794	1.772	1.775	1.809	1.849	1.915	1.919	1.94	1.967	1.984	2.017	2.005	1.999	1.983	2.001	1.985	1.993	1.974	1.954	1.944	1.916	1.944	1.958	1.964	1.951	1.915	1.893	1.881	1.894	1.851	1.858	1.894	
dewpoint_mean	-0.157	0.118	0.408	0.26	0.089	-0.087	-0.032	-0.017	-0.02	0.003	0.031	0.05	0.04	0.061	0.07	0.044	0.037	0.047	0.038	0.032	0.047	0.075	0.076	0.104	0.118	0.108	0.128	0.128	0.114	0.095	0.081	0.075	0.068	0.066	0.085	0.092	0.081	0.11	0.091	0.104	0.107	0.119	0.153	0.19	0.165	0.174	0.168	0.169	0.163	0.181	0.224	0.244	0.263	0.494	0.521	0.561	0.551	0.528	0.553	0.571	0.577	0.584	0.626	0.635	0.636	0.658	0.65	0.637	0.649	0.658	0.645	0.678	0.683	0.665	0.66	0.669	0.892	1.106	1.341	1.319	1.308	1.285	1.259	1.274	1.273	1.284	1.277	1.257	1.257	1.256	1.274	1.275	1.235	1.223	1.236	1.26	1.258	1.256	1.273	1.261	1.241	1.213	1.205	1.185	1.165	1.165	1.154	1.17	1.143	1.154	1.147	1.107	1.114	1.105	1.119	1.106	1.13	1.167	1.184	1.206	1.234	1.24	1.213	1.252	1.258	1.291	1.321	1.378	1.422	1.449	1.486	1.514	1.511	1.541	1.56	1.559	1.53	1.522	1.531	1.551	1.538	1.561	1.568	1.572	1.574	1.623	1.631	1.622	1.631	1.646	1.619	1.613	1.604	1.586	1.605	1.627	1.617	1.598	1.563	1.544	1.512	1.501	1.461	1.468	1.481	1.489	1.48	1.457	1.503	1.517	1.52	1.517	1.522	1.538	1.556	1.525	1.54	1.531	1.542	1.535	1.552	1.545	1.511	1.502	1.474	1.49	1.472	1.515	1.509	1.521	1.497	1.484	1.442	1.426	1.417	1.41	1.403	1.368	1.377	1.39	1.431	1.412	1.451	1.475	1.491	1.525	1.532	1.57	1.597	1.661	1.723	1.748	1.756	1.765	1.766	1.79	1.813	1.841	1.857	1.85	1.856	1.888	1.944	1.968	2.0	2.062	2.084	2.15	2.198	2.205	2.249	2.226	2.186	2.157	2.152	2.169	2.183	2.177	2.212	2.212	
dewpoint_sigma	7.155	5.867	4.211	5.934	7.231	8.327	8.371	8.359	8.371	8.385	8.398	8.409	8.42	8.435	8.447	8.455	8.462	8.473	8.483	8.498	8.514	8.524	8.539	8.526	8.539	8.547	8.585	8.569	8.582	8.588	8.601	8.587	8.601	8.616	8.628	8.637	8.649	8.664	8.671	8.684	8.698	8.704	8.697	8.711	8.72	8.733	8.774	8.784	8.795	8.81	8.803	8.84	8.851	7.759	7.767	7.784	7.796	7.802	7.815	7.827	7.864	7.882	7.894	7.899	7.878	7.881	7.821	7.851	7.859	7.861	7.861	7.865	7.863	7.864	7.895	7.898	6.471	4.708	1.519	1.548	1.565	1.574	1.579	1.606	1.619	1.592	1.6	1.588	1.587	1.592	1.556	1.574	1.569	1.548	1.57	1.573	1.592	1.616	1.62	1.61	1.606	1.58	1.596	1.629	1.61	1.616	1.617	1.622	1.616	1.632	1.63	1.637	1.644	1.647	1.628	1.618	1.58	1.611	1.609	1.611	1.604	1.573	1.562	1.548	1.545	1.541	1.537	1.561	1.581	1.585	1.568	1.565	1.578	1.604	1.638	1.608	1.577	1.592	1.589	1.598	1.6	1.604	1.606	1.616	1.608	1.638	1.662	1.631	1.598	1.598	1.62	1.654	1.673	1.658	1.673	1.647	1.692	1.7	1.685	1.676	1.676	1.689	1.674	1.675	1.674	1.677	1.682	1.712	1.767	1.784	1.774	1.795	1.822	1.803	1.784	1.795	1.838	1.835	1.851	1.851	1.834	1.863	1.875	1.849	1.854	1.879	1.919	1.939	1.935	1.969	1.971	1.953	1.967	1.991	1.959	1.968	1.968	1.957	1.975	2.024	2.066	2.104	2.135	2.154	2.188	2.239	2.256	2.312	2.318	2.338	2.326	2.28	2.28	2.299	2.309	2.305	2.29	2.326	2.344	2.356	2.368	2.384	2.363	2.389	2.412	2.467	2.491	2.527	2.567	2.608	2.649	2.693	2.71	2.759	2.781	2.787	2.817	2.827	2.812	2.858	
humidity_mean	4.237	4.498	4.725	5.198	5.342	5.45	5.689	5.841	5.942	6.015	6.088	6.137	6.13	6.152	6.106	6.057	6.002	5.931	5.963	6.02	6.105	6.222	6.283	6.289	6.327	6.308	6.276	6.226	6.26	6.273	6.246	6.256	6.28	6.314	6.37	6.409	6.475	6.56	6.546	6.623	6.598	6.608	6.633	6.693	6.735	6.71	6.715	6.751	6.783	6.892	7.0	7.065	7.1	7.222	7.356	7.458	7.484	7.504	7.574	7.576	7.566	7.562	7.606	7.657	7.682	7.704	7.754	7.782	7.899	7.964	8.087	8.16	8.193	8.266	8.272	8.277	8.184	8.206	8.25	8.286	8.328	8.269	8.312	8.313	8.3	8.278	8.33	8.305	8.368	8.426	8.459	8.469	8.45	8.437	8.504	8.52	8.603	8.57	8.595	8.576	8.478	8.403	8.357	8.317	8.264	8.253	8.158	8.195	8.06	7.931	7.828	7.703	7.687	7.595	7.621	7.555	7.578	7.664	7.805	7.916	8.019	8.084	8.116	8.17	8.243	8.263	8.295	8.395	8.482	8.593	8.826	9.003	9.204	9.341	9.378	9.343	9.262	9.115	8.987	9.036	9.063	9.13	9.154	9.205	9.202	9.226	9.302	9.228	9.157	9.158	9.134	9.141	9.09	9.031	8.937	8.871	8.867	8.796	8.682	8.496	8.37	8.218	8.168	8.119	8.079	8.109	8.149	8.208	8.231	8.327	8.328	8.341	8.357	8.369	8.401	8.432	8.419	8.424	8.411	8.344	8.322	8.288	8.236	8.143	7.977	7.848	7.714	7.681	7.711	7.746	7.745	7.708	7.606	7.488	7.372	7.325	7.241	7.184	7.115	7.107	7.133	7.158	7.146	7.155	7.139	7.161	7.162	7.103	7.163	7.241	7.346	7.522	7.533	7.605	7.595	7.615	7.658	7.737	7.758	7.667	7.584	7.395	7.425	7.353	7.323	7.287	7.172	7.234	7.136	6.995	7.095	7.085	7.033	6.972	6.943	6.971	7.038	7.067	7.116	7.034	
humidity_sigma	5.782	6.085	6.412	7.561	7.615	7.593	7.772	7.822	7.822	7.885	7.897	7.943	7.99	7.992	7.989	7.935	7.858	7.729	7.74	7.843	8.014	8.158	8.304	8.435	8.474	8.538	8.538	8.546	8.583	8.62	8.615	8.63	8.692	8.73	8.697	8.664	8.669	8.717	8.797	8.756	8.704	8.588	8.606	8.644	8.72	8.666	8.729	8.711	8.703	8.67	8.611	8.553	8.499	8.476	8.483	8.503	8.463	8.561	8.606	8.669	8.72	8.783	8.844	8.809	8.909	8.977	9.03	9.042	9.13	9.092	9.123	9.049	8.978	8.963	8.908	8.952	9.139	9.183	9.23	9.264	9.293	9.329	9.339	9.38	9.475	9.584	9.642	9.63	9.628	9.631	9.627	9.629	9.685	9.661	9.712	9.744	9.765	9.826	9.804	9.752	9.756	9.78	9.809	9.875	9.956	10.034	10.109	10.217	10.226	10.266	10.282	10.245	10.217	10.161	10.131	10.095	10.113	10.133	10.135	10.153	10.071	10.015	9.899	9.787	9.651	9.577	9.507	9.506	9.383	9.367	9.208	9.07	9.015	8.993	8.981	8.97	8.972	8.858	8.842	8.832	8.781	8.807	8.923	8.949	8.868	8.889	8.853	8.879	8.884	8.873	8.819	8.766	8.645	8.513	8.416	8.336	8.366	8.412	8.358	8.313	8.193	8.127	8.042	7.972	8.028	8.066	8.091	8.125	8.083	8.11	8.05	7.949	7.852	7.809	7.813	7.897	7.917	8.002	8.003	7.879	7.827	7.792	7.816	7.84	7.905	7.964	8.176	8.243	8.376	8.471	8.51	8.45	8.484	8.531	8.601	8.695	8.622	8.534	8.462	8.396	8.453	8.53	8.535	8.623	8.76	8.934	8.933	8.81	8.604	8.441	8.485	8.463	8.577	8.658	8.755	8.822	8.774	8.789	8.844	8.737	8.63	8.662	8.639	8.616	8.633	8.533	8.565	8.62	8.677	8.833	9.032	9.11	9.261	9.411	9.479	9.535	9.555	9.751	9.773	10.084	
wspd_mean	-7.036	-6.783	-6.359	-5.19	-5.105	-5.025	-4.631	-4.229	-4.177	-4.148	-4.114	-4.105	-4.112	-4.024	-3.946	-3.902	-3.869	-3.791	-3.673	-3.607	-3.596	-3.585	-3.57	-3.541	-3.599	-3.486	-3.454	-3.364	-3.387	-3.358	-3.381	-3.283	-3.382	-3.369	-3.489	-3.508	-3.501	-3.593	-3.646	-3.644	-3.761	-3.766	-3.788	-3.648	-3.615	-3.652	-3.641	-3.687	-3.792	-3.781	-3.791	-3.787	-3.759	-3.829	-3.787	-3.757	-3.786	-3.86	-3.877	-3.892	-3.881	-3.864	-3.971	-4.075	-4.058	-4.101	-4.102	-4.042	-4.12	-4.217	-4.283	-4.323	-4.23	-4.185	-4.074	-4.058	-3.98	-3.906	-3.904	-3.948	-3.931	-3.921	-3.938	-3.882	-3.913	-4.035	-4.065	-4.148	-4.042	-4.07	-4.087	-4.044	-4.117	-4.138	-4.263	-4.34	-4.366	-4.403	-4.323	-4.301	-4.239	-4.198	-4.183	-4.091	-4.119	-4.051	-4.03	-4.002	-4.077	-4.147	-4.23	-4.295	-4.375	-4.394	-4.295	-4.239	-4.185	-4.16	-4.207	-4.236	-4.279	-4.412	-4.517	-4.547	-4.649	-4.645	-4.642	-4.576	-4.631	-4.59	-4.693	-4.633	-4.747	-4.681	-4.607	-4.556	-4.544	-4.689	-4.825	-4.771	-4.743	-4.767	-4.727	-4.769	-4.763	-4.707	-4.846	-4.812	-4.827	-4.814	-4.855	-4.808	-4.88	-4.923	-4.998	-5.007	-4.971	-5.095	-5.211	-5.313	-5.322	-5.334	-5.405	-5.408	-5.326	-5.532	-5.515	-5.422	-5.372	-5.361	-5.408	-5.399	-5.274	-5.229	-5.135	-5.215	-5.339	-5.423	-5.497	-5.541	-5.631	-5.843	-6.051	-6.255	-6.533	-6.79	-6.891	-7.018	-7.121	-7.121	-7.207	-7.273	-7.396	-7.504	-7.634	-7.705	-7.68	-7.83	-7.759	-7.835	-7.807	-7.921	-7.941	-7.983	-8.051	-8.056	-8.206	-8.281	-8.448	-8.553	-8.697	-8.748	-8.935	-9.093	-9.136	-9.372	-9.461	-9.577	-9.643	-9.69	-9.876	-10.159	-10.384	-10.698	-10.873	-10.991	-11.165	-11.319	-11.524	-11.623	-11.884	-12.089	-12.247	-12.464	-12.691	-12.723	-12.836	-13.108	-13.212	-13.367	
wspd_sigma	8.338	7.991	7.657	6.271	6.298	6.377	6.274	6.086	6.07	6.121	6.076	6.003	5.947	5.874	5.954	6.018	5.988	5.987	5.991	6.042	6.101	5.987	6.025	5.991	5.8	5.801	5.939	5.835	5.81	5.82	5.839	5.793	5.814	5.847	5.842	5.83	5.811	5.881	5.792	5.802	5.715	5.727	5.782	5.796	5.873	5.797	5.875	5.937	5.894	5.793	5.856	5.864	5.853	5.838	5.873	5.78	5.734	5.687	5.627	5.575	5.61	5.591	5.48	5.605	5.591	5.701	5.724	5.823	5.853	5.757	5.782	5.817	5.758	5.842	5.8	6.011	6.062	6.091	6.094	6.049	6.084	6.15	6.15	6.245	6.19	6.192	6.134	6.184	6.273	6.252	6.34	6.266	6.286	6.313	6.272	6.162	6.042	6.213	6.353	6.358	6.35	6.364	6.358	6.423	6.381	6.251	6.28	6.38	6.404	6.47	6.383	6.424	6.356	6.427	6.424	6.498	6.456	6.453	6.397	6.399	6.521	6.418	6.415	6.313	6.349	6.485	6.529	6.596	6.602	6.697	6.689	6.671	6.601	6.615	6.556	6.569	6.486	6.425	6.369	6.436	6.495	6.473	6.484	6.488	6.42	6.309	6.337	6.319	6.273	6.276	6.281	6.299	6.353	6.347	6.308	6.42	6.408	6.197	6.001	6.101	6.348	6.397	6.44	6.379	6.56	6.54	6.619	6.666	6.696	6.806	6.839	6.834	6.817	6.887	6.877	6.865	6.901	6.907	6.866	6.811	6.786	6.796	6.769	6.717	6.726	6.553	6.65	6.635	6.692	6.726	6.648	6.65	6.751	6.744	6.732	6.629	6.749	6.75	6.742	6.716	6.68	6.716	6.797	6.847	6.832	6.946	6.861	7.003	6.968	7.054	7.121	7.441	7.493	7.597	7.647	7.621	7.671	7.605	7.815	7.999	8.179	8.267	8.513	8.622	8.418	8.482	8.45	8.525	8.783	8.883	8.911	8.863	8.66	8.376	8.087	8.158	8.048	7.859	7.753	7.787	
wdir_deg_mean	51.282	50.903	50.652	50.626	50.582	50.476	48.967	49.431	49.746	49.505	48.08	49.147	49.397	48.007	47.608	46.715	46.751	46.417	48.263	46.232	45.615	45.651	46.712	45.851	44.853	44.5	44.424	44.196	43.191	42.538	40.248	40.688	40.545	40.418	40.09	41.741	41.715	40.131	43.271	43.614	44.351	44.021	42.869	42.202	42.084	42.882	40.794	43.135	44.053	43.327	45.101	45.877	47.282	46.909	42.663	43.241	43.621	44.916	44.098	45.721	46.899	47.14	45.782	44.757	44.986	44.233	46.543	45.917	45.411	46.933	45.367	47.908	47.425	47.808	47.167	47.703	45.722	45.456	45.786	44.875	46.061	46.486	46.953	47.98	48.762	49.629	51.994	51.876	52.535	51.392	52.171	52.243	50.848	51.776	52.617	53.705	54.626	54.581	55.257	54.962	53.974	55.556	56.242	55.621	58.122	57.048	56.701	57.015	55.913	55.783	55.085	55.903	58.258	56.768	57.749	58.064	55.938	56.559	55.557	55.348	56.106	57.956	59.072	59.437	59.385	57.449	58.298	59.914	61.192	63.59	64.013	63.481	63.282	62.39	63.86	64.797	65.984	67.01	63.736	63.083	63.91	62.943	63.114	62.181	62.195	62.632	62.058	63.306	64.003	63.74	65.038	62.852	64.308	63.24	64.495	66.157	65.235	67.528	66.894	66.433	66.121	66.086	66.95	64.957	64.906	63.504	63.389	64.164	61.473	62.529	61.162	59.519	61.517	60.922	59.509	61.406	59.509	59.133	59.722	59.103	59.644	58.123	59.629	59.004	59.786	60.074	59.231	57.677	57.289	56.718	56.183	55.444	55.245	55.419	57.648	58.626	58.853	58.238	58.284	58.202	57.274	58.029	58.021	59.395	60.354	60.589	60.672	59.581	59.369	59.582	61.312	61.752	61.245	61.39	60.123	59.221	58.329	59.348	58.327	59.171	59.249	60.309	60.0	58.954	58.843	57.773	56.4	56.084	55.732	55.132	54.104	53.882	53.057	54.156	54.607	55.338	54.273	54.447	53.406	52.665	
wdir_deg_sigma	77.322	78.024	78.051	77.589	77.391	75.978	76.247	75.593	75.481	75.302	75.35	75.323	76.245	75.833	76.038	74.912	76.182	76.464	75.289	75.887	75.168	76.29	76.41	75.744	74.94	74.379	74.508	74.711	74.7	73.252	72.805	74.341	74.073	73.839	73.916	75.132	75.214	74.95	76.182	75.821	75.6	75.22	75.46	75.942	76.027	77.302	76.134	77.233	77.54	76.806	76.893	76.295	77.581	77.502	76.795	75.729	76.43	76.979	76.338	75.186	75.222	75.708	75.146	75.609	75.412	75.111	75.165	74.592	74.624	75.273	74.162	74.63	74.64	74.168	72.623	72.913	72.028	71.834	71.859	71.137	70.951	70.74	70.843	70.327	70.644	71.18	70.192	71.309	70.931	70.833	71.174	69.913	70.151	70.057	69.307	71.007	70.762	71.291	70.287	70.211	69.879	69.578	68.392	69.859	69.749	69.67	69.412	70.141	70.97	70.777	71.564	71.421	68.773	70.667	69.873	69.928	70.919	70.667	70.762	70.659	70.401	69.295	68.857	67.793	68.071	65.664	66.485	65.939	65.652	65.546	64.162	63.849	63.095	62.514	63.48	62.662	61.666	60.68	61.334	61.914	62.163	62.232	63.182	63.592	62.837	62.985	61.838	60.818	61.19	61.488	61.003	62.566	61.701	61.504	60.898	61.458	61.803	61.866	61.998	61.483	61.767	62.375	61.704	61.903	61.964	62.189	63.602	64.294	63.601	65.41	65.129	64.802	66.017	66.383	66.702	65.811	64.958	64.995	63.563	62.947	62.983	62.56	62.226	62.338	62.491	61.969	61.501	60.739	60.45	60.613	60.876	60.846	61.231	61.027	60.447	60.135	60.394	59.596	60.411	60.532	60.858	60.983	61.633	61.203	61.176	61.218	61.471	60.941	60.868	60.414	59.8	60.145	60.136	59.685	59.388	59.203	58.211	58.053	58.348	59.385	59.379	59.902	60.103	59.956	59.262	59.285	59.067	59.202	59.087	58.86	58.927	58.303	58.098	57.924	57.795	57.848	58.133	58.16	58.234	56.867	
