temp_mean	1.257	1.188	1.181	1.055	1.073	1.084	1.148	1.147	1.127	1.133	1.17	1.182	1.191	1.206	1.209	1.202	1.201	1.181	1.184	1.195	1.189	1.185	1.157	1.148	1.142	1.143	1.145	1.141	1.128	1.116	1.122	1.122	1.133	1.124	1.127	1.124	1.123	1.124	1.126	1.14	1.144	1.134	1.138	1.123	1.119	1.123	1.135	1.15	1.153	1.151	1.159	1.153	1.154	1.176	1.182	1.179	1.178	1.178	1.192	1.195	1.198	1.219	1.219	1.229	1.233	1.263	1.245	1.26	1.267	1.259	1.258	1.251	1.239	1.222	1.222	1.22	1.216	1.216	1.201	1.177	1.176	1.162	1.155	1.151	1.156	1.171	1.193	1.204	1.184	1.2	1.217	1.231	1.24	1.253	1.23	1.221	1.217	1.242	1.246	1.22	1.204	1.203	1.239	1.266	1.275	1.279	1.276	1.296	1.309	1.317	1.306	1.323	1.346	1.361	1.377	1.411	1.431	1.437	1.426	1.434	1.421	1.424	1.433	1.428	1.403	1.388	1.406	1.436	1.426	1.427	1.454	1.454	1.442	1.427	1.458	1.48	1.464	1.511	1.52	1.547	1.526	1.53	1.537	1.54	1.585	1.621	1.619	1.633	1.625	1.607	1.586	1.545	1.526	1.518	1.508	1.515	1.47	1.444	1.439	1.384	1.385	1.343	1.321	1.322	1.314	1.357	1.356	1.355	1.36	1.321	1.325	1.288	1.275	1.244	1.242	1.253	1.251	1.243	1.236	1.251	1.243	1.218	1.228	1.19	1.19	1.178	1.196	1.204	1.209	1.245	1.26	1.26	1.263	1.264	1.281	1.301	1.271	1.27	1.26	1.256	1.228	1.186	1.159	1.12	1.085	1.069	1.046	1.037	1.059	1.065	1.061	1.054	1.035	1.01	1.041	1.074	1.108	1.046	1.039	0.988	0.948	0.92	0.873	0.824	0.774	0.738	0.701	0.707	0.7	0.675	0.69	0.68	0.641	0.572	0.495	0.494	0.443	0.432	0.414	0.399	
temp_sigma	0.92	0.943	0.918	0.947	0.959	0.949	0.993	1.028	1.035	1.054	1.077	1.09	1.095	1.095	1.08	1.078	1.077	1.094	1.088	1.087	1.085	1.043	1.04	1.044	1.042	1.035	1.025	1.021	1.019	1.02	1.018	1.022	1.007	0.996	0.988	0.987	0.97	0.955	0.953	0.954	0.97	0.984	1.007	1.003	1.012	0.998	0.998	0.997	0.999	1.006	1.005	1.017	1.015	1.021	1.021	1.018	1.013	1.019	1.037	1.042	1.044	1.057	1.057	1.05	1.035	1.037	1.032	1.046	1.064	1.095	1.124	1.145	1.146	1.132	1.15	1.16	1.136	1.138	1.151	1.166	1.156	1.165	1.138	1.132	1.12	1.125	1.133	1.155	1.167	1.171	1.19	1.194	1.217	1.212	1.193	1.177	1.172	1.18	1.199	1.206	1.2	1.198	1.187	1.196	1.184	1.196	1.198	1.199	1.208	1.2	1.205	1.206	1.185	1.171	1.161	1.153	1.165	1.164	1.173	1.181	1.176	1.175	1.191	1.201	1.175	1.173	1.192	1.161	1.157	1.184	1.191	1.258	1.274	1.268	1.289	1.317	1.331	1.347	1.376	1.397	1.387	1.369	1.347	1.326	1.304	1.271	1.267	1.234	1.229	1.207	1.215	1.248	1.261	1.224	1.194	1.144	1.106	1.09	1.067	1.048	1.032	1.02	1.029	1.036	1.018	1.04	1.022	1.035	1.035	1.046	1.057	1.067	1.033	1.047	1.044	1.074	1.087	1.119	1.131	1.142	1.158	1.185	1.204	1.207	1.221	1.255	1.257	1.26	1.278	1.289	1.285	1.282	1.31	1.332	1.339	1.368	1.38	1.413	1.405	1.394	1.395	1.396	1.399	1.398	1.379	1.396	1.41	1.392	1.411	1.397	1.398	1.417	1.445	1.448	1.449	1.481	1.498	1.461	1.448	1.454	1.444	1.399	1.354	1.309	1.26	1.246	1.246	1.231	1.222	1.26	1.28	1.285	1.28	1.277	1.244	1.191	1.179	1.193	1.221	1.219	
dewpoint_mean	2.324	2.239	2.177	1.959	1.98	2.007	2.044	2.114	2.137	2.168	2.186	2.198	2.207	2.202	2.201	2.209	2.181	2.19	2.205	2.207	2.22	2.212	2.215	2.215	2.196	2.223	2.233	2.246	2.229	2.227	2.236	2.225	2.231	2.243	2.245	2.253	2.245	2.248	2.248	2.239	2.251	2.274	2.289	2.29	2.304	2.312	2.325	2.325	2.328	2.306	2.294	2.306	2.31	2.32	2.329	2.329	2.322	2.287	2.279	2.277	2.301	2.321	2.327	2.349	2.365	2.401	2.411	2.412	2.417	2.431	2.475	2.497	2.501	2.499	2.493	2.478	2.475	2.494	2.532	2.54	2.56	2.567	2.598	2.595	2.618	2.612	2.612	2.616	2.611	2.621	2.642	2.662	2.676	2.726	2.746	2.76	2.786	2.81	2.818	2.805	2.812	2.832	2.836	2.87	2.913	2.932	2.988	2.983	2.989	2.975	2.933	2.926	2.936	2.926	2.913	2.895	2.896	2.885	2.884	2.89	2.898	2.89	2.892	2.892	2.886	2.877	2.905	2.928	2.915	2.91	2.905	2.931	2.94	2.963	2.99	3.001	3.024	3.044	3.061	3.073	3.064	3.086	3.131	3.109	3.097	3.075	3.066	3.029	3.003	2.994	2.973	2.958	2.97	2.972	2.942	2.906	2.889	2.889	2.889	2.868	2.831	2.766	2.716	2.664	2.614	2.561	2.514	2.477	2.469	2.434	2.377	2.382	2.377	2.389	2.373	2.37	2.369	2.354	2.354	2.363	2.373	2.376	2.361	2.363	2.353	2.353	2.346	2.316	2.32	2.314	2.287	2.296	2.294	2.311	2.277	2.283	2.264	2.259	2.224	2.205	2.182	2.162	2.137	2.139	2.136	2.108	2.096	2.096	2.113	2.105	2.093	2.09	2.101	2.171	2.238	2.271	2.327	2.292	2.264	2.274	2.234	2.196	2.18	2.183	2.119	2.055	1.995	1.922	1.862	1.8	1.755	1.736	1.792	1.818	1.803	1.762	1.707	1.661	1.632	1.593	
dewpoint_sigma	0.936	0.947	0.963	1.132	1.14	1.145	1.129	1.127	1.101	1.098	1.114	1.114	1.107	1.108	1.095	1.082	1.085	1.073	1.051	1.039	1.031	0.984	0.975	0.968	0.971	0.993	0.998	0.99	0.988	0.997	1.001	0.997	0.985	0.98	0.962	0.948	0.956	0.959	0.954	0.937	0.911	0.882	0.884	0.888	0.873	0.863	0.852	0.843	0.847	0.856	0.858	0.85	0.85	0.833	0.826	0.845	0.851	0.859	0.873	0.885	0.89	0.891	0.89	0.892	0.881	0.889	0.881	0.896	0.907	0.898	0.921	0.937	0.932	0.933	0.898	0.889	0.885	0.89	0.923	0.936	0.972	0.978	0.994	0.959	0.972	0.967	0.956	0.956	0.949	0.976	0.984	0.999	1.022	1.05	1.041	1.058	1.047	1.034	1.041	1.053	1.053	1.068	1.049	1.096	1.146	1.162	1.198	1.21	1.246	1.269	1.298	1.288	1.287	1.276	1.264	1.228	1.204	1.183	1.169	1.18	1.168	1.15	1.158	1.164	1.19	1.208	1.205	1.218	1.209	1.189	1.156	1.139	1.095	1.048	1.023	1.01	0.995	0.97	0.968	0.98	0.99	0.988	0.968	0.967	0.971	0.989	0.988	1.028	1.031	1.005	0.995	0.95	0.95	0.978	1.029	1.078	1.089	1.071	1.032	1.026	1.052	1.062	1.083	1.074	1.097	1.094	1.086	1.113	1.16	1.184	1.173	1.197	1.234	1.254	1.248	1.274	1.307	1.327	1.346	1.335	1.362	1.341	1.381	1.394	1.431	1.464	1.513	1.515	1.517	1.559	1.567	1.606	1.627	1.664	1.702	1.741	1.749	1.79	1.784	1.815	1.839	1.849	1.92	1.972	1.993	1.97	2.031	2.059	2.108	2.106	2.107	2.111	2.226	2.257	2.28	2.344	2.407	2.419	2.44	2.456	2.469	2.381	2.349	2.286	2.226	2.166	2.091	2.051	2.024	2.035	2.051	2.048	2.051	2.063	2.059	2.068	2.098	2.104	2.096	2.084	
humidity_mean	4.518	4.495	4.518	4.041	4.13	4.205	4.149	4.305	4.43	4.545	4.555	4.576	4.54	4.508	4.533	4.512	4.529	4.531	4.514	4.524	4.543	4.601	4.655	4.702	4.75	4.742	4.779	4.815	4.867	4.852	4.848	4.816	4.858	4.858	4.853	4.773	4.7	4.691	4.681	4.657	4.672	4.695	4.682	4.697	4.667	4.654	4.609	4.609	4.576	4.572	4.502	4.486	4.492	4.508	4.5	4.473	4.454	4.368	4.349	4.295	4.288	4.291	4.333	4.384	4.447	4.511	4.553	4.578	4.612	4.682	4.797	4.882	4.9	4.881	4.913	5.005	5.042	5.088	5.187	5.286	5.41	5.479	5.567	5.536	5.572	5.589	5.573	5.571	5.603	5.621	5.688	5.642	5.615	5.638	5.758	5.853	5.929	6.021	6.17	6.352	6.495	6.597	6.616	6.64	6.75	6.786	6.742	6.726	6.608	6.484	6.396	6.303	6.138	5.963	5.84	5.695	5.634	5.584	5.505	5.503	5.563	5.564	5.553	5.591	5.613	5.69	5.724	5.781	5.857	5.898	6.006	6.084	6.192	6.307	6.356	6.478	6.581	6.591	6.576	6.459	6.462	6.471	6.506	6.474	6.373	6.243	6.185	6.14	6.148	6.074	6.041	6.021	6.069	6.042	6.007	5.986	5.972	6.043	6.036	6.029	6.044	6.037	5.926	5.754	5.669	5.538	5.458	5.323	5.209	5.016	4.968	5.016	5.128	5.222	5.175	5.144	5.169	5.203	5.254	5.256	5.308	5.336	5.265	5.325	5.259	5.165	5.114	5.0	4.868	4.737	4.623	4.617	4.578	4.564	4.436	4.379	4.287	4.281	4.228	4.23	4.17	4.144	4.109	4.165	4.231	4.085	4.029	3.902	3.941	4.04	4.091	4.092	4.33	4.531	4.792	5.031	5.271	5.253	5.33	5.452	5.511	5.451	5.489	5.461	5.409	5.299	5.128	4.953	4.821	4.711	4.61	4.642	4.775	4.861	4.91	4.844	4.974	5.067	5.23	5.315	
humidity_sigma	5.476	5.515	5.543	5.711	5.728	5.681	5.793	5.828	5.801	5.76	5.797	5.827	5.813	5.736	5.68	5.634	5.602	5.569	5.557	5.603	5.684	5.744	5.809	5.868	5.957	5.969	5.973	5.987	5.966	5.903	5.891	5.908	5.961	5.992	5.985	5.922	5.832	5.742	5.73	5.78	5.877	5.979	6.019	6.073	6.132	6.177	6.218	6.221	6.275	6.283	6.305	6.303	6.294	6.337	6.392	6.463	6.502	6.558	6.635	6.657	6.698	6.66	6.661	6.712	6.729	6.807	6.904	6.968	7.037	7.15	7.214	7.276	7.253	7.23	7.201	7.224	7.227	7.242	7.395	7.524	7.588	7.607	7.61	7.569	7.498	7.455	7.505	7.581	7.747	7.836	7.941	7.975	8.015	7.994	8.005	8.031	8.0	8.035	8.024	8.083	8.081	8.127	8.106	8.147	8.182	8.276	8.368	8.544	8.659	8.726	8.726	8.648	8.435	8.241	8.118	7.991	7.868	7.769	7.732	7.698	7.691	7.677	7.736	7.764	7.822	7.858	7.787	7.713	7.484	7.235	6.957	6.73	6.425	6.235	6.111	6.077	6.018	5.962	5.937	5.907	5.925	5.926	5.927	5.902	5.909	5.927	5.901	5.862	5.856	5.873	5.934	5.97	6.045	6.037	6.113	6.101	6.058	5.987	5.926	5.862	5.812	5.897	6.024	6.142	6.162	6.209	6.314	6.381	6.46	6.429	6.452	6.491	6.571	6.608	6.548	6.461	6.302	6.172	6.01	5.908	5.853	5.87	5.826	5.779	5.73	5.756	5.826	5.843	5.698	5.626	5.576	5.673	5.716	5.718	5.613	5.558	5.629	5.842	5.879	5.941	6.05	6.135	6.29	6.425	6.548	6.578	6.717	6.826	7.039	7.147	7.231	7.293	7.6	7.591	7.636	7.793	8.069	8.192	8.302	8.407	8.371	8.009	7.843	7.723	7.611	7.514	7.399	7.335	7.272	7.28	7.246	7.249	7.338	7.422	7.434	7.445	7.462	7.542	7.554	7.61	
wspd_mean	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
wspd_sigma	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
wdir_deg_mean	84.04	84.773	86.349	86.419	85.58	83.142	83.175	84.722	84.713	84.841	84.072	83.431	82.525	82.781	82.309	82.632	82.747	81.488	81.078	79.496	79.445	78.561	79.044	80.107	80.258	80.127	79.348	78.079	77.733	77.512	78.348	79.29	80.882	80.292	79.246	79.331	79.368	79.482	79.512	78.879	79.628	80.496	80.51	80.422	80.016	80.51	80.881	80.251	79.449	79.593	79.852	80.296	80.64	80.781	80.69	80.763	81.167	81.49	81.727	82.62	81.966	82.051	82.325	82.402	82.425	82.145	81.792	81.444	81.406	81.247	81.113	81.525	81.105	80.799	80.683	80.705	80.796	80.972	80.421	80.469	80.972	81.498	81.99	82.129	82.284	82.169	82.0	81.702	82.314	81.99	81.738	81.378	81.14	81.176	81.141	80.914	80.653	80.267	79.938	79.632	78.479	78.665	79.216	79.73	80.553	81.043	81.339	81.188	81.194	81.07	80.781	80.67	80.751	81.005	81.059	81.193	81.349	81.449	81.457	81.388	81.087	80.851	80.788	80.733	80.653	80.573	81.7	82.148	82.452	81.91	81.611	81.192	81.659	81.97	81.81	81.453	81.219	81.44	81.829	82.159	82.615	82.0	82.351	82.162	82.477	82.599	82.781	82.88	81.805	81.507	81.333	81.212	81.193	81.229	81.252	81.106	81.043	80.864	80.576	80.225	80.109	80.14	80.163	80.157	80.173	79.985	79.969	79.862	79.659	79.276	79.198	79.296	79.384	79.683	79.849	79.912	80.177	80.455	80.533	80.554	80.617	80.613	80.222	80.009	79.974	79.661	79.298	79.061	79.009	79.018	78.982	78.904	78.879	78.906	79.068	79.25	79.461	79.465	79.64	79.77	80.0	80.207	80.536	80.954	81.296	81.481	81.673	81.735	81.723	81.48	81.273	81.082	80.918	80.625	80.24	79.885	79.583	79.389	79.468	79.677	79.88	80.055	80.189	80.213	80.227	80.161	80.105	80.047	79.917	79.627	79.256	78.84	78.488	78.051	77.808	77.623	77.566	77.293	77.203	77.041	
wdir_deg_sigma	35.733	36.604	37.095	36.615	36.176	35.637	35.882	37.034	37.402	37.668	37.798	37.684	37.979	38.042	37.597	37.457	37.516	37.335	37.025	36.201	35.463	35.213	35.503	35.323	35.118	34.843	33.915	32.912	32.455	32.335	32.797	33.201	33.597	33.524	33.167	33.259	33.135	32.807	32.505	31.96	31.609	31.786	31.332	30.973	30.107	29.646	29.407	29.1	28.697	28.848	28.822	28.735	28.33	28.162	27.954	27.787	27.601	27.533	27.411	27.446	26.695	26.403	26.277	26.018	25.909	25.961	25.956	25.817	25.557	25.208	24.678	24.401	23.944	23.69	23.633	23.478	23.24	23.18	23.083	23.097	23.021	22.7	22.492	22.406	22.191	22.1	21.867	21.635	21.675	21.363	21.143	21.761	22.308	22.079	22.091	22.186	22.44	22.339	21.833	21.289	21.077	21.382	21.755	22.06	21.75	21.515	21.32	21.219	21.018	20.981	21.017	21.053	20.894	20.977	21.067	21.195	21.463	21.933	22.304	22.634	23.035	23.377	23.633	24.078	24.486	24.784	24.646	24.162	23.519	22.97	23.908	24.821	25.584	26.107	25.674	24.409	23.243	23.16	23.727	24.03	24.27	23.847	24.023	24.852	25.061	24.862	24.559	23.95	23.043	23.38	23.734	23.814	23.727	23.5	23.193	22.986	22.893	22.783	22.584	21.952	21.1	20.131	19.676	19.388	19.226	19.212	19.295	19.371	19.452	19.433	19.359	19.464	19.541	19.637	19.877	19.915	20.028	20.204	20.255	20.301	20.485	20.678	20.866	20.621	20.336	20.17	20.032	19.753	19.329	18.765	18.204	17.66	17.124	16.791	16.377	15.931	15.651	15.794	15.81	15.888	16.003	16.204	16.475	16.556	16.578	16.715	16.718	16.252	15.436	14.702	14.225	13.894	13.694	13.234	13.048	12.985	13.226	13.428	13.598	13.692	13.867	13.801	13.86	13.756	13.495	13.23	12.814	12.55	12.446	12.522	12.618	12.525	12.22	11.804	11.546	11.368	11.404	11.332	11.255	11.032	
