temp_mean	-0.115	-0.091	-0.063	0.006	0.006	0.003	0.27	0.297	0.3	0.301	0.318	0.341	0.337	0.35	0.341	0.356	0.36	0.358	0.367	0.369	0.36	0.369	0.338	0.33	0.346	0.348	0.358	0.359	0.392	0.387	0.381	0.383	0.363	0.365	0.382	0.359	0.391	0.369	0.393	0.391	0.383	0.421	0.37	0.383	0.369	0.37	0.358	0.363	0.375	0.357	0.401	0.391	0.389	0.371	0.37	0.359	0.311	0.333	0.331	0.338	0.341	0.356	0.37	0.4	0.4	0.386	0.371	0.314	0.325	0.295	0.293	0.255	0.246	0.237	0.233	0.231	0.204	0.192	0.162	0.153	0.147	0.13	0.126	0.119	0.146	0.139	0.121	0.163	0.156	0.131	0.134	0.103	0.108	0.103	0.094	0.061	0.051	0.053	0.041	-0.004	0.046	0.068	0.059	0.076	0.043	0.059	0.087	0.08	0.066	0.063	0.065	0.082	0.072	0.099	0.104	0.098	0.116	0.163	0.137	0.163	0.189	0.199	0.178	0.216	0.215	0.226	0.247	0.252	0.247	0.273	0.265	0.311	0.325	0.321	0.313	0.282	0.312	0.365	0.334	0.37	0.38	0.367	0.34	0.369	0.388	0.372	0.356	0.381	0.375	0.377	0.345	0.355	0.328	0.312	0.291	0.278	0.262	0.268	0.275	0.287	0.304	0.279	0.306	0.335	0.337	0.325	0.359	0.352	0.366	0.388	0.342	0.348	0.363	0.388	0.353	0.324	0.382	0.316	0.341	0.35	0.369	0.393	0.434	0.449	0.449	0.495	0.475	0.486	0.489	0.466	0.483	0.504	0.466	0.478	0.477	0.493	0.494	0.533	0.553	0.554	0.597	0.639	0.617	0.649	0.67	0.665	0.722	0.741	0.756	0.748	0.728	0.748	0.724	0.737	0.715	0.721	0.682	0.648	0.648	0.648	0.634	0.652	0.631	0.653	0.66	0.666	0.661	0.627	0.65	0.65	0.623	0.618	0.637	0.661	0.665	0.675	0.632	0.693	0.685	0.68	
temp_sigma	0.737	0.896	1.016	1.306	1.315	1.323	1.357	1.398	1.423	1.402	1.393	1.421	1.395	1.392	1.407	1.391	1.372	1.386	1.4	1.422	1.424	1.412	1.423	1.441	1.457	1.442	1.441	1.458	1.464	1.467	1.491	1.48	1.493	1.464	1.494	1.48	1.497	1.484	1.502	1.498	1.514	1.536	1.533	1.546	1.58	1.584	1.573	1.615	1.595	1.595	1.606	1.615	1.607	1.623	1.632	1.648	1.648	1.663	1.678	1.645	1.645	1.657	1.668	1.637	1.628	1.637	1.639	1.609	1.602	1.621	1.625	1.573	1.616	1.587	1.59	1.642	1.662	1.656	1.69	1.702	1.733	1.735	1.745	1.723	1.722	1.718	1.693	1.706	1.654	1.676	1.672	1.674	1.627	1.628	1.608	1.608	1.585	1.572	1.562	1.534	1.569	1.539	1.562	1.564	1.576	1.581	1.564	1.53	1.568	1.548	1.555	1.536	1.535	1.515	1.509	1.502	1.511	1.533	1.507	1.519	1.524	1.491	1.517	1.522	1.543	1.532	1.529	1.543	1.542	1.541	1.556	1.58	1.621	1.629	1.648	1.692	1.696	1.745	1.745	1.731	1.764	1.785	1.788	1.794	1.802	1.769	1.757	1.763	1.781	1.756	1.78	1.784	1.802	1.772	1.794	1.797	1.785	1.787	1.796	1.794	1.828	1.852	1.844	1.866	1.894	1.897	1.875	1.924	1.9	1.927	1.954	1.971	1.98	1.989	1.996	2.019	2.003	2.051	2.062	2.043	2.02	2.047	2.029	2.002	1.984	1.982	2.02	2.027	2.042	2.059	2.07	2.087	2.092	2.098	2.061	2.096	2.094	2.143	2.146	2.159	2.191	2.225	2.211	2.233	2.241	2.187	2.205	2.24	2.213	2.272	2.269	2.274	2.294	2.361	2.385	2.367	2.392	2.362	2.367	2.423	2.489	2.483	2.503	2.456	2.466	2.49	2.507	2.462	2.489	2.514	2.543	2.565	2.561	2.53	2.526	2.51	2.494	2.515	2.471	2.47	
dewpoint_mean	0.292	0.306	0.269	0.28	0.292	0.304	0.466	0.514	0.543	0.498	0.53	0.507	0.507	0.5	0.505	0.536	0.504	0.508	0.528	0.517	0.507	0.501	0.495	0.483	0.469	0.476	0.491	0.464	0.467	0.47	0.464	0.488	0.492	0.477	0.482	0.464	0.447	0.459	0.426	0.42	0.412	0.442	0.449	0.442	0.438	0.45	0.438	0.432	0.429	0.417	0.401	0.417	0.427	0.397	0.372	0.354	0.399	0.397	0.422	0.445	0.466	0.49	0.515	0.524	0.544	0.548	0.539	0.539	0.563	0.574	0.584	0.605	0.608	0.613	0.614	0.597	0.592	0.577	0.565	0.563	0.554	0.548	0.567	0.574	0.578	0.585	0.561	0.554	0.557	0.575	0.563	0.591	0.585	0.588	0.58	0.585	0.566	0.568	0.608	0.575	0.611	0.611	0.615	0.609	0.621	0.604	0.638	0.613	0.618	0.606	0.652	0.643	0.641	0.665	0.645	0.694	0.701	0.714	0.713	0.713	0.727	0.728	0.749	0.761	0.77	0.821	0.857	0.872	0.93	0.925	0.983	0.993	1.014	1.04	1.013	1.034	1.056	1.083	1.09	1.118	1.128	1.129	1.093	1.11	1.066	1.087	1.04	1.004	0.998	1.011	0.987	0.985	0.999	0.949	0.95	0.956	0.951	0.934	0.936	0.918	0.927	0.939	0.92	0.915	0.91	0.917	0.947	0.917	0.91	0.917	0.913	0.915	0.882	0.882	0.897	0.898	0.899	0.888	0.912	0.926	0.918	0.899	0.954	0.952	0.961	0.953	0.975	0.963	0.959	0.967	0.977	0.975	0.974	0.988	0.994	1.013	1.01	1.071	1.071	1.045	1.045	1.042	1.032	1.015	1.021	1.038	1.067	1.092	1.116	1.135	1.197	1.205	1.212	1.247	1.227	1.261	1.285	1.298	1.318	1.365	1.427	1.447	1.505	1.574	1.604	1.627	1.69	1.76	1.826	1.885	1.907	1.943	1.948	1.935	1.956	1.977	2.008	2.001	2.027	2.037	
dewpoint_sigma	0.845	0.859	0.86	0.9	0.891	0.89	0.921	0.898	0.874	0.899	0.892	0.909	0.88	0.907	0.915	0.897	0.879	0.862	0.881	0.899	0.925	0.937	0.923	0.916	0.931	0.944	0.952	0.922	0.921	0.954	0.941	0.951	0.92	0.937	0.927	0.923	0.908	0.916	0.908	0.934	0.931	0.924	0.95	0.954	0.959	0.975	0.984	0.992	1.001	0.998	1.03	1.001	1.01	1.032	1.02	1.03	1.026	1.019	1.01	0.99	0.996	1.011	0.988	0.974	0.984	0.963	0.962	0.961	0.966	0.957	0.982	1.0	0.993	1.0	1.026	1.056	1.071	1.07	1.082	1.131	1.163	1.171	1.147	1.199	1.171	1.172	1.211	1.215	1.247	1.249	1.245	1.211	1.206	1.211	1.23	1.24	1.238	1.221	1.217	1.231	1.22	1.212	1.204	1.234	1.286	1.299	1.293	1.32	1.319	1.34	1.358	1.357	1.37	1.408	1.403	1.431	1.457	1.494	1.517	1.505	1.529	1.561	1.528	1.549	1.567	1.582	1.56	1.539	1.529	1.541	1.53	1.519	1.541	1.525	1.542	1.555	1.555	1.584	1.59	1.569	1.581	1.586	1.602	1.602	1.614	1.616	1.612	1.601	1.603	1.557	1.566	1.539	1.54	1.548	1.546	1.53	1.545	1.517	1.531	1.511	1.556	1.602	1.602	1.623	1.629	1.641	1.658	1.681	1.673	1.701	1.687	1.683	1.717	1.731	1.719	1.746	1.773	1.803	1.762	1.777	1.79	1.781	1.764	1.776	1.761	1.749	1.76	1.74	1.773	1.799	1.802	1.823	1.827	1.801	1.832	1.866	1.889	1.94	1.963	2.015	2.07	2.08	2.113	2.143	2.137	2.143	2.148	2.15	2.168	2.176	2.203	2.224	2.235	2.246	2.264	2.299	2.295	2.306	2.304	2.365	2.382	2.415	2.449	2.476	2.457	2.501	2.524	2.559	2.595	2.662	2.69	2.715	2.737	2.76	2.746	2.742	2.752	2.77	2.759	2.761	
humidity_mean	1.984	2.059	2.184	2.187	2.168	2.202	1.831	1.807	1.746	1.676	1.69	1.689	1.606	1.54	1.534	1.528	1.507	1.474	1.431	1.486	1.483	1.44	1.394	1.35	1.343	1.319	1.242	1.188	1.136	1.209	1.225	1.235	1.239	1.247	1.242	1.202	1.095	1.021	0.99	0.956	0.93	0.982	0.99	1.018	1.068	1.084	1.039	1.029	0.997	0.958	0.941	0.931	0.89	0.901	0.914	0.914	0.984	1.117	1.204	1.308	1.358	1.392	1.467	1.534	1.558	1.624	1.746	1.936	2.028	2.122	2.255	2.343	2.49	2.571	2.576	2.615	2.64	2.673	2.759	2.825	2.878	2.914	3.008	3.033	3.031	3.028	3.028	3.037	3.014	3.085	3.111	3.145	3.197	3.255	3.336	3.401	3.517	3.528	3.567	3.542	3.512	3.543	3.568	3.552	3.586	3.62	3.628	3.681	3.734	3.775	3.744	3.701	3.679	3.705	3.698	3.743	3.801	3.84	3.787	3.805	3.795	3.835	3.875	3.947	4.025	4.073	4.177	4.244	4.315	4.371	4.404	4.489	4.555	4.621	4.649	4.638	4.624	4.649	4.559	4.587	4.613	4.651	4.577	4.518	4.547	4.535	4.385	4.342	4.224	4.259	4.288	4.261	4.3	4.266	4.271	4.265	4.318	4.291	4.306	4.293	4.199	4.181	4.129	4.029	3.96	3.953	3.873	3.815	3.785	3.703	3.629	3.605	3.559	3.524	3.5	3.438	3.447	3.472	3.477	3.392	3.382	3.36	3.362	3.317	3.36	3.276	3.285	3.231	3.311	3.372	3.325	3.323	3.364	3.394	3.347	3.336	3.293	3.176	3.111	3.0	2.897	2.805	2.679	2.552	2.492	2.38	2.352	2.302	2.359	2.451	2.487	2.606	2.8	2.961	3.132	3.26	3.407	3.556	3.656	3.879	4.144	4.339	4.627	4.932	5.216	5.424	5.699	6.0	6.318	6.516	6.642	6.777	6.744	6.782	6.839	7.024	7.163	7.159	7.203	7.262	
humidity_sigma	3.97	4.38	4.934	6.4	6.43	6.525	6.523	6.571	6.636	6.663	6.703	6.762	6.789	6.83	6.821	6.754	6.773	6.792	6.845	6.859	6.907	6.979	7.074	7.19	7.284	7.321	7.356	7.373	7.392	7.361	7.431	7.477	7.5	7.493	7.543	7.575	7.617	7.634	7.638	7.606	7.628	7.634	7.712	7.731	7.709	7.755	7.823	7.881	7.961	7.955	7.994	7.998	8.01	8.064	8.095	8.077	8.126	8.118	8.111	8.098	8.016	8.017	8.05	8.042	8.019	8.017	8.059	8.068	8.083	8.038	8.064	8.022	7.967	7.936	7.988	7.997	8.07	8.052	8.068	8.063	8.076	8.047	8.052	8.076	8.085	8.213	8.256	8.288	8.283	8.322	8.353	8.285	8.241	8.226	8.202	8.136	8.152	8.099	8.074	8.017	8.06	8.096	8.138	8.234	8.35	8.433	8.541	8.611	8.658	8.726	8.715	8.754	8.755	8.774	8.822	8.889	8.947	9.018	8.982	8.969	8.927	8.857	8.792	8.736	8.682	8.601	8.525	8.41	8.318	8.275	8.253	8.135	8.116	8.043	7.995	7.97	7.869	7.882	7.86	7.753	7.678	7.558	7.496	7.408	7.422	7.385	7.378	7.285	7.235	7.164	7.16	7.114	7.126	7.155	7.092	7.009	7.008	7.043	7.021	7.075	7.129	7.111	7.066	7.004	6.981	6.999	7.016	7.011	7.007	7.077	7.085	7.074	7.07	7.137	7.103	7.094	7.176	7.206	7.348	7.383	7.393	7.427	7.354	7.32	7.199	7.249	7.311	7.398	7.481	7.492	7.548	7.572	7.582	7.563	7.605	7.66	7.675	7.737	7.751	7.796	7.873	7.84	7.885	7.916	7.864	7.809	7.734	7.789	7.86	7.93	8.058	8.117	8.193	8.249	8.287	8.288	8.308	8.307	8.311	8.25	8.361	8.341	8.326	8.34	8.301	8.358	8.36	8.373	8.367	8.452	8.63	8.635	8.709	8.826	8.829	8.886	8.953	9.048	9.06	9.097	
wspd_mean	-14.651	-14.635	-14.575	-14.446	-14.475	-14.473	-14.087	-14.022	-14.093	-14.132	-14.193	-14.208	-14.183	-14.146	-14.179	-14.093	-14.064	-14.145	-14.177	-14.201	-14.179	-14.242	-14.298	-14.283	-14.271	-14.32	-14.308	-14.372	-14.363	-14.402	-14.517	-14.509	-14.473	-14.421	-14.457	-14.459	-14.397	-14.292	-14.163	-14.017	-13.947	-13.901	-13.773	-13.7	-13.696	-13.752	-13.761	-13.788	-13.843	-13.875	-13.916	-13.867	-13.994	-13.98	-14.024	-14.044	-14.051	-14.072	-14.101	-14.156	-14.164	-14.138	-14.084	-14.096	-14.072	-14.014	-14.11	-14.126	-14.151	-14.084	-14.077	-14.058	-13.94	-13.851	-13.853	-13.881	-13.857	-13.832	-13.86	-13.942	-13.973	-14.059	-14.1	-14.066	-14.104	-14.098	-14.165	-14.166	-14.237	-14.291	-14.326	-14.298	-14.368	-14.353	-14.41	-14.423	-14.399	-14.354	-14.429	-14.406	-14.45	-14.526	-14.602	-14.661	-14.697	-14.725	-14.707	-14.793	-14.847	-14.901	-14.943	-14.981	-15.079	-15.105	-15.152	-15.199	-15.178	-15.157	-15.059	-15.047	-15.074	-15.037	-15.159	-15.192	-15.277	-15.232	-15.29	-15.304	-15.277	-15.284	-15.279	-15.231	-15.256	-15.314	-15.296	-15.325	-15.292	-15.35	-15.395	-15.416	-15.361	-15.386	-15.349	-15.402	-15.38	-15.425	-15.438	-15.508	-15.547	-15.577	-15.612	-15.607	-15.608	-15.638	-15.655	-15.626	-15.655	-15.647	-15.706	-15.584	-15.661	-15.735	-15.721	-15.839	-15.935	-15.957	-15.859	-15.756	-15.764	-15.668	-15.508	-15.564	-15.474	-15.49	-15.497	-15.47	-15.514	-15.439	-15.338	-15.222	-15.305	-15.185	-15.278	-15.268	-15.228	-15.2	-15.2	-15.109	-15.034	-14.949	-14.864	-14.689	-14.614	-14.627	-14.561	-14.586	-14.622	-14.502	-14.423	-14.413	-14.479	-14.498	-14.492	-14.455	-14.438	-14.49	-14.492	-14.531	-14.485	-14.488	-14.568	-14.656	-14.719	-14.797	-14.767	-14.89	-14.879	-15.001	-14.996	-15.125	-15.258	-15.306	-15.481	-15.564	-15.769	-15.798	-15.815	-15.94	-15.995	-15.988	-16.196	-16.178	-16.222	-16.248	-16.317	-16.303	-16.301	-16.357	-16.409	-16.419	
wspd_sigma	5.867	5.904	5.89	5.952	5.968	5.947	6.019	6.04	5.983	6.042	6.054	6.074	6.048	6.095	6.142	6.206	6.136	6.139	6.142	6.128	6.162	6.201	6.25	6.16	6.202	6.102	6.145	6.145	6.142	6.163	6.017	6.016	5.94	5.97	5.842	5.838	5.904	6.137	6.272	6.5	6.572	6.55	6.638	6.7	6.698	6.703	6.749	6.765	6.826	6.861	6.948	6.963	6.915	6.88	6.878	6.943	6.898	6.88	6.887	6.798	6.82	6.868	6.919	6.932	6.993	6.979	6.926	6.953	6.939	6.913	6.963	6.974	6.998	6.958	7.011	7.012	7.006	7.003	7.034	7.059	7.036	7.058	7.047	7.086	7.053	7.02	7.006	7.085	7.101	7.03	7.076	7.095	7.043	7.058	7.044	6.984	6.952	6.864	6.885	6.931	6.891	6.946	6.905	6.838	6.879	6.764	6.778	6.657	6.619	6.531	6.336	6.313	6.251	6.224	6.188	6.127	6.18	6.093	6.04	5.971	5.968	5.948	5.985	5.968	6.003	5.907	5.955	5.858	5.8	5.798	5.772	5.772	5.798	5.837	5.919	5.887	5.97	5.932	5.989	5.996	6.06	6.15	6.157	6.222	6.242	6.294	6.365	6.394	6.5	6.436	6.375	6.324	6.354	6.319	6.195	6.191	6.119	6.121	6.105	6.183	6.139	6.141	6.115	6.125	5.905	5.901	5.959	6.032	6.051	6.031	6.211	6.14	6.219	6.252	6.269	6.278	6.26	6.309	6.323	6.26	6.264	6.289	6.121	6.035	5.902	5.774	5.701	5.711	5.641	5.643	5.696	5.671	5.704	5.678	5.677	5.619	5.588	5.572	5.589	5.625	5.529	5.44	5.428	5.567	5.727	5.821	5.94	6.098	6.211	6.324	6.382	6.434	6.496	6.466	6.63	6.682	6.713	6.871	6.919	6.977	7.04	7.164	7.218	7.344	7.434	7.388	7.491	7.419	7.509	7.555	7.548	7.718	7.765	7.897	7.963	8.028	8.179	8.162	8.086	8.096	
wdir_deg_mean	83.007	82.934	82.601	82.444	82.654	81.356	80.952	80.496	78.88	79.149	78.798	79.176	78.935	79.412	79.18	78.971	78.517	78.13	78.993	78.044	78.108	78.193	77.906	77.72	77.567	76.651	76.58	75.917	75.322	75.118	74.816	73.876	73.86	73.891	73.362	74.036	73.913	73.686	73.964	74.044	72.902	73.195	71.859	72.167	71.812	71.667	71.389	72.446	73.918	74.188	73.577	74.312	73.096	73.729	73.997	75.566	75.159	74.499	74.174	73.572	73.811	72.811	73.527	73.438	73.671	73.738	72.577	71.843	71.947	72.197	72.338	72.668	72.485	72.166	72.055	72.936	71.615	71.238	73.249	72.521	72.873	72.726	74.461	73.613	74.237	75.664	74.803	75.859	76.576	77.405	77.614	76.536	77.74	77.84	77.601	77.654	78.202	79.029	79.404	79.274	80.959	81.232	80.815	81.64	82.728	81.798	83.277	83.069	83.662	83.414	83.75	84.432	84.879	84.964	84.796	84.196	84.178	84.357	84.08	84.121	83.618	82.168	83.284	83.191	83.943	83.432	83.829	83.194	83.325	82.179	81.388	81.347	81.029	80.906	80.506	80.886	80.141	80.39	80.102	80.254	79.712	80.429	80.05	80.264	80.46	80.391	79.872	79.847	79.983	80.747	81.007	81.357	80.879	80.782	80.681	80.495	80.643	79.446	79.299	79.654	79.695	80.281	79.818	79.878	79.54	79.245	79.594	79.593	79.015	78.542	78.21	77.661	77.889	77.383	77.201	77.464	77.282	76.902	76.803	76.544	76.492	76.908	77.246	77.363	78.957	79.261	80.023	80.349	79.78	79.103	78.619	78.271	79.264	79.739	78.621	79.49	80.15	81.024	81.738	81.872	82.12	82.664	83.429	84.795	85.147	85.139	86.419	87.213	87.184	87.472	88.017	88.524	89.457	90.445	90.588	91.326	91.779	92.124	92.487	93.103	93.725	94.258	94.923	95.507	96.147	97.456	98.463	100.391	101.028	100.545	101.061	101.322	101.483	101.697	101.63	102.243	102.464	103.702	105.077	104.607	
wdir_deg_sigma	46.415	46.263	46.342	45.979	45.038	46.759	46.958	47.466	47.843	47.885	47.858	47.883	47.953	46.451	46.035	45.998	46.946	45.536	45.689	46.043	45.656	45.822	45.613	45.506	45.584	45.454	45.27	45.513	45.679	45.8	45.952	47.616	46.198	46.551	46.813	47.076	47.211	48.779	47.828	48.07	49.313	48.481	49.315	47.994	48.07	48.369	50.094	50.542	49.189	49.848	49.666	50.158	50.047	49.43	49.08	49.515	50.157	49.862	49.676	49.121	49.047	50.27	50.262	49.679	48.442	48.582	48.282	49.968	49.982	49.699	49.739	50.129	49.8	49.697	49.322	48.571	48.206	49.499	50.067	49.684	49.631	49.688	50.326	49.468	49.423	48.875	48.959	48.682	48.707	48.013	48.042	49.294	49.198	49.136	48.924	49.191	49.592	49.358	49.508	49.65	49.923	49.793	49.625	49.861	49.613	49.518	49.649	49.471	49.275	48.839	48.891	49.068	49.129	48.795	47.285	47.016	46.967	46.648	46.148	45.787	47.638	47.884	47.15	46.701	44.63	45.011	44.854	44.706	43.978	43.641	43.067	42.76	42.563	42.164	41.888	40.605	40.978	39.343	38.953	38.466	39.254	38.395	38.641	36.926	36.626	36.528	38.225	37.923	37.986	37.036	36.239	35.254	36.318	36.161	35.184	35.33	35.35	39.621	39.937	39.634	39.506	39.237	39.654	39.485	39.949	40.08	39.13	38.502	40.518	40.736	40.631	40.371	39.723	40.15	40.116	39.906	40.512	40.535	40.574	40.735	40.937	40.48	41.06	41.388	42.719	42.808	42.817	42.312	41.62	41.406	41.401	41.122	40.733	39.268	40.712	40.492	40.501	40.276	40.605	40.3	39.759	39.711	39.334	38.466	37.848	40.304	39.781	39.708	40.08	40.762	40.539	40.149	40.218	38.59	38.279	38.773	38.895	38.066	38.096	38.328	37.381	37.371	36.628	36.223	36.265	34.492	33.179	29.508	28.674	30.207	29.877	29.766	29.544	29.083	28.932	27.852	27.703	26.061	23.191	24.102	
