temp_mean	-0.098	-0.144	-0.212	-0.322	-0.329	-0.322	-0.324	-0.321	-0.323	-0.337	-0.339	-0.321	-0.317	-0.296	-0.275	-0.278	-0.284	-0.297	-0.312	-0.264	-0.273	-0.281	-0.295	-0.278	-0.246	-0.294	-0.278	-0.285	-0.299	-0.296	-0.307	-0.306	-0.302	-0.304	-0.308	-0.302	-0.306	-0.297	-0.304	-0.278	-0.27	-0.281	-0.259	-0.233	-0.245	-0.256	-0.261	-0.257	-0.232	-0.242	-0.223	-0.207	-0.229	-0.235	-0.233	-0.225	-0.22	-0.254	-0.241	-0.217	-0.218	-0.215	-0.203	-0.211	-0.219	-0.215	-0.209	-0.241	-0.229	-0.243	-0.25	-0.253	-0.273	-0.27	-0.268	-0.271	-0.273	-0.296	-0.314	-0.341	-0.334	-0.349	-0.342	-0.357	-0.358	-0.361	-0.374	-0.377	-0.402	-0.379	-0.405	-0.379	-0.38	-0.391	-0.378	-0.374	-0.368	-0.401	-0.415	-0.409	-0.423	-0.448	-0.436	-0.436	-0.44	-0.417	-0.414	-0.419	-0.432	-0.401	-0.4	-0.383	-0.373	-0.359	-0.381	-0.367	-0.349	-0.337	-0.331	-0.327	-0.357	-0.369	-0.39	-0.391	-0.391	-0.385	-0.378	-0.365	-0.373	-0.379	-0.384	-0.373	-0.354	-0.344	-0.361	-0.367	-0.402	-0.407	-0.395	-0.376	-0.397	-0.366	-0.357	-0.322	-0.33	-0.319	-0.339	-0.351	-0.364	-0.354	-0.357	-0.33	-0.336	-0.32	-0.312	-0.318	-0.307	-0.325	-0.34	-0.31	-0.332	-0.336	-0.332	-0.317	-0.32	-0.323	-0.325	-0.292	-0.264	-0.256	-0.259	-0.261	-0.288	-0.308	-0.304	-0.312	-0.3	-0.286	-0.328	-0.303	-0.283	-0.247	-0.262	-0.312	-0.307	-0.325	-0.297	-0.305	-0.314	-0.317	-0.304	-0.33	-0.319	-0.296	-0.29	-0.271	-0.25	-0.216	-0.248	-0.224	-0.218	-0.186	-0.193	-0.208	-0.186	-0.214	-0.198	-0.2	-0.19	-0.184	-0.172	-0.162	-0.169	-0.168	-0.13	-0.113	-0.135	-0.113	-0.11	-0.155	-0.166	-0.138	-0.17	-0.148	-0.189	-0.208	-0.188	-0.193	-0.205	-0.214	-0.213	-0.247	-0.236	-0.223	-0.202	-0.182	-0.189	-0.204	-0.214	-0.183	
temp_sigma	0.71	0.826	0.909	0.943	0.953	0.95	0.951	0.952	0.957	0.964	0.976	0.984	0.992	0.992	0.984	0.964	0.994	0.983	1.006	0.991	1.0	1.001	1.005	1.004	1.002	1.027	1.034	1.028	1.048	1.036	1.049	1.044	1.05	1.052	1.056	1.062	1.031	1.044	1.036	1.041	1.046	1.056	1.049	1.067	1.073	1.069	1.064	1.034	1.024	1.033	1.057	1.079	1.08	1.092	1.093	1.067	1.07	1.081	1.068	1.074	1.065	1.086	1.093	1.076	1.106	1.11	1.103	1.124	1.123	1.126	1.122	1.132	1.137	1.151	1.145	1.156	1.164	1.175	1.188	1.192	1.204	1.222	1.206	1.228	1.216	1.214	1.22	1.212	1.218	1.226	1.222	1.235	1.26	1.258	1.262	1.24	1.251	1.262	1.269	1.275	1.282	1.322	1.279	1.273	1.284	1.302	1.313	1.307	1.304	1.292	1.31	1.312	1.314	1.334	1.324	1.334	1.365	1.348	1.357	1.347	1.344	1.352	1.324	1.276	1.245	1.238	1.24	1.222	1.241	1.219	1.213	1.219	1.211	1.219	1.232	1.241	1.243	1.214	1.226	1.234	1.226	1.222	1.195	1.181	1.173	1.186	1.185	1.182	1.173	1.17	1.169	1.124	1.145	1.126	1.093	1.074	1.055	1.027	1.001	1.02	1.019	1.004	1.027	1.047	1.05	1.062	1.053	1.058	1.063	1.062	1.088	1.087	1.091	1.107	1.126	1.132	1.108	1.106	1.119	1.095	1.103	1.086	1.122	1.14	1.141	1.143	1.138	1.133	1.12	1.12	1.111	1.072	1.097	1.096	1.106	1.116	1.105	1.109	1.125	1.104	1.136	1.119	1.116	1.078	1.107	1.079	1.079	1.069	1.078	1.068	1.145	1.146	1.124	1.144	1.144	1.18	1.204	1.214	1.226	1.23	1.218	1.217	1.228	1.226	1.244	1.234	1.25	1.256	1.276	1.284	1.26	1.259	1.254	1.256	1.266	1.267	1.261	1.247	1.281	1.289	
dewpoint_mean	2.133	2.136	2.147	2.148	2.145	2.151	2.125	2.125	2.145	2.171	2.185	2.182	2.187	2.202	2.201	2.191	2.203	2.21	2.203	2.211	2.204	2.183	2.183	2.164	2.164	2.161	2.166	2.178	2.176	2.205	2.183	2.196	2.187	2.179	2.191	2.171	2.169	2.193	2.204	2.192	2.195	2.186	2.209	2.202	2.202	2.21	2.206	2.196	2.197	2.194	2.213	2.198	2.201	2.203	2.202	2.198	2.205	2.216	2.217	2.235	2.236	2.227	2.226	2.227	2.252	2.265	2.278	2.291	2.32	2.342	2.332	2.334	2.323	2.309	2.282	2.269	2.271	2.284	2.296	2.303	2.281	2.287	2.287	2.303	2.3	2.297	2.281	2.293	2.299	2.295	2.274	2.284	2.275	2.268	2.297	2.299	2.296	2.286	2.301	2.348	2.353	2.379	2.414	2.416	2.442	2.458	2.474	2.465	2.478	2.475	2.491	2.514	2.501	2.485	2.485	2.477	2.483	2.502	2.501	2.486	2.48	2.482	2.502	2.531	2.525	2.544	2.531	2.534	2.586	2.593	2.596	2.606	2.612	2.609	2.604	2.613	2.62	2.634	2.635	2.62	2.627	2.623	2.621	2.613	2.607	2.579	2.552	2.552	2.561	2.565	2.576	2.586	2.588	2.608	2.618	2.598	2.621	2.607	2.593	2.596	2.555	2.53	2.512	2.484	2.508	2.514	2.518	2.498	2.504	2.495	2.51	2.508	2.503	2.523	2.549	2.569	2.54	2.546	2.552	2.593	2.594	2.57	2.582	2.566	2.56	2.562	2.529	2.551	2.557	2.542	2.51	2.514	2.514	2.472	2.507	2.484	2.491	2.49	2.547	2.528	2.553	2.613	2.625	2.652	2.662	2.701	2.706	2.731	2.745	2.781	2.806	2.802	2.814	2.792	2.827	2.84	2.847	2.845	2.824	2.828	2.834	2.849	2.852	2.861	2.867	2.882	2.91	2.955	2.951	2.95	2.962	3.003	3.02	3.02	3.006	3.018	3.022	3.064	3.079	3.09	
dewpoint_sigma	0.967	0.988	1.039	1.122	1.124	1.128	1.138	1.132	1.129	1.127	1.127	1.138	1.135	1.13	1.142	1.15	1.141	1.137	1.135	1.147	1.141	1.134	1.13	1.139	1.138	1.148	1.155	1.16	1.159	1.166	1.156	1.143	1.142	1.145	1.151	1.168	1.156	1.172	1.154	1.151	1.16	1.171	1.168	1.166	1.17	1.139	1.151	1.169	1.164	1.169	1.172	1.184	1.191	1.175	1.188	1.162	1.153	1.134	1.126	1.112	1.109	1.106	1.102	1.111	1.104	1.1	1.142	1.152	1.189	1.209	1.215	1.234	1.251	1.231	1.249	1.262	1.304	1.315	1.307	1.326	1.32	1.343	1.364	1.363	1.36	1.35	1.35	1.353	1.38	1.375	1.375	1.39	1.397	1.411	1.426	1.422	1.438	1.445	1.473	1.484	1.504	1.533	1.555	1.51	1.51	1.508	1.534	1.529	1.522	1.543	1.55	1.561	1.546	1.53	1.512	1.522	1.538	1.538	1.537	1.543	1.529	1.52	1.542	1.549	1.535	1.535	1.551	1.573	1.587	1.605	1.609	1.632	1.631	1.621	1.644	1.627	1.615	1.602	1.587	1.592	1.625	1.63	1.648	1.648	1.656	1.651	1.64	1.611	1.629	1.586	1.577	1.562	1.56	1.543	1.543	1.536	1.533	1.506	1.511	1.514	1.491	1.484	1.47	1.468	1.434	1.413	1.408	1.399	1.375	1.379	1.38	1.401	1.407	1.409	1.432	1.411	1.41	1.465	1.469	1.507	1.496	1.509	1.517	1.498	1.468	1.441	1.432	1.444	1.467	1.48	1.478	1.477	1.475	1.47	1.472	1.491	1.509	1.517	1.529	1.553	1.566	1.579	1.618	1.627	1.667	1.703	1.739	1.756	1.779	1.786	1.802	1.786	1.799	1.816	1.81	1.856	1.861	1.841	1.846	1.844	1.867	1.886	1.939	1.982	2.026	2.054	2.088	2.11	2.156	2.164	2.213	2.209	2.19	2.19	2.17	2.138	2.136	2.126	2.142	2.117	
humidity_mean	11.317	11.466	11.717	12.017	12.036	12.059	11.881	11.919	12.053	12.134	12.192	12.198	12.159	12.109	12.114	12.046	12.137	12.142	12.159	12.162	12.111	12.044	12.012	11.983	12.015	12.022	12.052	12.108	12.161	12.212	12.205	12.205	12.198	12.221	12.219	12.21	12.19	12.159	12.142	12.106	12.127	12.145	12.167	12.159	12.094	12.11	12.079	12.026	12.037	11.968	11.923	11.851	11.898	11.946	12.008	12.022	12.062	12.154	12.207	12.223	12.221	12.282	12.346	12.41	12.439	12.562	12.64	12.69	12.765	12.833	12.811	12.8	12.806	12.817	12.814	12.833	12.856	12.881	12.944	13.039	13.039	13.078	13.086	13.064	13.073	13.07	13.126	13.169	13.223	13.21	13.216	13.165	13.137	13.158	13.19	13.205	13.24	13.301	13.477	13.612	13.737	13.856	13.929	14.021	14.157	14.249	14.295	14.31	14.332	14.309	14.304	14.26	14.252	14.17	14.177	14.156	14.147	14.145	14.188	14.198	14.267	14.371	14.459	14.536	14.61	14.584	14.576	14.581	14.602	14.613	14.705	14.682	14.739	14.761	14.815	14.909	14.961	14.99	14.964	14.911	14.894	14.834	14.783	14.736	14.705	14.694	14.662	14.688	14.697	14.7	14.712	14.663	14.655	14.63	14.59	14.551	14.507	14.533	14.475	14.428	14.362	14.306	14.186	14.032	13.996	13.949	13.83	13.76	13.766	13.725	13.724	13.738	13.793	13.859	13.94	13.993	14.075	14.136	14.178	14.19	14.168	14.123	14.158	14.224	14.295	14.358	14.336	14.396	14.39	14.494	14.421	14.462	14.38	14.309	14.202	14.093	14.033	14.057	14.09	14.111	14.157	14.203	14.179	14.264	14.248	14.266	14.275	14.353	14.457	14.554	14.578	14.693	14.757	14.817	14.789	14.806	14.805	14.889	14.955	14.955	15.005	15.018	15.032	15.073	15.096	15.106	15.13	15.223	15.182	15.3	15.41	15.63	15.692	15.687	15.701	15.763	15.843	15.923	15.99	16.101	
humidity_sigma	4.362	4.984	5.44	6.001	6.081	6.077	6.098	6.104	6.137	6.19	6.217	6.266	6.293	6.279	6.305	6.272	6.307	6.261	6.191	6.17	6.153	6.159	6.132	6.15	6.116	6.137	6.15	6.209	6.213	6.172	6.149	6.183	6.167	6.223	6.277	6.336	6.312	6.315	6.243	6.279	6.31	6.318	6.272	6.257	6.238	6.221	6.161	6.075	5.974	6.07	6.207	6.347	6.344	6.341	6.304	6.263	6.248	6.237	6.185	6.234	6.181	6.146	6.063	6.069	5.996	5.956	5.934	5.998	6.056	6.123	6.137	6.169	6.132	6.173	6.232	6.242	6.236	6.233	6.311	6.356	6.363	6.353	6.339	6.33	6.294	6.263	6.246	6.282	6.352	6.398	6.467	6.473	6.505	6.563	6.571	6.597	6.638	6.721	6.778	6.886	6.937	7.069	7.11	7.134	7.14	7.188	7.219	7.244	7.304	7.342	7.362	7.355	7.266	7.144	7.025	7.082	7.12	7.152	7.21	7.214	7.199	7.135	7.062	6.948	6.839	6.836	6.758	6.749	6.723	6.763	6.753	6.782	6.813	6.792	6.798	6.77	6.728	6.656	6.628	6.548	6.437	6.343	6.292	6.188	6.157	6.168	6.179	6.176	6.14	6.22	6.307	6.393	6.437	6.508	6.636	6.7	6.794	6.83	6.831	6.777	6.713	6.598	6.49	6.429	6.361	6.241	6.168	6.088	6.056	6.014	6.036	6.007	6.018	6.097	6.146	6.143	6.166	6.263	6.287	6.272	6.216	6.225	6.214	6.239	6.222	6.201	6.086	6.069	6.054	6.038	5.954	5.874	5.831	5.824	5.852	5.808	5.76	5.723	5.736	5.724	5.76	5.857	5.863	5.971	6.036	6.119	6.164	6.25	6.308	6.409	6.521	6.631	6.708	6.701	6.642	6.614	6.65	6.603	6.613	6.694	6.586	6.637	6.706	6.688	6.756	6.877	6.926	6.945	7.028	7.13	7.272	7.276	7.273	7.275	7.374	7.369	7.354	7.248	7.304	7.303	
wspd_mean	-4.906	-4.869	-4.756	-4.657	-4.696	-4.719	-4.815	-4.832	-4.872	-4.843	-4.825	-4.829	-4.793	-4.753	-4.749	-4.748	-4.708	-4.705	-4.753	-4.765	-4.78	-4.766	-4.83	-4.891	-4.866	-4.903	-4.796	-4.782	-4.732	-4.776	-4.784	-4.764	-4.762	-4.756	-4.821	-4.818	-4.873	-4.857	-4.902	-4.901	-4.929	-4.98	-4.967	-4.949	-4.965	-4.973	-4.946	-5.003	-5.028	-5.021	-5.062	-5.053	-4.987	-5.029	-5.062	-5.071	-5.091	-5.1	-5.166	-5.179	-5.178	-5.166	-5.167	-5.206	-5.209	-5.19	-5.158	-5.186	-5.185	-5.092	-5.088	-5.061	-5.059	-5.008	-4.921	-4.925	-4.885	-4.858	-4.832	-4.819	-4.813	-4.823	-4.814	-4.848	-4.792	-4.794	-4.751	-4.708	-4.716	-4.68	-4.68	-4.717	-4.675	-4.691	-4.715	-4.703	-4.713	-4.65	-4.607	-4.534	-4.538	-4.502	-4.592	-4.61	-4.636	-4.638	-4.702	-4.672	-4.643	-4.705	-4.7	-4.752	-4.739	-4.825	-4.77	-4.809	-4.887	-4.936	-4.89	-4.91	-4.87	-4.91	-4.894	-4.94	-4.914	-4.886	-4.919	-4.963	-4.949	-4.991	-4.99	-5.012	-4.952	-4.895	-4.947	-4.918	-4.9	-4.898	-4.94	-4.956	-4.917	-4.891	-4.802	-4.842	-4.866	-4.843	-4.888	-4.882	-4.846	-4.844	-4.845	-4.853	-4.854	-4.84	-4.944	-4.893	-4.901	-4.89	-4.866	-4.902	-4.888	-4.932	-4.946	-4.922	-4.965	-4.956	-5.018	-5.096	-5.108	-5.081	-5.025	-5.038	-5.037	-5.021	-5.025	-4.971	-5.026	-5.017	-5.117	-5.227	-5.232	-5.288	-5.375	-5.441	-5.528	-5.57	-5.549	-5.539	-5.57	-5.553	-5.487	-5.511	-5.612	-5.689	-5.826	-5.907	-5.927	-5.933	-5.937	-6.043	-6.112	-6.217	-6.26	-6.281	-6.25	-6.239	-6.269	-6.285	-6.275	-6.268	-6.334	-6.311	-6.347	-6.399	-6.432	-6.533	-6.64	-6.766	-6.727	-6.741	-6.788	-6.812	-6.894	-6.907	-6.95	-6.956	-6.987	-6.995	-6.957	-7.027	-6.997	-6.935	-6.954	-6.914	-6.846	-6.757	-6.756	-6.669	-6.675	-6.655	
wspd_sigma	2.992	3.1	3.087	3.044	2.974	2.929	2.892	2.912	2.907	2.958	2.981	3.008	2.965	2.936	2.943	2.903	2.906	2.825	2.854	2.862	2.864	2.889	2.831	2.812	2.803	2.779	2.768	2.807	2.792	2.769	2.791	2.733	2.759	2.777	2.771	2.814	2.817	2.847	2.809	2.79	2.865	2.816	2.801	2.778	2.724	2.717	2.751	2.756	2.79	2.717	2.768	2.701	2.702	2.733	2.759	2.765	2.784	2.822	2.817	2.796	2.827	2.878	2.885	2.864	2.851	2.818	2.796	2.831	2.869	2.797	2.763	2.832	2.762	2.8	2.758	2.763	2.82	2.854	2.862	2.85	2.807	2.848	2.875	2.941	2.943	2.932	2.973	2.998	2.96	2.867	2.844	2.834	2.802	2.821	2.847	2.864	2.905	2.928	2.952	2.974	2.994	2.997	3.001	2.983	3.001	3.041	3.068	3.059	3.046	3.043	3.035	3.062	3.057	3.035	3.062	3.054	3.047	3.02	3.028	3.059	3.07	3.079	3.051	3.062	2.973	2.901	2.855	2.839	2.871	2.85	2.863	2.916	2.948	2.958	2.974	2.973	2.914	2.917	2.916	2.965	2.984	2.988	2.983	2.995	3.035	3.056	3.108	3.084	3.051	3.051	3.024	3.053	3.083	3.184	3.169	3.193	3.206	3.265	3.248	3.269	3.312	3.376	3.385	3.39	3.37	3.373	3.396	3.396	3.314	3.267	3.148	3.175	3.17	3.138	3.113	3.101	3.082	3.099	3.089	3.103	3.098	3.082	3.17	3.104	3.07	3.013	3.05	2.956	2.967	2.859	2.864	2.791	2.747	2.793	2.723	2.684	2.654	2.724	2.707	2.763	2.77	2.743	2.703	2.73	2.731	2.749	2.719	2.727	2.693	2.675	2.746	2.687	2.696	2.704	2.69	2.698	2.734	2.686	2.708	2.72	2.734	2.733	2.855	2.818	2.77	2.833	2.87	2.917	2.841	2.878	2.849	2.913	2.768	2.798	2.832	2.86	2.874	2.898	2.874	2.828	
wdir_deg_mean	35.322	35.868	36.995	36.759	34.578	34.646	32.39	31.396	28.667	28.333	29.495	29.583	29.215	31.358	33.201	30.224	30.817	31.064	31.99	34.686	34.291	35.385	34.869	37.124	38.697	38.297	38.088	38.945	38.48	40.907	38.942	36.696	39.353	37.552	36.747	37.982	35.459	37.548	37.402	37.527	36.679	35.273	35.128	36.17	36.134	35.853	30.787	31.939	30.889	30.355	29.96	29.272	30.369	29.247	31.016	28.48	24.654	24.355	26.117	25.027	23.309	25.482	24.368	23.204	24.97	23.332	25.884	24.446	22.609	23.992	25.083	23.219	25.161	23.964	27.264	26.464	25.706	26.328	25.772	26.231	26.678	27.419	26.419	21.476	21.654	18.507	20.309	22.211	23.477	21.221	23.844	22.937	23.414	23.352	20.842	20.718	22.503	19.658	23.218	20.058	23.515	27.613	28.529	26.994	23.095	23.478	25.39	25.734	23.102	23.477	29.09	30.556	30.609	28.669	28.53	27.422	29.469	27.283	27.352	29.567	29.407	30.626	31.744	30.163	30.786	29.227	28.725	31.349	29.866	31.843	32.295	32.466	30.239	30.356	33.497	32.733	34.386	32.813	32.039	30.488	28.758	31.219	30.543	30.676	29.386	28.643	26.709	30.031	30.663	28.253	31.466	30.869	35.641	37.291	34.774	31.53	31.626	31.74	31.845	31.145	35.284	31.559	30.746	28.638	28.709	29.625	27.424	24.622	28.007	27.15	24.408	25.269	22.359	19.888	20.045	23.727	24.466	26.042	28.614	33.909	34.458	35.111	34.908	38.463	37.938	39.304	40.73	42.263	43.067	39.502	38.119	40.797	41.468	46.012	47.157	50.121	52.504	49.204	47.795	46.564	47.508	46.212	45.338	44.293	42.903	40.287	41.712	41.847	44.893	42.768	44.159	45.766	47.47	47.507	46.11	46.877	51.447	47.116	50.812	50.906	47.964	48.262	50.409	51.068	51.56	50.825	46.657	43.353	38.766	42.033	48.528	48.848	50.929	49.322	48.583	54.114	53.162	54.785	55.788	54.048	
wdir_deg_sigma	70.707	70.818	70.65	69.654	68.654	68.924	69.28	68.718	67.563	67.384	68.471	67.799	68.349	69.031	69.979	69.424	68.725	69.118	69.483	70.013	69.68	70.047	69.886	70.219	71.514	70.92	70.523	70.794	71.613	71.009	70.811	70.392	71.097	70.676	70.337	70.453	70.565	70.623	70.402	70.696	71.156	71.83	72.438	72.75	72.248	72.517	70.753	71.401	70.719	71.075	71.382	70.643	70.777	70.351	70.412	70.112	69.549	68.896	69.385	69.306	69.037	69.927	69.779	69.064	69.344	69.245	70.275	70.393	69.304	69.429	69.71	68.976	70.277	69.882	71.185	71.104	71.336	71.869	71.829	71.729	72.53	73.339	73.506	71.36	71.847	71.151	71.326	72.04	72.651	71.027	72.833	71.607	72.05	72.288	71.782	71.577	72.652	71.989	73.815	71.916	73.402	74.52	74.385	75.021	73.345	72.954	74.182	75.343	73.411	74.372	75.159	76.888	74.835	75.438	75.589	76.005	76.488	75.766	75.392	76.049	76.466	76.575	77.017	77.125	76.954	76.737	76.299	76.342	75.833	75.947	75.483	75.624	74.863	75.458	76.561	75.448	75.732	75.22	75.48	75.111	74.199	73.618	73.104	72.979	72.313	72.066	71.017	71.247	70.964	71.111	71.441	71.085	72.069	71.75	71.201	71.26	71.199	72.203	72.549	71.646	72.369	71.639	71.772	70.911	70.645	71.773	69.815	68.413	69.009	69.624	68.375	68.766	68.09	67.493	67.323	67.806	69.354	69.784	71.492	73.038	74.0	74.246	75.077	75.791	75.891	76.294	76.61	77.148	77.3	76.451	76.718	76.796	77.187	77.84	77.418	77.718	78.227	78.336	78.901	79.491	78.37	79.293	79.61	79.827	79.737	79.501	79.8	79.393	79.907	80.509	80.833	81.052	81.077	80.539	80.444	80.767	81.307	81.061	81.259	81.217	80.83	81.246	81.719	82.092	82.183	82.896	83.175	82.147	81.69	81.573	82.4	82.456	81.555	82.671	81.551	80.767	80.492	80.616	80.287	80.621	
