temp_mean	-0.006	-0.018	-0.062	-0.121	-0.115	-0.11	-0.18	-0.173	-0.172	-0.19	-0.185	-0.169	-0.162	-0.143	-0.119	-0.108	-0.086	-0.084	-0.115	-0.101	-0.129	-0.163	-0.145	-0.164	-0.151	-0.15	-0.145	-0.176	-0.185	-0.169	-0.185	-0.18	-0.178	-0.192	-0.198	-0.17	-0.17	-0.164	-0.168	-0.174	-0.18	-0.177	-0.187	-0.209	-0.18	-0.173	-0.172	-0.168	-0.17	-0.172	-0.18	-0.164	-0.172	-0.181	-0.195	-0.19	-0.203	-0.202	-0.218	-0.232	-0.218	-0.213	-0.213	-0.184	-0.16	-0.193	-0.219	-0.225	-0.227	-0.263	-0.271	-0.257	-0.275	-0.265	-0.261	-0.293	-0.299	-0.324	-0.37	-0.415	-0.421	-0.443	-0.461	-0.467	-0.488	-0.46	-0.452	-0.423	-0.44	-0.451	-0.46	-0.448	-0.477	-0.458	-0.442	-0.444	-0.442	-0.444	-0.441	-0.456	-0.473	-0.469	-0.486	-0.492	-0.498	-0.472	-0.452	-0.465	-0.452	-0.467	-0.457	-0.428	-0.418	-0.429	-0.412	-0.394	-0.375	-0.347	-0.318	-0.286	-0.276	-0.26	-0.247	-0.25	-0.25	-0.235	-0.221	-0.199	-0.139	-0.135	-0.125	-0.149	-0.172	-0.161	-0.151	-0.119	-0.107	-0.075	-0.073	-0.074	-0.097	-0.101	-0.096	-0.087	-0.088	-0.081	-0.057	-0.048	-0.008	-0.017	-0.027	-0.034	-0.021	-0.022	0.021	-0.006	0.016	-0.002	0.003	0.045	0.039	0.044	0.059	0.039	0.044	0.047	0.052	0.032	0.07	0.078	0.076	0.113	0.103	0.11	0.109	0.121	0.128	0.102	0.107	0.164	0.174	0.203	0.212	0.24	0.249	0.261	0.296	0.32	0.341	0.32	0.317	0.354	0.357	0.363	0.352	0.369	0.377	0.416	0.432	0.442	0.459	0.468	0.506	0.524	0.579	0.578	0.627	0.684	0.735	0.748	0.764	0.733	0.732	0.727	0.748	0.743	0.727	0.721	0.713	0.733	0.732	0.725	0.76	0.761	0.771	0.766	0.769	0.779	0.769	0.759	0.768	0.772	0.811	0.823	0.839	0.867	0.893	0.887	0.878	0.879	
temp_sigma	0.729	0.915	1.132	1.334	1.352	1.351	1.33	1.336	1.339	1.356	1.392	1.409	1.428	1.422	1.383	1.395	1.414	1.419	1.437	1.449	1.491	1.531	1.551	1.538	1.564	1.546	1.547	1.566	1.583	1.611	1.621	1.623	1.623	1.638	1.664	1.66	1.654	1.64	1.632	1.639	1.663	1.648	1.67	1.695	1.665	1.691	1.678	1.659	1.67	1.669	1.649	1.666	1.681	1.678	1.662	1.674	1.697	1.684	1.713	1.697	1.688	1.669	1.653	1.659	1.649	1.67	1.704	1.728	1.72	1.728	1.748	1.748	1.726	1.746	1.769	1.73	1.752	1.78	1.785	1.795	1.858	1.837	1.828	1.826	1.828	1.82	1.834	1.821	1.828	1.81	1.806	1.815	1.818	1.842	1.824	1.784	1.784	1.775	1.769	1.794	1.804	1.803	1.811	1.78	1.783	1.811	1.789	1.755	1.778	1.777	1.778	1.756	1.767	1.792	1.742	1.738	1.75	1.761	1.789	1.784	1.781	1.788	1.764	1.773	1.779	1.768	1.765	1.767	1.795	1.81	1.809	1.825	1.838	1.839	1.866	1.88	1.876	1.886	1.887	1.925	1.958	1.949	1.954	1.94	1.962	1.941	1.93	1.941	1.927	1.969	1.975	1.991	1.977	1.965	1.937	1.957	1.978	1.955	1.963	1.964	1.995	2.013	2.014	2.001	2.015	2.026	2.043	2.045	2.08	2.08	2.098	2.109	2.149	2.177	2.201	2.226	2.247	2.258	2.282	2.281	2.259	2.238	2.218	2.211	2.216	2.19	2.184	2.197	2.192	2.207	2.222	2.226	2.211	2.24	2.247	2.251	2.273	2.305	2.373	2.374	2.385	2.379	2.383	2.382	2.387	2.382	2.374	2.336	2.373	2.383	2.423	2.446	2.47	2.467	2.476	2.508	2.497	2.489	2.479	2.531	2.517	2.504	2.508	2.512	2.509	2.495	2.46	2.468	2.474	2.474	2.474	2.436	2.448	2.452	2.435	2.436	2.466	2.435	2.435	2.411	
dewpoint_mean	-0.001	0.034	0.018	0.043	0.051	0.058	-0.014	-0.006	-0.009	-0.007	-0.007	-0.003	0.014	0.011	-0.019	-0.016	-0.04	-0.029	-0.018	-0.013	-0.007	-0.01	-0.032	-0.039	-0.033	-0.058	-0.077	-0.077	-0.077	-0.076	-0.074	-0.066	-0.065	-0.07	-0.086	-0.089	-0.082	-0.088	-0.084	-0.085	-0.077	-0.077	-0.049	-0.029	-0.055	-0.031	-0.023	-0.042	-0.046	-0.048	-0.053	-0.051	-0.045	-0.017	-0.014	0.006	0.012	-0.0	-0.015	-0.015	-0.012	-0.027	-0.014	0.013	0.011	-0.005	-0.017	0.008	0.045	0.035	0.013	0.038	0.027	0.007	0.01	0.018	0.008	0.021	0.01	0.004	-0.023	-0.035	-0.024	-0.032	-0.029	-0.006	-0.0	-0.008	-0.017	-0.003	0.018	0.032	0.025	0.021	0.039	0.042	-0.002	0.003	0.022	0.017	0.01	0.024	0.026	0.031	0.006	0.031	0.019	0.008	0.013	0.035	0.042	0.05	0.06	0.072	0.076	0.084	0.121	0.128	0.176	0.194	0.188	0.22	0.236	0.317	0.336	0.359	0.371	0.397	0.437	0.473	0.499	0.516	0.514	0.515	0.528	0.528	0.532	0.564	0.568	0.572	0.582	0.605	0.604	0.614	0.608	0.613	0.583	0.57	0.558	0.536	0.521	0.469	0.466	0.46	0.448	0.445	0.454	0.464	0.459	0.435	0.404	0.399	0.403	0.391	0.351	0.35	0.349	0.338	0.337	0.324	0.313	0.309	0.31	0.291	0.266	0.253	0.254	0.256	0.254	0.271	0.28	0.308	0.33	0.341	0.353	0.347	0.348	0.314	0.304	0.275	0.255	0.243	0.229	0.222	0.214	0.226	0.218	0.199	0.216	0.228	0.233	0.246	0.249	0.29	0.293	0.339	0.324	0.363	0.413	0.437	0.431	0.437	0.473	0.46	0.499	0.544	0.583	0.592	0.597	0.599	0.597	0.623	0.64	0.686	0.735	0.804	0.842	0.895	0.891	0.942	0.958	0.975	0.934	0.945	0.923	0.916	0.905	0.911	0.918	0.905	
dewpoint_sigma	0.765	0.788	0.822	0.834	0.826	0.825	0.805	0.814	0.82	0.832	0.831	0.814	0.79	0.784	0.811	0.818	0.809	0.83	0.846	0.834	0.838	0.847	0.882	0.87	0.872	0.871	0.865	0.873	0.9	0.885	0.892	0.917	0.921	0.93	0.937	0.946	0.952	0.951	0.962	0.953	0.946	0.946	0.918	0.959	0.979	0.972	0.966	0.983	0.993	1.0	1.019	1.036	1.047	1.047	1.056	1.066	1.07	1.078	1.07	1.051	1.021	0.993	0.991	0.999	0.978	0.986	0.995	1.005	0.99	0.976	0.964	0.959	0.955	0.967	0.966	0.974	1.008	1.036	1.058	1.072	1.098	1.135	1.129	1.154	1.12	1.137	1.133	1.144	1.157	1.189	1.202	1.196	1.201	1.171	1.196	1.187	1.205	1.198	1.206	1.215	1.231	1.263	1.253	1.248	1.264	1.298	1.32	1.326	1.331	1.393	1.41	1.415	1.422	1.446	1.454	1.493	1.502	1.516	1.517	1.519	1.519	1.528	1.52	1.529	1.521	1.528	1.536	1.523	1.538	1.557	1.575	1.581	1.59	1.586	1.549	1.516	1.492	1.479	1.498	1.508	1.512	1.523	1.53	1.537	1.533	1.527	1.528	1.503	1.518	1.508	1.51	1.485	1.449	1.446	1.419	1.386	1.397	1.419	1.461	1.444	1.444	1.462	1.441	1.452	1.474	1.473	1.5	1.479	1.497	1.482	1.514	1.525	1.539	1.551	1.589	1.632	1.633	1.652	1.659	1.656	1.655	1.658	1.668	1.665	1.687	1.683	1.691	1.689	1.706	1.744	1.753	1.752	1.757	1.779	1.764	1.784	1.816	1.858	1.896	1.912	1.938	2.005	2.016	2.023	2.013	2.044	2.052	2.067	2.101	2.124	2.129	2.147	2.158	2.175	2.196	2.198	2.199	2.213	2.207	2.216	2.214	2.234	2.269	2.307	2.37	2.403	2.417	2.429	2.469	2.502	2.531	2.559	2.557	2.574	2.579	2.621	2.621	2.639	2.608	2.596	
humidity_mean	-0.092	0.094	0.448	1.08	1.114	1.157	1.107	1.086	1.048	1.058	1.091	1.01	0.947	0.799	0.67	0.582	0.507	0.469	0.478	0.484	0.525	0.583	0.562	0.514	0.485	0.441	0.385	0.431	0.48	0.496	0.515	0.476	0.48	0.499	0.523	0.471	0.438	0.355	0.366	0.437	0.461	0.53	0.534	0.54	0.479	0.459	0.434	0.422	0.381	0.263	0.258	0.272	0.329	0.408	0.417	0.474	0.546	0.648	0.677	0.646	0.623	0.586	0.662	0.7	0.776	0.796	0.89	0.97	1.022	1.094	1.147	1.127	1.161	1.224	1.305	1.41	1.504	1.587	1.659	1.737	1.839	1.878	1.925	1.928	1.869	1.815	1.809	1.8	1.816	1.901	1.903	1.952	1.946	1.977	1.954	1.916	1.971	2.014	2.055	2.12	2.173	2.211	2.209	2.212	2.246	2.226	2.229	2.185	2.186	2.192	2.193	2.145	2.142	2.119	2.088	2.098	2.123	2.16	2.194	2.288	2.342	2.427	2.503	2.655	2.717	2.808	2.81	2.825	2.889	2.994	3.17	3.277	3.348	3.414	3.419	3.365	3.353	3.348	3.378	3.403	3.421	3.522	3.537	3.522	3.47	3.465	3.375	3.308	3.204	3.15	3.072	2.942	2.828	2.782	2.667	2.547	2.388	2.239	2.085	1.922	1.826	1.722	1.696	1.634	1.637	1.653	1.591	1.455	1.339	1.19	1.051	0.959	0.907	0.903	0.847	0.798	0.853	0.86	0.875	0.783	0.683	0.594	0.423	0.309	0.182	0.082	0.027	-0.067	-0.146	-0.229	-0.357	-0.51	-0.632	-0.723	-0.863	-0.927	-0.988	-1.069	-1.135	-1.218	-1.264	-1.29	-1.338	-1.397	-1.479	-1.595	-1.75	-1.902	-1.927	-1.841	-1.806	-1.719	-1.643	-1.576	-1.539	-1.405	-1.301	-1.138	-1.125	-1.067	-0.964	-0.756	-0.55	-0.411	-0.266	-0.175	-0.056	0.14	0.285	0.437	0.542	0.58	0.557	0.495	0.443	0.436	0.371	0.282	0.173	0.159	
humidity_sigma	3.679	4.159	4.934	5.743	5.753	5.794	5.796	5.851	5.959	6.138	6.219	6.269	6.286	6.287	6.237	6.329	6.419	6.507	6.637	6.771	6.924	7.028	7.115	7.105	7.112	7.152	7.164	7.211	7.227	7.302	7.337	7.366	7.36	7.359	7.437	7.472	7.479	7.515	7.516	7.517	7.442	7.422	7.432	7.49	7.565	7.555	7.588	7.591	7.613	7.652	7.686	7.677	7.701	7.727	7.739	7.725	7.766	7.762	7.807	7.815	7.83	7.862	7.873	7.951	8.008	8.078	8.175	8.198	8.204	8.234	8.256	8.245	8.251	8.235	8.248	8.263	8.324	8.33	8.373	8.35	8.387	8.422	8.435	8.465	8.504	8.542	8.55	8.557	8.606	8.622	8.676	8.715	8.738	8.71	8.695	8.679	8.623	8.551	8.596	8.619	8.64	8.703	8.775	8.85	8.9	8.956	8.988	9.098	9.234	9.259	9.26	9.232	9.239	9.192	9.164	9.179	9.174	9.192	9.099	9.061	9.043	8.95	8.885	8.818	8.741	8.609	8.47	8.401	8.332	8.204	8.168	8.105	8.052	7.991	7.827	7.699	7.532	7.473	7.365	7.299	7.274	7.213	7.091	6.963	6.916	6.878	6.9	6.933	6.977	7.006	7.044	7.02	7.028	6.98	6.888	6.84	6.793	6.712	6.572	6.423	6.312	6.264	6.293	6.382	6.486	6.672	6.706	6.701	6.807	6.863	6.875	6.939	7.016	7.069	7.173	7.239	7.322	7.302	7.39	7.324	7.306	7.306	7.239	7.177	7.126	7.126	7.129	7.065	7.036	7.072	7.09	7.054	7.064	7.055	7.125	7.283	7.353	7.392	7.403	7.421	7.389	7.379	7.32	7.311	7.284	7.223	7.153	7.109	7.122	7.24	7.411	7.505	7.51	7.579	7.696	7.758	7.763	7.807	7.833	7.866	7.827	7.822	7.772	7.807	7.822	7.844	7.765	7.713	7.693	7.684	7.783	7.85	7.939	8.033	8.125	8.292	8.413	8.602	8.728	8.857	
wspd_mean	-12.415	-11.717	-10.535	-8.115	-8.073	-8.17	-8.67	-8.704	-8.649	-8.644	-8.595	-8.49	-8.458	-8.445	-8.408	-8.332	-8.33	-8.296	-8.34	-8.327	-8.404	-8.386	-8.267	-8.161	-8.164	-8.225	-8.098	-8.102	-8.166	-8.245	-8.335	-8.342	-8.337	-8.389	-8.352	-8.331	-8.447	-8.364	-8.387	-8.348	-8.194	-8.055	-7.992	-7.993	-8.008	-8.015	-8.125	-8.236	-8.222	-8.258	-8.233	-8.324	-8.225	-8.214	-8.289	-8.284	-8.342	-8.464	-8.624	-8.783	-8.877	-8.818	-8.806	-8.93	-8.833	-8.759	-8.857	-8.978	-8.958	-8.986	-9.01	-9.055	-9.149	-9.046	-9.019	-9.048	-9.012	-8.976	-8.957	-8.976	-8.929	-8.98	-9.064	-9.176	-9.258	-9.379	-9.321	-9.39	-9.625	-9.672	-9.673	-9.762	-9.85	-9.851	-9.882	-9.962	-9.984	-9.914	-9.96	-10.049	-10.039	-10.171	-10.174	-10.344	-10.409	-10.466	-10.476	-10.474	-10.473	-10.554	-10.602	-10.604	-10.556	-10.454	-10.409	-10.522	-10.635	-10.651	-10.685	-10.873	-10.97	-10.82	-10.793	-10.735	-10.872	-10.995	-11.126	-11.186	-11.268	-11.456	-11.483	-11.514	-11.625	-11.588	-11.621	-11.634	-11.718	-11.819	-11.873	-11.977	-11.95	-11.941	-12.005	-12.071	-12.168	-12.156	-12.216	-12.149	-12.136	-12.149	-12.229	-12.301	-12.236	-12.324	-12.267	-12.291	-12.319	-12.219	-12.262	-12.243	-12.178	-12.116	-12.07	-11.973	-12.06	-12.094	-12.193	-12.004	-11.845	-11.679	-11.74	-11.796	-11.734	-11.764	-11.719	-11.684	-11.58	-11.562	-11.628	-11.567	-11.635	-11.596	-11.717	-11.69	-11.647	-11.706	-11.653	-11.635	-11.733	-11.653	-11.589	-11.555	-11.577	-11.319	-11.299	-11.084	-11.102	-11.173	-11.221	-11.189	-11.195	-11.298	-11.363	-11.486	-11.609	-11.634	-11.659	-11.797	-11.573	-11.494	-11.594	-11.662	-11.5	-11.571	-11.505	-11.564	-11.626	-11.773	-11.691	-11.805	-11.983	-12.189	-12.533	-12.663	-12.8	-12.871	-13.155	-13.262	-13.447	-13.551	-13.654	-13.667	-13.617	-13.763	-13.958	-14.012	-14.113	-14.106	-14.185	-14.09	
wspd_sigma	7.848	7.518	7.41	7.206	7.256	7.274	7.36	7.453	7.432	7.482	7.463	7.485	7.517	7.507	7.368	7.339	7.198	7.268	7.212	7.225	7.245	7.405	7.418	7.479	7.469	7.475	7.501	7.463	7.455	7.408	7.415	7.473	7.527	7.488	7.526	7.526	7.663	7.675	7.579	7.6	7.542	7.602	7.585	7.55	7.492	7.539	7.484	7.537	7.608	7.626	7.605	7.671	7.633	7.588	7.584	7.607	7.664	7.621	7.658	7.738	7.663	7.564	7.567	7.444	7.457	7.483	7.559	7.515	7.435	7.507	7.652	7.686	7.693	7.781	7.885	7.999	8.008	7.945	7.96	7.967	8.018	8.018	8.099	8.08	8.054	8.057	8.135	8.204	8.133	8.249	8.237	8.293	8.335	8.288	8.095	8.091	8.182	8.095	8.067	8.061	7.934	7.982	8.087	8.08	8.09	8.131	8.113	8.144	8.171	8.182	8.182	8.038	8.061	8.044	8.127	8.121	8.226	8.303	8.314	8.441	8.515	8.41	8.414	8.46	8.471	8.481	8.578	8.589	8.512	8.425	8.425	8.395	8.384	8.397	8.457	8.505	8.424	8.475	8.521	8.581	8.478	8.465	8.575	8.545	8.544	8.486	8.549	8.788	8.784	8.87	9.026	9.006	8.982	8.977	9.093	9.022	9.096	9.243	9.26	9.454	9.513	9.62	9.734	9.862	9.774	9.785	9.904	9.974	10.015	9.978	9.937	9.897	9.865	9.795	9.683	9.573	9.563	9.559	9.578	9.403	9.431	9.328	9.195	9.068	9.133	9.05	8.918	8.588	8.422	8.227	8.104	7.964	7.806	7.836	7.677	7.571	7.462	7.345	7.564	7.46	7.374	7.286	7.279	7.224	6.886	6.938	6.934	6.689	7.104	7.306	7.268	7.377	7.435	7.409	7.338	7.47	7.482	7.393	7.668	7.592	7.698	7.643	7.796	7.914	8.084	8.176	8.3	8.465	8.344	8.481	8.61	8.636	8.69	8.802	8.81	8.816	8.903	9.02	9.132	9.236	
wdir_deg_mean	35.498	35.621	35.632	36.163	36.116	36.276	36.857	37.076	37.299	37.302	37.286	37.031	36.483	36.993	36.316	36.316	35.573	35.57	35.627	35.472	35.493	35.551	34.629	34.593	35.642	35.367	36.462	36.135	36.457	36.39	36.404	36.441	36.736	36.84	38.036	39.371	40.654	41.432	42.809	43.052	43.775	43.829	43.711	44.149	43.704	42.777	44.224	43.435	43.942	44.101	43.62	42.68	42.709	42.989	41.71	40.962	41.003	41.436	43.332	43.512	43.191	44.044	44.739	45.485	45.588	44.749	46.022	45.401	44.518	44.363	43.715	43.565	43.579	43.861	44.404	43.817	43.762	44.18	44.224	45.429	45.634	45.094	45.697	46.292	46.221	45.725	45.722	46.566	46.189	45.708	46.33	45.464	45.174	45.931	45.914	45.87	46.223	45.939	45.279	44.56	44.263	43.883	43.356	43.46	43.243	43.125	42.881	43.245	43.931	42.664	42.795	42.498	42.479	43.31	43.229	43.725	43.291	43.145	42.315	43.059	42.444	43.146	42.878	42.897	43.525	43.35	42.899	43.105	42.392	41.696	40.756	40.814	41.155	40.43	41.0	40.371	39.915	40.016	39.934	40.188	40.48	40.458	39.81	41.117	41.893	42.249	41.848	42.295	42.293	41.703	42.26	41.959	40.969	40.048	40.465	39.899	39.759	40.796	41.109	40.972	39.943	40.456	40.093	41.312	41.867	41.975	41.355	40.88	41.493	42.055	41.438	41.494	41.622	41.862	41.91	42.007	42.297	42.962	42.428	43.897	44.282	44.594	43.935	43.1	43.124	43.163	43.539	44.533	44.252	43.85	43.456	43.347	44.66	43.916	44.702	44.559	44.931	45.078	45.254	46.687	46.822	47.1	47.0	47.649	48.508	48.54	48.699	47.651	47.675	47.245	47.315	46.922	46.9	45.703	45.311	45.181	45.345	45.196	46.406	46.161	46.329	46.452	46.545	46.63	45.56	44.908	44.287	44.335	45.439	45.676	45.726	45.995	45.656	45.387	46.179	46.853	46.329	46.895	46.317	46.048	
wdir_deg_sigma	37.497	37.595	36.862	36.657	36.45	36.466	38.244	37.256	38.323	38.238	38.854	39.464	38.813	39.354	39.002	38.901	38.565	38.096	38.089	38.686	37.438	39.096	38.255	38.968	38.578	39.815	39.028	40.363	40.44	40.458	40.634	41.64	41.673	41.839	42.73	43.626	43.14	41.485	41.851	39.931	41.387	40.066	40.522	40.146	41.099	42.944	41.878	43.743	43.38	43.805	43.879	44.717	45.38	45.613	45.225	45.754	45.34	44.258	42.963	43.083	42.647	43.165	42.57	42.658	42.456	42.758	41.91	41.103	41.158	41.264	41.056	41.474	41.773	43.023	43.402	42.449	42.405	42.976	42.672	39.914	39.992	39.354	39.845	40.343	39.402	39.555	39.989	41.292	41.637	40.934	41.826	40.748	40.762	41.603	41.709	41.622	42.491	41.454	40.4	39.436	38.271	37.908	38.21	37.292	37.646	36.639	37.124	36.939	37.61	35.604	35.587	34.498	34.348	35.159	35.15	35.086	34.527	34.219	34.08	34.759	36.428	35.54	36.446	36.31	37.232	36.022	35.336	34.604	34.114	32.846	32.35	31.909	32.064	31.295	31.991	31.026	30.325	30.145	29.812	29.869	30.264	30.627	30.192	32.175	32.247	32.294	31.267	31.279	31.343	30.555	31.048	30.889	30.166	29.044	30.735	30.25	30.092	31.967	32.578	32.01	30.559	31.818	30.499	32.71	33.572	34.089	30.997	30.537	30.486	31.129	31.549	31.767	31.517	31.69	31.591	31.817	32.099	32.557	32.189	32.013	33.28	33.433	32.765	33.308	33.089	32.765	32.888	32.137	32.375	31.292	31.733	30.954	32.367	31.416	32.228	31.917	32.329	32.676	33.052	34.033	34.135	34.127	33.908	33.771	32.936	31.846	31.682	30.982	30.8	31.025	30.93	30.786	30.677	29.389	29.324	29.797	29.973	30.054	30.891	30.98	31.329	31.509	31.851	31.807	30.5	29.394	29.614	29.927	30.693	31.055	29.615	29.346	29.505	29.98	31.331	31.378	30.408	30.301	29.14	28.487	
